0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
"81,797",-1.40%,"45,384","36,413","5,973","7,442","13,415","22,998",998,-733,"22,733","2,852","19,881",2.26%,"15,698","15,775",-3.00%,1.27,1.26,5.00%,"24,287",1.55,0.240,4.35%,44.52%,28.12%,24.31%,29.69%,12.55%,"26,783",32.74%,"3,052","23,731",29.01%
"94,836",-2.51%,"52,860","41,976","6,201","7,457","13,658","28,318",930,-994,"28,382","4,222","24,160",-3.40%,"15,787","15,847",-3.39%,1.53,1.52,0%,"25,644",1.62,0.230,4.55%,44.26%,29.86%,25.48%,27.04%,14.88%,"32,210",33.96%,"2,898","29,312",30.91%
"117,154",-5.48%,"66,822","50,332","6,607","7,709","14,316","36,016","1,003",-610,"35,623","5,625","29,998",-13.38%,"15,893","15,956",-3.41%,1.89,1.88,-10.48%,"30,218",1.90,0.230,4.55%,42.96%,30.74%,25.61%,25.79%,15.79%,"39,542",33.75%,"2,916","36,626",31.26%
"90,146",8.14%,"52,051","38,095","6,440","6,761","13,201","24,894",827,-590,"24,657","3,936","20,721",0.83%,"16,030","16,118",-3.11%,1.29,1.29,4.88%,"20,838",1.30,0.230,4.55%,42.26%,27.62%,22.99%,23.12%,15.96%,"28,349",31.45%,"2,865","25,484",28.27%
"82,959",1.87%,"47,074","35,885","6,012","6,797","12,809","23,076",719,-709,"23,066","3,624","19,442",-10.59%,"16,163","16,262",-3.10%,1.20,1.20,-7.69%,"20,790",1.29,0.230,4.55%,43.26%,27.82%,23.44%,25.06%,15.71%,"26,590",32.05%,"2,805","23,785",28.67%
"97,278",8.59%,"54,719","42,559","6,193","6,387","12,580","29,979",691,-851,"30,139","5,129","25,010",5.84%,"16,279","16,403",-3.11%,1.54,1.52,8.57%,"25,652",1.58,0.220,7.32%,43.75%,30.82%,25.71%,26.37%,17.02%,"33,567",34.51%,"2,737","30,830",31.69%
"123,945",11.22%,"69,702","54,243","6,449","6,306","12,755","41,488",694,-447,"41,241","6,611","34,630",20.43%,"16,392","16,519",-3.47%,2.11,2.10,25.00%,"44,163",2.69,0.220,7.32%,43.76%,33.47%,27.94%,35.63%,16.03%,"44,632",36.01%,"2,697","41,935",33.83%
"83,360",28.84%,"48,186","35,174","5,616","5,772","11,388","23,786",672,-134,"23,248","2,697","20,551",62.16%,"16,487","16,635",-3.60%,1.25,1.23,66.22%,"16,977",1.03,0.220,7.32%,42.20%,28.53%,24.65%,20.37%,11.60%,"26,909",32.28%,"2,989","23,920",28.69%
"81,434",36.44%,"46,179","35,255","5,412","5,717","11,129","24,126",665,-908,"24,369","2,625","21,744",93.23%,"16,629","16,782",-3.66%,1.31,1.30,100.00%,"19,001",1.14,0.220,7.32%,43.29%,29.63%,26.70%,23.33%,10.77%,"27,866",34.22%,"2,832","25,034",30.74%
"89,584",53.63%,"51,505","38,079","5,314","5,262","10,576","27,503",670,"-1,178","28,011","4,381","23,630",110.06%,"16,753","16,929",-3.91%,1.41,1.40,118.75%,"21,712",1.30,0.205,6.22%,42.51%,30.70%,26.38%,24.24%,15.64%,"31,478",35.14%,"2,797","28,681",32.02%
"111,439",21.37%,"67,111","44,328","5,631","5,163","10,794","33,534",638,-683,"33,579","4,824","28,755",29.32%,"16,935","17,114",-3.96%,1.70,1.68,34.40%,"35,263",2.08,0.205,6.22%,39.78%,30.09%,25.80%,31.64%,14.37%,"36,883",33.10%,"2,666","34,217",30.70%
"64,698",1.03%,"40,009","24,689","4,936","4,978","9,914","14,775",634,-760,"14,901","2,228","12,673",-7.40%,"17,058","17,257",-4.56%,0.75,0.74,-1.99%,"18,792",1.10,0.205,6.22%,38.16%,22.84%,19.59%,29.05%,14.95%,"18,237",28.19%,"2,702","15,535",24.01%
"59,685",10.92%,"37,005","22,680","4,831","4,758","9,589","13,091",697,-743,"13,137","1,884","11,253",12.04%,"17,250","17,419",-5.36%,0.65,0.65,19.27%,"14,706",0.85,0.205,6.22%,38.00%,21.93%,18.85%,24.64%,14.34%,"16,586",27.79%,"2,752","13,834",23.18%
"58,313",0.51%,"35,943","22,370","4,952","4,565","9,517","12,853",757,"-1,039","13,135","1,886","11,249",-2.70%,"17,440","17,619",-6.30%,0.64,0.64,4.07%,"11,458",0.66,0.193,6.04%,38.36%,22.04%,19.29%,19.65%,14.36%,"16,678",28.60%,"2,786","13,892",23.82%
"91,819",8.91%,"56,602","35,217","5,197","4,451","9,648","25,569",785,"-1,134","25,918","3,682","22,236",11.37%,"17,660","17,818",-6.68%,1.26,1.25,19.62%,"28,409",1.61,0.193,6.04%,38.35%,27.85%,24.22%,30.94%,14.21%,"29,519",32.15%,"2,816","26,703",29.08%
"64,040",1.81%,"39,727","24,313","4,578","4,110","8,688","15,625",810,"-1,312","16,127","2,441","13,686",-3.11%,"17,963","18,081",-6.75%,0.76,0.76,3.14%,"17,133",0.95,0.193,6.04%,37.97%,24.40%,21.37%,26.75%,15.14%,"20,116",31.41%,"3,179","16,937",26.45%
"53,809",1.02%,"33,582","20,227","4,426","4,257","8,683","11,544",866,"-1,233","11,911","1,867","10,044",-12.80%,"18,283","18,406",-6.60%,0.55,0.55,-6.84%,"9,636",0.53,0.193,6.04%,37.59%,21.45%,18.67%,17.91%,15.67%,"15,710",29.20%,"2,933","12,777",23.75%
"58,015",-5.11%,"36,194","21,821","4,458","3,948","8,406","13,415","1,010","-1,388","13,793","2,232","11,561",-16.36%,"18,696","18,803",-7.26%,0.62,0.61,-9.82%,"8,792",0.47,0.182,15.19%,37.61%,23.12%,19.93%,15.15%,16.18%,"17,843",30.76%,"3,040","14,803",25.52%
"84,310",-4.51%,"52,279","32,031","4,783","3,902","8,685","23,346",890,"-1,450","23,906","3,941","19,965",-0.50%,"18,943","19,093",-7.46%,1.05,1.04,7.40%,"23,335",1.23,0.182,15.19%,37.99%,27.69%,23.68%,27.68%,16.49%,"28,191",33.44%,"3,395","24,796",29.41%
"62,900",19.63%,"38,816","24,084","4,216","3,750","7,966","16,118",868,"-1,171","16,421","2,296","14,125",31.84%,"19,206","19,390",-6.48%,0.73,0.73,41.31%,"16,482",0.86,0.182,15.19%,38.29%,25.62%,22.46%,26.20%,13.98%,"20,043",31.86%,"2,754","17,289",27.49%
"53,265",17.30%,"32,844","20,421","4,108","3,701","7,809","12,612",846,"-1,518","13,284","1,765","11,519",32.14%,"19,529","19,706",-5.86%,0.59,0.58,40.29%,"11,221",0.57,0.182,15.19%,38.34%,23.68%,21.63%,21.07%,13.29%,"16,795",31.53%,"2,665","14,130",26.53%
"61,137",15.58%,"37,715","23,422","4,150","3,378","7,528","15,894",792,"-1,066","16,168","2,346","13,822",25.32%,"20,100","20,274",-3.67%,0.69,0.68,29.90%,"10,935",0.54,0.158,11.27%,38.31%,26.00%,22.61%,17.89%,14.51%,"19,699",32.22%,"2,739","16,960",27.74%
"88,293",12.69%,"54,381","33,912","4,231","3,407","7,638","26,274",734,"-1,490","27,030","6,965","20,065",12.15%,"20,452","20,631",-3.19%,0.98,0.97,15.83%,"25,483",1.25,0.158,11.27%,38.41%,29.76%,22.73%,28.86%,25.77%,"30,509",34.55%,"2,745","27,764",31.45%
"52,579",12.22%,"32,648","19,931","3,814","2,997","6,811","13,120",666,"-1,463","13,917","3,203","10,714",18.86%,"20,598","20,734",-3.89%,0.52,0.52,22.46%,"11,884",0.58,0.158,11.27%,37.91%,24.95%,20.38%,22.60%,23.02%,"17,067",32.46%,"2,484","14,583",27.74%
