0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
"6,986",5.94%,"1,813","5,173","1,294","1,113",82,"2,489","2,684",752,318,"1,614",235,"1,379",4.71%,535,537,-,2.58,2.57,4.90%,"3,838",7.17,2.130,9.79%,74.05%,38.42%,19.74%,54.94%,14.56%,"3,262",46.69%,896,"2,366",33.87%
"6,105",-2.13%,"1,720","4,385","1,258","1,058",148,"2,464","1,921",543,"-2,064","3,442",601,"2,841",92.48%,534,538,-2.36%,5.32,5.28,97.01%,720,1.35,2.130,9.79%,71.83%,31.47%,46.54%,11.79%,17.46%,"4,885",80.02%,900,"3,985",65.27%
"6,839",-0.10%,"1,747","5,092","1,572","1,324",-34,"2,862","2,230",415,67,"1,748",132,"1,616",-14.90%,535,538,-4.61%,3.02,3.00,-10.45%,"2,309",4.32,1.940,10.23%,74.46%,32.61%,23.63%,33.76%,7.55%,"3,074",44.95%,911,"2,163",31.63%
"6,652",-0.81%,"1,588","5,064","1,287","1,112",5,"2,404","2,660",368,-100,"2,392",249,"2,143",13.75%,535,538,-5.61%,4.01,3.98,20.24%,"2,818",5.27,1.940,10.23%,76.13%,39.99%,32.22%,42.36%,10.41%,"3,597",54.07%,837,"2,760",41.49%
"6,594",1.04%,"1,510","5,084","1,327","1,039",542,"2,908","2,176",328,317,"1,531",214,"1,317",183.84%,535,537,-6.77%,2.46,2.45,202.47%,"1,684",3.15,1.940,10.23%,77.10%,33.00%,19.97%,25.54%,13.98%,"2,687",40.75%,828,"1,859",28.19%
"6,238",5.71%,"1,561","4,677","1,228",959,-10,"2,177","2,500",295,530,"1,675",199,"1,476",-10.33%,548,551,-5.16%,2.69,2.68,-5.30%,"1,974",3.60,1.940,10.23%,74.98%,40.08%,23.66%,31.64%,11.88%,"2,811",45.06%,841,"1,970",31.58%
"6,846",3.20%,"1,718","5,128","1,425","1,348",51,"2,824","2,304",335,-162,"2,131",232,"1,899",17.59%,564,564,-3.42%,3.36,3.35,20.94%,"2,521",4.47,1.760,10.00%,74.91%,33.65%,27.74%,36.82%,10.89%,"3,318",48.47%,852,"2,466",36.02%
"6,706",4.41%,"1,609","5,097","1,305","1,422",-8,"2,719","2,378",296,-73,"2,155",271,"1,884",-6.78%,567,570,-3.23%,3.32,3.31,-3.50%,"2,176",3.84,1.760,10.00%,76.01%,35.46%,28.09%,32.45%,12.58%,"3,301",49.22%,850,"2,451",36.55%
"6,526",5.16%,"1,637","4,889","1,384","1,082","1,595","4,061",828,281,-11,558,94,464,-74.27%,573,576,-2.70%,0.81,0.81,-73.44%,"1,746",3.05,1.760,10.00%,74.92%,12.69%,7.11%,26.75%,16.85%,"1,694",25.96%,855,839,12.86%
"5,901",-4.22%,"1,490","4,411","1,254",967,61,"2,282","2,129",285,-13,"1,857",211,"1,646",-9.81%,577,581,-2.19%,2.85,2.83,-7.82%,"1,938",3.36,1.760,10.00%,74.75%,36.08%,27.89%,32.84%,11.36%,"2,983",50.55%,841,"2,142",36.30%
"6,634",7.05%,"1,597","5,037","1,773","1,229",27,"3,029","2,008",318,-187,"1,877",262,"1,615",-5.17%,580,584,-2.18%,2.79,2.77,-3.48%,"1,980",3.41,1.600,10.34%,75.93%,30.27%,24.34%,29.85%,13.96%,"3,068",46.25%,873,"2,195",33.09%
"6,423",11.96%,"1,561","4,862","1,346","1,062",1,"2,409","2,453",302,-55,"2,206",185,"2,021",2.69%,585,589,-2.16%,3.45,3.43,4.89%,"3,233",5.53,1.600,10.34%,75.70%,38.19%,31.47%,50.33%,8.39%,"3,409",53.07%,901,"2,508",39.05%
"6,206",5.71%,"1,488","4,718","1,295",964,136,"2,395","2,323",296,-3,"2,030",227,"1,803",-17.26%,588,592,-2.95%,3.07,3.05,-14.57%,"2,684",4.57,1.600,10.34%,76.02%,37.43%,29.05%,43.25%,11.18%,"3,256",52.47%,930,"2,326",37.48%
"6,161",10.87%,"1,513","4,648","1,316",952,25,"2,293","2,355",346,-11,"2,020",195,"1,825",-8.38%,590,594,-5.11%,3.09,3.07,-3.46%,"1,992",3.38,1.600,10.34%,75.44%,38.22%,29.62%,32.33%,9.65%,"3,263",52.96%,897,"2,366",38.40%
"6,197",-0.53%,"1,253","4,944","1,513","1,312",71,"2,896","2,048",301,-236,"1,983",280,"1,703",-11.67%,593,597,-6.86%,2.88,2.87,-4.65%,"2,326",3.92,1.450,9.85%,79.78%,33.05%,27.48%,37.53%,14.12%,"2,986",48.18%,702,"2,284",36.86%
"5,737",-2.83%,"1,036","4,701","1,223","1,001",1,"2,225","2,476",313,-114,"2,277",309,"1,968",5.86%,599,602,-7.24%,3.29,3.27,14.34%,"3,207",5.35,1.450,9.85%,81.94%,43.16%,34.30%,55.90%,13.57%,"3,098",54.00%,508,"2,590",45.15%
"5,871",-3.10%,"1,012","4,859","1,260",924,-3,"2,181","2,678",332,-218,"2,564",385,"2,179",-5.10%,607,610,-7.58%,3.59,3.57,2.59%,"1,270",2.09,1.450,9.85%,82.76%,45.61%,37.11%,21.63%,15.02%,"3,397",57.86%,501,"2,896",49.33%
"5,557",0.05%,"1,055","4,502","1,154",879,-3,"2,030","2,472",343,-185,"2,314",322,"1,992",-13.80%,622,626,-11.95%,3.20,3.18,-2.15%,"1,729",2.78,1.450,9.85%,81.01%,44.48%,35.85%,31.11%,13.92%,"3,152",56.72%,495,"2,657",47.81%
"6,230",7.38%,"1,096","5,134","1,559","1,182",11,"2,752","2,382",352,-155,"2,185",257,"1,928",-,637,641,-11.71%,3.03,3.01,-,"2,969",4.66,1.320,14.78%,82.41%,38.23%,30.95%,47.66%,11.76%,"3,027",48.59%,490,"2,537",40.72%
"5,904",2.27%,"1,037","4,867","1,293",926,325,"2,544","2,323",355,-126,"2,094",235,"1,859",-8.02%,645,649,-11.46%,2.88,2.86,3.62%,"3,102",4.81,1.320,14.78%,82.44%,39.35%,31.49%,52.54%,11.22%,"2,950",49.97%,501,"2,449",41.48%
"6,059",4.29%,"1,024","5,035","1,353",869,-19,"2,203","2,832",347,-162,"2,647",351,"2,296",6.74%,656,660,-10.57%,3.50,3.48,19.59%,"1,915",2.92,1.320,14.78%,83.10%,46.74%,37.89%,31.61%,13.26%,"3,478",57.40%,484,"2,994",49.41%
"5,554",1.65%,944,"4,610","1,127",760,-3,"1,884","2,726",338,-231,"2,619",308,"2,311",11.59%,707,711,-4.05%,3.27,3.25,16.49%,"2,572",3.64,1.320,14.78%,83.00%,49.08%,41.61%,46.31%,11.76%,"3,428",61.72%,471,"2,957",53.24%
"5,802",-2.73%,"1,059","4,743","1,427","1,043",28,"2,498","2,245",332,-301,"2,214","6,478","-4,264",-,725,726,-2.16%,-5.81,-5.77,-,"2,859",3.94,1.150,15.00%,81.75%,38.69%,-73.49%,49.28%,292.59%,"2,995",51.62%,449,"2,546",43.88%
"5,773",-0.65%,990,"4,783","1,170",877,297,"2,344","2,439",325,-267,"2,381",360,"2,021",0.20%,728,733,-2.66%,2.78,2.76,2.99%,"3,296",4.53,1.150,15.00%,82.85%,42.25%,35.01%,57.09%,15.12%,"3,170",54.91%,464,"2,706",46.87%
"5,810",2.14%,"1,024","4,786","1,209",873,6,"2,088","2,698",321,-165,"2,542",391,"2,151",15.03%,734,738,-2.38%,2.93,2.91,17.81%,"2,141",2.92,1.150,15.00%,82.38%,46.44%,37.02%,36.85%,15.38%,"3,381",58.19%,518,"2,863",49.28%
"5,464",-1.14%,996,"4,468","1,064",769,44,"1,877","2,591",326,-195,"2,460",389,"2,071",9.00%,737,741,-2.50%,2.81,2.79,11.60%,"2,217",3.01,1.150,15.00%,81.77%,47.42%,37.90%,40.57%,15.81%,"3,310",60.58%,524,"2,786",50.99%
"5,965",7.75%,"1,067","4,898","1,323","1,078",12,"2,413","2,485",328,-126,"2,283",348,"1,935",7.50%,736,742,-2.75%,2.62,2.61,10.59%,"2,873",3.90,1.000,26.58%,82.11%,41.66%,32.44%,48.16%,15.24%,"3,170",53.14%,559,"2,611",43.77%
"5,811",1.54%,"1,027","4,784","1,244",990,23,"2,257","2,527",325,-216,"2,418",401,"2,017",8.27%,747,753,-1.44%,2.70,2.68,9.84%,"2,495",3.34,1.000,26.58%,82.33%,43.49%,34.71%,42.94%,16.58%,"3,246",55.86%,503,"2,743",47.20%
"5,688",5.92%,"1,050","4,638","1,292",900,66,"2,258","2,380",313,-137,"2,204",334,"1,870",13.13%,751,756,-1.56%,2.49,2.47,14.88%,"2,489",3.31,1.000,26.58%,81.54%,41.84%,32.88%,43.76%,15.15%,"3,039",53.43%,522,"2,517",44.25%
"5,527",9.82%,"1,018","4,509","1,203",872,32,"2,107","2,402",294,-150,"2,258",358,"1,900",17.07%,753,760,-1.30%,2.52,2.50,18.48%,"1,759",2.34,1.000,26.58%,81.58%,43.46%,34.38%,31.83%,15.85%,"3,073",55.60%,521,"2,552",46.17%
