0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Revenue,Revenue Growth (YoY),Gross Profit,"Selling, General & Admin",Other Operating Expenses,Operating Expenses,Operating Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
"14,148",10.72%,"14,148","8,470","2,578","11,048","3,100","3,100",649,"2,451",30.44%,732,733,-2.14%,3.30,3.30,33.60%,"7,843",10.71,0.600,-,100.00%,21.91%,17.32%,55.44%,20.94%,"3,529",24.94%,429,"3,100",21.91%
"13,856",6.71%,"13,856","8,627","2,495","11,122","2,734","2,734",560,"2,174",10.69%,740,741,-1.59%,2.89,2.89,12.45%,"3,547",4.79,0.600,-42.31%,100.00%,19.73%,15.69%,25.60%,20.48%,"3,134",22.62%,400,"2,734",19.73%
"13,226",12.39%,"13,226","8,514","2,545","11,059","2,167","2,167",351,"1,816",-13.48%,743,744,-1.85%,2.41,2.40,-12.09%,-737,-0.99,0.520,20.93%,100.00%,16.38%,13.73%,-5.57%,16.20%,"2,567",19.41%,400,"2,167",16.38%
"13,149",8.74%,"13,149","8,339","2,939","11,278","1,871","1,871",299,"1,572",-8.55%,751,752,-4.81%,2.09,2.08,-5.88%,"7,919",10.54,0.520,20.93%,100.00%,14.23%,11.96%,60.23%,15.98%,"2,289",17.41%,418,"1,871",14.23%
"12,778",14.92%,"12,778","7,971","2,348","10,319","2,459","2,459",580,"1,879",2.90%,748,749,-4.83%,2.47,2.47,8.81%,"4,065",5.43,-,-,100.00%,19.24%,14.70%,31.81%,23.59%,"2,872",22.48%,413,"2,459",19.24%
"12,985",19.69%,"12,985","8,313","2,129","10,442","2,543","2,543",579,"1,964",-13.86%,752,753,-6.11%,2.57,2.57,-8.21%,"3,807",5.06,1.040,-,100.00%,19.58%,15.13%,29.32%,22.77%,"2,940",22.64%,397,"2,543",19.58%
"11,768",20.83%,"11,768","7,032","2,024","9,056","2,712","2,712",613,"2,099",-6.09%,757,758,-5.84%,2.73,2.73,-0.36%,"3,433",4.54,0.430,-50.00%,100.00%,23.05%,17.84%,29.17%,22.60%,"3,110",26.43%,398,"2,712",23.05%
"12,092",27.80%,"12,092","7,399","2,387","9,786","2,306","2,306",587,"1,719",19.54%,789,790,-1.99%,2.22,2.21,24.86%,"4,537",5.75,0.430,0%,100.00%,19.07%,14.22%,37.52%,25.46%,"2,725",22.54%,419,"2,306",19.07%
"11,119",37.51%,"11,119","6,872","1,797","8,669","2,450","2,450",624,"1,826",70.18%,786,787,-2.24%,2.27,2.27,74.62%,"3,702",4.71,0.430,0%,100.00%,22.03%,16.42%,33.29%,25.47%,"2,892",26.01%,442,"2,450",22.03%
"10,849",77.27%,"10,849","6,470","1,439","7,909","2,940","2,940",660,"2,280",787.16%,801,802,-0.37%,2.81,2.80,865.52%,"2,895",3.61,-,-,100.00%,27.10%,21.02%,26.68%,22.45%,"3,352",30.90%,412,"2,940",27.10%
"9,739",26.66%,"9,739","5,559","1,187","6,746","2,993","2,993",758,"2,235",508.99%,804,805,-0.37%,2.74,2.74,568.29%,"1,961",2.44,0.860,100.00%,100.00%,30.73%,22.95%,20.14%,25.33%,"3,415",35.07%,422,"2,993",30.73%
"9,462",-8.50%,"9,462","5,720","1,884","7,604","1,858","1,858",420,"1,438",-15.06%,805,806,-2.89%,1.76,1.77,-13.24%,"3,064",3.81,0.430,0%,100.00%,19.64%,15.20%,32.38%,22.60%,"2,286",24.16%,428,"1,858",19.64%
"8,086",-20.02%,"8,086","5,234","1,488","6,722","1,364","1,364",291,"1,073",-38.86%,804,805,-2.66%,1.31,1.30,-37.50%,"1,827",2.27,0.430,10.26%,100.00%,16.87%,13.27%,22.59%,21.33%,"1,768",21.86%,404,"1,364",16.87%
"6,120",-38.66%,"6,120","4,060","1,438","5,498",622,622,365,257,-85.41%,804,805,-3.71%,0.29,0.29,-85.99%,"1,776",2.21,0.430,10.26%,100.00%,10.16%,4.20%,29.02%,58.68%,996,16.27%,374,622,10.16%
"7,689",-19.53%,"7,689","5,492","1,745","7,237",452,452,85,367,-76.32%,807,808,-4.15%,0.41,0.41,-77.22%,"-2,554",-3.17,0.430,10.26%,100.00%,5.88%,4.77%,-33.22%,18.81%,789,10.26%,337,452,5.88%
"10,341",8.62%,"10,341","6,298","2,057","8,355","1,986","1,986",293,"1,693",-15.77%,828,830,-3.38%,2.03,2.04,-12.45%,"2,765",3.34,0.430,10.26%,100.00%,19.21%,16.37%,26.74%,14.75%,"2,291",22.15%,305,"1,986",19.21%
"10,110",8.39%,"10,110","5,934","1,910","7,844","2,266","2,266",511,"1,755",6.11%,825,827,-3.84%,2.09,2.08,10.64%,"-1,415",-1.72,0.390,11.43%,100.00%,22.41%,17.36%,-14.00%,22.55%,"2,566",25.38%,300,"2,266",22.41%
"9,977",8.49%,"9,977","5,795","1,963","7,758","2,219","2,219",458,"1,761",8.50%,834,836,-3.02%,2.07,2.07,12.50%,"2,438",2.92,0.390,11.43%,100.00%,22.24%,17.65%,24.44%,20.64%,"2,505",25.11%,286,"2,219",22.24%
"9,555",6.84%,"9,555","5,448","2,149","7,597","1,958","1,958",408,"1,550",-5.14%,841,843,-2.09%,1.81,1.80,-3.23%,"8,199",9.75,0.390,11.43%,100.00%,20.49%,16.22%,85.81%,20.84%,"2,255",23.60%,297,"1,958",20.49%
"9,520",7.29%,"9,520","5,637","2,052","7,689","1,831","1,831",-179,"2,010",-,856,859,-3.05%,2.33,2.33,-,"-1,691",-1.98,0.390,11.43%,100.00%,19.23%,21.11%,-17.76%,-9.78%,"2,117",22.24%,286,"1,831",19.23%
"9,327",9.47%,"9,327","5,392","1,817","7,209","2,118","2,118",464,"1,654",21.71%,858,860,-2.38%,1.89,1.88,24.50%,"4,751",5.54,0.350,9.38%,100.00%,22.71%,17.73%,50.94%,21.91%,"2,440",26.16%,322,"2,118",22.71%
"9,196",7.07%,"9,196","5,376","1,729","7,105","2,091","2,091",468,"1,623",20.76%,860,862,-3.47%,1.85,1.84,25.17%,"2,734",3.18,0.350,9.38%,100.00%,22.74%,17.65%,29.73%,22.38%,"2,428",26.40%,337,"2,091",22.74%
"8,943",9.92%,"8,943","5,018","1,843","6,861","2,082","2,082",448,"1,634",30.62%,859,861,-4.65%,1.86,1.86,37.78%,"1,826",2.13,0.350,9.38%,100.00%,23.28%,18.27%,20.42%,21.52%,"2,430",27.17%,348,"2,082",23.28%
"8,873",-17.19%,"8,873","5,233","1,842","7,075","1,798","1,798","3,004","-1,206",-,883,886,-5.24%,-1.35,-1.34,-,"4,709",5.33,0.350,9.38%,100.00%,20.26%,-13.59%,53.07%,167.07%,"2,166",24.41%,368,"1,798",20.26%
"8,520",17.19%,"8,520","4,879","1,810","6,689","1,831","1,831",472,"1,359",19.00%,878,881,-4.55%,1.51,1.51,25.83%,"4,023",4.58,0.320,-,100.00%,21.49%,15.95%,47.22%,25.78%,"2,169",25.46%,338,"1,831",21.49%
"8,589",10.51%,"8,589","4,945","1,687","6,632","1,957","1,957",613,"1,344",-33.30%,890,893,-5.10%,1.48,1.47,-30.00%,"2,863",3.22,0.320,-44.83%,100.00%,22.78%,15.65%,33.33%,31.32%,"2,276",26.50%,319,"1,957",22.78%
"8,136",6.30%,"8,136","4,610","1,687","6,297","1,839","1,839",588,"1,251",-12.27%,899,903,-6.23%,1.36,1.35,-6.90%,883,0.98,0.320,10.34%,100.00%,22.60%,15.38%,10.85%,31.97%,"2,135",26.24%,296,"1,839",22.60%
"10,715",37.04%,"10,715","6,954","2,654","9,608","1,107","1,107",315,792,-11.90%,933,935,-6.78%,0.86,0.86,-5.49%,"2,940",3.15,0.320,10.34%,100.00%,10.33%,7.39%,27.44%,28.46%,"1,392",12.99%,285,"1,107",10.33%
