Quarter Ended,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,+83 Quarters
Revenue,"18,104","19,751","17,921","19,980","15,956","16,681","13,991","14,793","15,278","16,998","15,217","15,304","14,139","11,807","16,908","17,911","19,980","15,751","22,917","28,341","25,146","24,258","23,382","24,770","24,223","23,051","21,961","22,211","23,898","24,755","22,632","23,573","25,849","24,543","22,149","24,468","23,784","22,045","20,465","23,785",Upgrade
Revenue Growth (YoY),13.46%,18.40%,28.09%,35.06%,4.44%,-1.86%,-8.06%,-3.34%,8.06%,43.97%,-10.00%,-14.56%,-29.23%,-25.04%,-26.22%,-36.80%,-20.54%,-35.07%,-1.99%,14.42%,3.81%,5.24%,6.47%,11.52%,1.36%,-6.88%,-2.96%,-5.78%,-7.55%,0.86%,2.18%,-3.66%,8.68%,11.33%,8.23%,2.87%,7.47%,1.05%,8.32%,6.65%,Upgrade
Cost of Revenue,"16,939","17,812","15,998","18,124","16,771","14,553","13,638","17,307","13,566","14,588","13,808","20,992","13,105","12,978","16,768","18,708","16,930","17,810","18,645","22,090","21,040","19,536","18,824","19,881","19,956","18,702","18,073","17,700","19,904","22,325","19,097","20,642","21,600","21,350","18,496","20,711","20,075","18,670","17,296","20,388",Upgrade
Gross Profit,"1,165","1,939","1,923","1,856",-815,"2,128",353,"-2,514","1,712","2,410","1,409","-5,688","1,034","-1,171",140,-797,"3,050","-2,059","4,272","6,251","4,106","4,722","4,558","4,889","4,267","4,349","3,888","4,511","3,994","2,430","3,535","2,931","4,249","3,193","3,653","3,757","3,709","3,375","3,169","3,397",Upgrade
"Selling, General & Admin","1,043","1,286","1,304","1,430","1,226",668,863,988,"1,097","1,040","1,032","1,828",955,"1,161",873,"1,052","1,001",672,"1,184","1,222","1,154","1,194",997,"1,205",918,"1,043",929,996,923,806,888,931,889,760,945,"1,040",932,918,877,"1,100",Upgrade
Research & Development,958,797,741,794,727,698,633,678,575,497,499,605,574,625,672,749,778,826,866,852,826,827,764,762,768,813,836,725,857,"2,127",917,905,857,800,769,755,750,733,809,848,Upgrade
Other Operating Expenses,-28,-44,27,-11,24,-17,20,-15,-120,-38,-37,-70,14,45,2,1,8,15,-20,1,-32,-6,-74,-35,-49,-39,-81,-83,-69,-97,-54,-67,-78,-50,-79,-75,-92,-61,-59,-67,Upgrade
Operating Expenses,"1,973","2,039","2,072","2,213","1,977","1,349","1,516","1,651","1,552","1,499","1,494","2,363","1,543","1,831","1,547","1,802","1,787","1,513","2,030","2,075","1,948","2,015","1,687","1,932","1,637","1,817","1,684","1,638","1,711","2,836","1,751","1,769","1,668","1,510","1,635","1,720","1,590","1,590","1,627","1,881",Upgrade
Operating Income,-808,-100,-149,-357,"-2,792",779,"-1,163","-4,165",160,911,-85,"-8,051",-509,"-3,002","-1,407","-2,599","1,263","-3,572","2,242","4,176","2,158","2,707","2,871","2,957","2,630","2,532","2,204","2,873","2,283",-406,"1,784","1,162","2,581","1,683","2,018","2,037","2,119","1,785","1,542","1,516",Upgrade
Interest Expense / Income,589,621,649,632,628,656,637,661,669,673,679,698,643,553,262,242,203,154,123,158,106,109,102,93,87,93,87,79,81,73,73,72,67,75,61,81,79,81,92,96,Upgrade
