Quarter Ended,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31,2021-10-31,2021-07-31,2021-04-30,2021-01-31,2020-10-31,2020-07-31,2020-04-30,2020-01-31,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,+43 Quarters
Revenue,"8,603","8,247","8,384","7,837","7,720","7,411","7,326","6,863","6,340","5,963","5,817","5,419","5,151","4,865","4,851","4,513","3,997","3,737","3,603","3,392","3,281","3,006","2,865","2,701","2,577","2,397","2,339","2,145","2,037","1,917","1,809","1,712","1,635","1,511","1,445","1,384","1,319","1,227","1,145","1,076",Upgrade
Revenue Growth (YoY),11.44%,11.28%,14.44%,14.19%,21.77%,24.28%,25.94%,26.65%,23.08%,22.57%,19.91%,20.08%,28.87%,30.18%,34.64%,33.05%,21.82%,24.32%,25.76%,25.58%,27.32%,25.41%,22.49%,25.93%,26.53%,25.07%,29.27%,25.28%,24.59%,26.83%,25.25%,23.73%,23.98%,23.18%,26.14%,28.59%,37.77%,37.43%,37.21%,36.48%,Upgrade
Cost of Revenue,"2,113","2,125","2,100","2,088","2,127","2,045","2,014","1,844","1,613","1,555","1,479","1,394","1,311","1,254","1,220","1,134",967,914,946,889,849,767,738,714,670,651,625.92,585.52,525.58,496.98,443.68,423.68,405.38,381.8,355.92,333.21,307.83,292.31,273.53,268.19,Upgrade
Gross Profit,"6,490","6,122","6,284","5,749","5,593","5,366","5,312","5,019","4,727","4,408","4,338","4,025","3,840","3,611","3,631","3,379","3,030","2,823","2,657","2,503","2,432","2,239","2,127","1,987","1,907","1,746","1,713","1,559","1,511","1,420","1,366","1,288","1,229","1,129","1,089","1,050","1,011",934.47,871.71,807.85,Upgrade
"Selling, General & Admin","3,745","3,792","3,971","4,009","4,071","4,028","4,197","3,778","3,375","3,103","3,206","2,899","2,764","2,892","2,836","2,540","2,199","2,059","2,002","1,930","1,854","1,624","1,520","1,438","1,436","1,366","1,239","1,245","1,187","1,107","1,094","1,006",975.38,912.75,917.51,877.03,841.05,801.45,802.37,735.09,Upgrade
Research & Development,"1,220","1,207","1,128","1,280","1,329","1,318","1,291","1,203","1,020",951,939,902,898,859,831,774,607,554,518,481,463,424,396,394,387,376,344.07,311.46,291.51,260.97,250.86,239.21,234.1,222.13,205.99,195.46,203.11,188.36,173.09,170.69,Upgrade
Other Operating Expenses,49,711,828,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.79,0,-36.62,0,-15.63,0,0,0,0,Upgrade
Operating Expenses,"5,014","5,710","5,927","5,289","5,400","5,346","5,488","4,981","4,395","4,054","4,145","3,801","3,662","3,751","3,667","3,314","2,972","2,613","2,520","2,411","2,317","2,048","1,916","1,832","1,823","1,742","1,583","1,556","1,478","1,368","1,345","1,223","1,209","1,098","1,124","1,057","1,044",989.81,975.46,905.78,Upgrade
Operating Income,"1,476",412,357,460,193,20,-176,38,332,354,193,224,178,-140,-36,65,58,210,137,92,115,191,211,155,84,4,130.43,3.04,32.55,51.99,20.56,65.23,19.82,31.11,-34.82,-6.42,-33.43,-55.34,-103.75,-97.93,Upgrade
Interest Expense / Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65,21,22,22,24.34,21.95,20.71,22.01,19.47,18.25,18.1,16.68,16.88,17.68,18.31,20.36,22.74,22.93,Upgrade
Other Expense / Income,-16,86,324,-15,12,49,21,-261,-494,-250,-232,"-1,026",-661,-187,-32,1,-106,-272,-102,-36,-116,-194,55,-12,-1,-8,-24.06,-6.32,-12.44,-7.18,5.24,3.59,-5.23,-3.64,1.8,-2.25,1.22,9.07,-3.34,3.18,Upgrade
Pretax Income,"1,492",326,33,475,181,-29,-197,299,826,604,425,"1,250",839,47,-4,64,164,482,239,128,231,385,221,146,63,-10,130.15,-12.59,24.28,37.16,-4.14,43.39,6.96,18.07,-53.5,-21.85,-52.97,-84.77,-123.15,-124.04,Upgrade
Income Tax,225,127,131,265,113,-57,-169,-169,291,135,158,169,"-1,786",-52,244,173,73,90,-123,23,-68,41,15,39,17,-11,38.22,24.72,-205.34,-1.6,21.37,68.55,7.81,13.98,12.27,17.08,8.12,12.14,-6.52,0.39,Upgrade
Net Income,"1,267",199,-98,210,68,28,-28,468,535,469,267,"1,081","2,625",99,-248,-109,91,392,362,105,299,344,206,107,46,1,91.93,-37.31,229.62,38.76,-25.51,-25.16,-0.85,4.09,-65.77,-38.92,-61.09,-96.91,-116.62,-124.43,Upgrade
Net Income Growth,1763.24%,610.71%,-,-55.13%,-87.29%,-94.03%,-,-56.71%,-79.62%,373.74%,-,-,2784.62%,-74.74%,-,-,-69.57%,13.95%,75.73%,-1.87%,550.00%,34300.00%,124.09%,-,-79.97%,-97.42%,-,-,-,847.19%,-,-,-,-,-,-,-,-,-,-,Upgrade
Shares Outstanding (Basic),975,980,983,997,997,991,985,980,933,921,917,911,904,896,889,879,776,771,766,760,747,729,724,717,712,706,703,690,681,678,669,664,659,654,637,630,617,613,607,600,Upgrade
Shares Outstanding (Diluted),986,988,985,"1,000","1,001","1,001","1,004","1,001",950,940,942,939,922,913,913,879,795,793,784,785,774,754,750,738,729,722,711,690,696,687,669,664,659,664,637,630,617,613,607,600,Upgrade
Shares Change,-1.50%,-1.30%,-1.89%,-0.10%,5.37%,6.49%,6.58%,6.60%,3.04%,2.96%,3.18%,6.83%,15.97%,15.13%,16.45%,11.97%,2.71%,5.17%,4.53%,6.37%,6.17%,4.43%,5.45%,6.88%,4.75%,5.13%,6.30%,3.97%,5.55%,3.39%,4.98%,5.49%,6.86%,8.46%,4.93%,4.84%,-1.22%,4.10%,4.71%,5.57%,Upgrade
EPS (Basic),1.30,0.20,-0.10,0.21,0.07,0.03,-0.05,0.48,0.57,0.51,0.28,1.19,2.90,0.11,-0.31,-0.12,0.12,0.51,0.48,0.14,0.40,0.47,0.28,0.15,0.06,-,0.13,-0.05,0.34,0.06,-0.04,-0.04,-,0.01,-0.10,-0.06,-0.10,-0.16,-0.20,-0.21,Upgrade
