0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
"15,203",16.04%,"5,455","9,748","3,269","1,953",273,"5,495","4,253",111,-329,"4,471",513,"3,958",40.60%,"4,072","4,087",-1.66%,0.97,0.96,41.18%,"5,734",1.41,0.390,2.63%,64.12%,27.97%,26.03%,37.72%,11.47%,"5,004",32.91%,422,"4,582",30.14%
"14,571",13.53%,"5,339","9,232","3,167","1,962",157,"5,286","3,946",109,-120,"3,957",745,"3,212",5.52%,"4,089","4,110",-1.44%,0.79,0.78,6.85%,"4,950",1.21,0.390,2.63%,63.36%,27.08%,22.04%,33.97%,18.83%,"4,517",31.00%,451,"4,066",27.90%
"13,592",6.86%,"5,165","8,427","2,966","1,855",314,"5,135","3,292",107,-230,"3,415",642,"2,773",-6.73%,"4,103","4,116",-2.12%,0.68,0.67,-5.63%,"4,570",1.11,0.380,2.70%,62.00%,24.22%,20.40%,33.62%,18.80%,"3,960",29.13%,438,"3,522",25.91%
"13,632",5.67%,"5,286","8,346","2,956","1,781",69,"4,806","3,540",100,-35,"3,475",805,"2,670",-10.40%,"4,108","4,116",-2.99%,0.65,0.65,-7.14%,"3,786",0.92,0.380,2.70%,61.22%,25.97%,19.59%,27.77%,23.17%,"3,990",29.27%,415,"3,575",26.23%
"13,102",-0.18%,"5,077","8,025","2,838","1,682",71,"4,591","3,434",93,-75,"3,416",601,"2,815",-6.45%,"4,128","4,156",-1.82%,0.68,0.68,-4.23%,"3,623",0.88,0.380,2.70%,61.25%,26.21%,21.49%,27.65%,17.59%,"3,939",30.06%,430,"3,509",26.78%
"12,835",0.25%,"4,714","8,121","2,726","1,708",77,"4,511","3,610",90,-281,"3,801",757,"3,044",6.32%,"4,152","4,170",-1.60%,0.73,0.73,7.35%,"3,556",0.86,0.380,2.70%,63.27%,28.13%,23.72%,27.71%,19.92%,"4,369",34.04%,478,"3,891",30.32%
"12,720",6.35%,"4,671","8,049","2,810","1,670",82,"4,562","3,487",88,-204,"3,603",630,"2,973",16.82%,"4,183","4,205",-0.68%,0.71,0.71,18.33%,"2,355",0.56,0.370,2.78%,63.28%,27.41%,23.37%,18.51%,17.49%,"4,207",33.07%,516,"3,691",29.02%
"12,900",8.14%,"4,847","8,053","2,812","1,714",89,"4,615","3,438",89,-308,"3,657",677,"2,980",37.07%,"4,218","4,243",-0.02%,0.71,0.70,37.25%,"3,306",0.78,0.370,2.78%,62.43%,26.65%,23.10%,25.63%,18.51%,"4,279",33.17%,533,"3,746",29.04%
"13,126",8.00%,"4,782","8,344","2,969","1,713",87,"4,769","3,575",98,-258,"3,735",726,"3,009",14.15%,"4,216","4,233",-0.21%,0.72,0.71,12.70%,"4,356",1.03,0.370,2.78%,63.57%,27.24%,22.92%,33.19%,19.44%,"4,322",32.93%,489,"3,833",29.20%
"12,803",6.84%,"4,618","8,185","2,920","1,697",103,"4,720","3,465",111,-237,"3,591",728,"2,863",3.21%,"4,219","4,238",-0.12%,0.68,0.68,4.62%,"3,713",0.88,0.370,2.78%,63.93%,27.06%,22.36%,29.00%,20.27%,"4,188",32.71%,486,"3,702",28.92%
"11,960",-0.37%,"4,176","7,784","2,761","1,527",273,"4,561","3,223",113,-145,"3,255",710,"2,545",-11.57%,"4,223","4,234",-0.61%,0.60,0.60,-11.76%,"2,792",0.66,0.360,2.86%,65.08%,26.95%,21.28%,23.34%,21.81%,"3,804",31.81%,436,"3,368",28.16%
"11,929",-9.35%,"4,348","7,581","2,761","1,612",638,"5,011","2,570",112,-223,"2,681",507,"2,174",-25.70%,"4,230","4,244",-0.68%,0.51,0.51,-25.00%,"3,929",0.93,0.360,2.86%,63.55%,21.54%,18.22%,32.94%,18.91%,"3,244",27.19%,451,"2,793",23.41%
"12,154",-9.49%,"4,470","7,684","2,712","1,565",160,"4,437","3,247",119,-178,"3,306",670,"2,636",19.49%,"4,227","4,242",-1.00%,0.63,0.63,21.15%,"3,598",0.85,0.360,2.86%,63.22%,26.72%,21.69%,29.60%,20.27%,"3,869",31.83%,444,"3,425",28.18%
"11,983",-7.52%,"4,212","7,771","2,649","1,546",162,"4,357","3,414",130,-160,"3,444",670,"2,774",-8.87%,"4,230","4,243",-3.90%,0.66,0.65,-5.80%,"4,110",0.97,0.360,2.86%,64.85%,28.49%,23.15%,34.30%,19.45%,"4,020",33.55%,446,"3,574",29.83%
