Quarter Ended,2023-07-01,2023-04-01,2022-12-31,2022-10-01,2022-07-02,2022-04-02,2022-01-01,2021-10-02,2021-07-03,2021-04-03,2021-01-02,2020-10-03,2020-06-27,2020-03-28,2019-12-28,2019-09-28,2019-06-29,2019-03-30,2018-12-29,2018-09-29,2018-06-30,2018-03-31,2017-12-30,2017-09-30,2017-07-01,2017-04-01,2016-12-31,2016-10-01,2016-07-02,2016-04-02,2016-01-02,2015-10-03,2015-06-27,2015-03-28,2014-12-27,2014-09-27,2014-06-28,2014-03-29,2013-12-28,2013-09-28,+84 Quarters
Revenue,"22,330","21,815","23,512","20,150","21,504","19,249","21,819","18,534","17,022","15,613","16,249","14,707","11,779","18,025","20,877","19,118","20,262","14,922","15,303","14,306","15,229","14,548","15,351","12,779","14,238","13,336","14,784","13,142","14,277","12,969","15,244","13,512","13,101","12,461","13,391","12,389","12,466","11,649","12,309","11,568",Upgrade
Revenue Growth (YoY),3.84%,13.33%,7.76%,8.72%,26.33%,23.29%,34.28%,26.02%,44.51%,-13.38%,-22.17%,-23.07%,-41.87%,20.79%,36.42%,33.64%,33.05%,2.57%,-0.31%,11.95%,6.96%,9.09%,3.84%,-2.76%,-0.27%,2.83%,-3.02%,-2.74%,8.98%,4.08%,13.84%,9.06%,5.09%,6.97%,8.79%,7.10%,7.67%,10.38%,8.54%,7.29%,Upgrade
Cost of Revenue,"14,471","14,616","16,386","13,558","13,682","12,594","14,567","12,341","11,233","9,782","11,775","11,013","7,896","11,937","13,034","11,844","12,837","8,376","9,001","8,108","8,348","7,541","8,729","7,214","7,717","6,969","8,406","7,305","7,201","6,864","8,623","7,355","6,663","6,690","7,656","7,019","6,364","5,972","7,065","25,034",Upgrade
Gross Profit,"7,859","7,199","7,126","6,592","7,822","6,655","7,252","6,193","5,789","5,831","4,474","3,694","3,883","6,088","7,843","7,274","7,425","6,546","6,302","6,198","6,881","7,007","6,622","5,565","6,521","6,367","6,378","5,837","7,076","6,105","6,621","6,157","6,438","5,771","5,735","5,370","6,102","5,677","5,244","-13,466",Upgrade
"Selling, General & Admin","3,874","3,614","3,827","4,733","4,100","3,768","3,787","4,319","3,168","3,113","2,917","2,812","2,455","3,393","3,709","3,699","3,368","2,330","2,152","2,321","2,213","2,239","2,087","2,228","2,022","1,941","1,985","2,287","2,305","2,137","2,025","2,406","2,101","2,081","1,935","2,384","2,047","2,116","2,018","8,365",Upgrade
Other Operating Expenses,"3,994","1,462","1,375","1,317","1,332","1,482","1,269","1,367","1,301","1,686","1,411","1,728","6,424","1,479","1,449","1,615","1,513","1,490",732,799,744,744,757,806,711,676,687,720,670,605,688,656,575,584,592,663,557,628,580,"-23,897",Upgrade
Operating Expenses,"7,868","5,076","5,202","6,050","5,432","5,250","5,056","5,686","4,469","4,799","4,328","4,540","8,879","4,872","5,158","5,314","4,881","3,820","2,884","3,120","2,957","2,983","2,844","3,034","2,733","2,617","2,672","3,007","2,975","2,742","2,713","3,062","2,676","2,665","2,527","3,047","2,604","2,744","2,598","-15,532",Upgrade
Operating Income,-9,"2,123","1,924",542,"2,390","1,405","2,196",507,"1,320","1,032",146,-846,"-4,996","1,216","2,685","1,960","2,544","2,726","3,418","3,078","3,924","4,024","3,778","2,531","3,788","3,750","3,706","2,830","4,101","3,363","3,908","3,095","3,762","3,106","3,208","2,323","3,498","2,933","2,646","2,066",Upgrade
Interest Expense / Income,305,322,300,371,360,355,311,317,445,320,324,496,412,300,283,361,411,143,63,159,143,143,129,85,117,84,99,99,70,67,24,55,12,-8,58,38,50,-62,-49,26,Upgrade
Other Expense / Income,127,-105,-67,-113,4,75,293,-3,90,-297,-211,-681,-356,-67,-163,204,-20,"-4,516",-78,-186,70,131,-46,-130,161,66,-109,-29,-37,-17,-444,-52,-56,-86,-150,-50,-48,-41,-181,-35,Upgrade
Pretax Income,-441,"1,906","1,691",284,"2,026",975,"1,592",193,785,"1,009",33,-661,"-5,052",983,"2,565","1,395","2,153","7,099","3,433","3,105","3,711","3,750","3,695","2,576","3,510","3,600","3,716","2,760","4,068","3,313","4,328","3,092","3,806","3,200","3,300","2,335","3,496","3,036","2,876","2,075",Upgrade
Income Tax,19,635,412,122,617,505,488,34,-133,108,16,49,-331,523,458,341,393,"1,647",645,783,795,813,-728,829,"1,144","1,212","1,237",989,"1,471","1,170","1,448","1,483","1,323","1,092","1,118",836,"1,251","1,119","1,036",681,Upgrade
Net Income,-460,"1,271","1,279",162,"1,409",470,"1,104",159,918,901,17,-710,"-4,721",460,"2,107","1,054","1,760","5,452","2,788","2,322","2,916","2,937","4,423","1,747","2,366","2,388","2,479","1,771","2,597","2,143","2,880","1,609","2,483","2,108","2,182","1,499","2,245","1,917","1,840","1,394",Upgrade
Net Income Growth,-,170.43%,15.85%,1.89%,53.49%,-47.84%,6394.12%,-,-,95.87%,-99.19%,-,-,-91.56%,-24.43%,-54.61%,-39.64%,85.63%,-36.97%,32.91%,23.25%,22.99%,78.42%,-1.36%,-8.89%,11.43%,-13.92%,10.07%,4.59%,1.66%,31.99%,7.34%,10.60%,9.96%,18.59%,7.53%,21.55%,26.70%,33.14%,12.06%,Upgrade
