Quarter Ended,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,+59 Quarters
Revenue,"11,817","10,895","12,224","10,593","11,975","11,864","12,933","12,639","13,608","15,388","17,704","10,655","9,870","12,350","7,768","9,141","7,470","8,638","8,045","7,250","7,772","8,590","9,192","7,197","7,701","7,224","7,411","7,544","7,555","7,307","5,647","6,647","6,196","8,422","9,979","7,019","7,763","8,512","8,733","8,188",Upgrade
Revenue Growth (YoY),-1.32%,-8.17%,-5.48%,-16.19%,-12.00%,-22.90%,-26.95%,18.62%,37.87%,24.60%,127.91%,16.56%,32.13%,42.97%,-3.44%,26.08%,-3.89%,0.56%,-12.48%,0.74%,0.92%,18.91%,24.03%,-4.60%,1.93%,-1.14%,31.24%,13.49%,21.93%,-13.24%,-43.41%,-5.30%,-20.19%,-1.06%,14.27%,-14.28%,26.25%,6.41%,-8.35%,0.02%,Upgrade
Cost of Revenue,0,"3,872","4,355","16,174","3,861","3,954","4,334","18,700","3,406","5,504","6,290","14,269","3,352","4,711","3,473","13,382","2,983",0,"3,484","13,137","3,294","3,663","4,309","12,586","3,349","3,423","3,467","12,435","3,452","3,512","2,845","13,450","2,533","3,995","4,663",0,"3,013","4,129","4,221",0,Upgrade
Gross Profit,"11,817","7,023","7,869","-5,581","8,114","7,910","8,599","-6,061","10,202","9,884","11,414","-3,614","6,518","7,639","4,295","-4,241","4,487","8,638","4,561","-5,887","4,478","4,927","4,883","-5,389","4,352","3,801","3,944","-4,891","4,103","3,795","2,802","-6,803","3,663","4,427","5,316","7,019","4,750","4,383","4,512","8,188",Upgrade
Selling & Marketing,136,146,172,216,199,235,162,193,165,115,80,89,70,89,153,200,169,186,184,208,167,183,182,175,138,141,134,131,92,112,122,148,123,147,139,141,129,141,138,143,Upgrade
General & Administrative,"4,188","3,619","4,090","3,764","3,606","3,695","4,083","3,246","3,167","5,263","6,043","2,479","3,117","4,478","3,235","3,046","2,731","3,317","3,259","1,656","3,091","3,466","4,115","2,157","3,172","3,233","3,291","2,447","3,207","3,331","2,662","2,059","2,351","3,809","4,459","1,955","2,801","3,924","4,011","2,189",Upgrade
Other Operating Expenses,"-13,385","-12,924","3,664","9,725","3,378","7,163","2,945","45,123","2,752","2,792","2,787","38,819","2,554","5,392","2,638","33,428","2,283","-4,325","2,082","33,451","2,036","2,240","2,073","30,085","1,774","1,726","1,815","28,948","1,626","1,726","1,697","35,107","2,029","3,098","1,809","-4,732","1,849","1,951","1,874","-5,378",Upgrade
Operating Expenses,"-9,061","-9,159","4,047","31,164","7,704","7,653","3,382","31,938","3,185","3,136","3,147","28,983","2,852","5,703","2,985","24,898","2,633",-822,"2,380","23,461","2,274","2,463","2,308","20,941","2,001","1,955","2,020","20,304","1,848","1,957","1,917","25,042","2,282","3,348","2,020","-2,636","2,069","2,175","2,086","-3,046",Upgrade
Operating Income,"2,756","1,736","17,150","11,867","9,576","6,661","6,041","6,240","8,395","8,150","9,909","7,104","6,147","3,381","4,785","6,178","6,867","7,816","7,098","7,185","7,283","7,194","6,731","5,946","5,657","4,941","4,769","5,485","4,643","4,239","3,041","2,520","3,323","3,213","5,110","4,383","4,553","4,400","4,578","5,142",Upgrade
Interest Income,"18,257","16,836","14,938","12,411","8,550","4,851","3,212","3,010","3,117","2,939","3,054","2,973","2,932","3,034","4,750","4,922","5,459","5,760","5,597","5,468","5,061","4,920","4,230","3,736","3,411","3,220","2,746","2,424","2,389","2,530","2,348","2,148","2,119","2,150","2,035","2,134","2,297","2,579","2,594","2,391",Upgrade
Interest Expense,"16,710","15,152","13,157","10,337","6,507","3,117","1,385","1,215","1,553","1,310","1,572","1,563","1,848","2,090","3,437","3,857","4,451","4,689","4,379","4,477","4,205","3,918","3,312","2,838","2,681","2,432","2,230","2,088","1,775","1,776","1,465","1,448","1,277","1,487","1,176","1,173","1,248","1,579","1,557","1,590",Upgrade
Other Expense / Income,"1,547","1,684","14,938","12,411","7,863","4,851","3,212","3,010","3,117","2,939","3,054","2,973","2,682","3,034","4,750","4,922","5,459","5,760","5,597","5,468","5,061","4,920","4,230","3,736","3,411","3,220","2,746","2,424","2,389","2,530","2,348","2,148","2,119","2,150","2,035","2,134","2,297","2,579","2,594","2,391",Upgrade
