0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
"42,916",-2.00%,"28,759","14,157","6,915",653,"7,568","6,589",428,"6,161","1,502","4,659",-9.94%,"1,000","1,003",-2.15%,4.66,4.65,-7.92%,"5,799",5.80,2.090,10.00%,32.99%,15.35%,10.86%,13.51%,24.38%,"7,384",17.21%,795,"6,589",15.35%
"37,257",-4.24%,"24,700","12,557","6,355",651,"7,006","5,551",441,"5,110","1,237","3,873",-8.46%,"1,010","1,013",-2.03%,3.83,3.82,-6.60%,"4,709",4.66,2.090,10.00%,33.70%,14.90%,10.40%,12.64%,24.21%,"6,344",17.03%,793,"5,551",14.90%
"35,831",0.31%,"23,905","11,926","6,549",625,"7,174","4,752",408,"4,344",982,"3,362",0.30%,"1,016","1,016",-2.59%,3.32,3.32,3.11%,"3,691",3.63,1.900,15.15%,33.28%,13.26%,9.38%,10.30%,22.61%,"5,511",15.38%,759,"4,752",13.26%
"38,872",5.57%,"25,648","13,224","6,468",608,"7,076","6,148",406,"5,742","1,403","4,339",5.09%,"1,020","1,023",-2.85%,4.25,4.24,8.16%,"2,070",2.03,1.900,15.15%,34.02%,15.82%,11.16%,5.33%,24.43%,"6,891",17.73%,743,"6,148",15.82%
"43,792",6.50%,"29,309","14,483","6,657",616,"7,273","7,210",379,"6,831","1,658","5,173",7.61%,"1,023","1,025",-3.48%,5.06,5.05,11.48%,"2,650",2.59,1.900,15.15%,33.07%,16.46%,11.81%,6.05%,24.27%,"7,956",18.17%,746,"7,210",16.46%
"38,908",3.75%,"25,763","13,145","6,610",606,"7,216","5,929",369,"5,560","1,329","4,231",2.07%,"1,030","1,034",-3.81%,4.11,4.09,5.96%,"3,085",3.00,1.900,15.15%,33.78%,15.24%,10.87%,7.93%,23.90%,"6,656",17.11%,727,"5,929",15.24%
"35,719",10.72%,"23,857","11,862","6,431",606,"7,037","4,825",323,"4,502","1,150","3,352",17.33%,"1,039","1,043",-3.25%,3.24,3.22,21.05%,"2,356",2.27,1.650,10.00%,33.21%,13.51%,9.38%,6.60%,25.54%,"5,559",15.56%,734,"4,825",13.51%
"36,820",9.79%,"24,257","12,563","6,168",600,"6,768","5,795",326,"5,469","1,340","4,129",20.31%,"1,049","1,053",-2.32%,3.94,3.92,23.27%,"2,744",2.62,1.650,10.00%,34.12%,15.74%,11.21%,7.45%,24.50%,"6,509",17.68%,714,"5,795",15.74%
"41,118",8.05%,"27,453","13,665","6,433",593,"7,026","6,639",321,"6,318","1,511","4,807",10.96%,"1,058","1,062",-1.39%,4.54,4.53,12.69%,"3,119",2.95,1.650,10.00%,33.23%,16.15%,11.69%,7.59%,23.92%,"7,350",17.88%,711,"6,639",16.15%
"37,500",32.70%,"24,758","12,742","6,374",587,"6,961","5,781",333,"5,448","1,303","4,145",84.63%,"1,071","1,075",-0.19%,3.87,3.86,85.58%,"5,786",5.40,1.650,10.00%,33.98%,15.42%,11.05%,15.43%,23.92%,"6,484",17.29%,703,"5,781",15.42%
"32,261",25.13%,"21,430","10,831","6,187",561,"6,748","4,083",327,"3,756",899,"2,857",15.16%,"1,074","1,078",-0.92%,2.66,2.66,16.16%,464,0.43,1.500,10.29%,33.57%,12.66%,8.86%,1.44%,23.94%,"4,749",14.72%,666,"4,083",12.66%
"33,536",23.19%,"22,080","11,456","6,076",528,"6,604","4,852",329,"4,523","1,091","3,432",23.94%,"1,073","1,078",-1.46%,3.20,3.18,25.69%,"2,115",1.97,1.500,10.29%,34.16%,14.47%,10.23%,6.31%,24.12%,"5,483",16.35%,631,"4,852",14.47%
"38,053",23.39%,"25,112","12,941","6,355",519,"6,874","6,067",337,"5,730","1,398","4,332",24.52%,"1,073","1,077",-2.00%,4.04,4.02,26.81%,"8,646",8.06,1.500,10.29%,34.01%,15.94%,11.38%,22.72%,24.40%,"6,682",17.56%,615,"6,067",15.94%
"28,260",7.12%,"18,635","9,625","5,829",520,"6,349","3,276",307,"2,969",724,"2,245",-10.66%,"1,073","1,077",-2.62%,2.09,2.08,-8.37%,"5,151",4.80,1.500,10.29%,34.06%,11.59%,7.94%,18.23%,24.39%,"3,883",13.74%,607,"3,276",11.59%
"25,782",-2.68%,"17,046","8,736","4,814",519,"5,333","3,403",292,"3,111",630,"2,481",5.84%,"1,084","1,088",-3.03%,2.30,2.29,9.05%,"2,086",1.92,1.360,32.04%,33.88%,13.20%,9.62%,8.09%,20.25%,"3,998",15.51%,595,"3,403",13.20%
"27,223",3.50%,"17,836","9,387","4,942",498,"5,440","3,947",280,"3,667",898,"2,769",-3.42%,"1,089","1,094",-4.12%,2.54,2.53,0.80%,"1,615",1.48,1.360,32.04%,34.48%,14.50%,10.17%,5.93%,24.49%,"4,541",16.68%,594,"3,947",14.50%
"30,839",1.23%,"20,407","10,432","5,044",492,"5,536","4,896",283,"4,613","1,134","3,479",-0.77%,"1,095","1,099",-4.35%,3.18,3.17,3.93%,"3,270",2.99,1.360,32.04%,33.83%,15.88%,11.28%,10.60%,24.58%,"5,456",17.69%,560,"4,896",15.88%
"26,381",5.75%,"17,364","9,017","4,940",480,"5,420","3,597",273,"3,324",811,"2,513",4.53%,"1,101","1,106",-4.49%,2.28,2.27,9.13%,"4,038",3.67,1.360,32.04%,34.18%,13.63%,9.53%,15.31%,24.40%,"4,144",15.71%,547,"3,597",13.63%
"26,491",10.92%,"17,464","9,027","4,922",727,"5,649","3,378",265,"3,113",769,"2,344",31.76%,"1,116","1,122",-3.77%,2.11,2.10,37.25%,"2,377",2.13,1.030,15.73%,34.08%,12.75%,8.85%,8.97%,24.70%,"3,927",14.82%,549,"3,378",12.75%
"26,302",5.10%,"17,151","9,151","4,808",473,"5,281","3,870",224,"3,646",779,"2,867",32.42%,"1,135","1,141",-2.81%,2.53,2.51,36.41%,"1,514",1.33,1.030,15.73%,34.79%,14.71%,10.90%,5.76%,21.37%,"4,411",16.77%,541,"3,870",14.71%
"30,463",8.38%,"20,098","10,365","5,004",460,"5,464","4,901",246,"4,655","1,149","3,506",31.21%,"1,144","1,149",-3.36%,3.06,3.05,35.56%,"3,399",2.97,1.030,15.73%,34.02%,16.09%,11.51%,11.16%,24.68%,"5,431",17.83%,530,"4,901",16.09%
"24,947",4.44%,"16,330","8,617","4,779",457,"5,236","3,381",239,"3,142",738,"2,404",19.36%,"1,152","1,158",-3.82%,2.09,2.08,24.55%,"3,433",2.98,1.030,15.73%,34.54%,13.55%,9.64%,13.76%,23.49%,"3,913",15.69%,532,"3,381",13.55%
"23,883",7.55%,"15,790","8,093","4,440",464,"4,904","3,189",246,"2,943","1,164","1,779",2.01%,"1,160","1,166",-3.64%,1.54,1.53,5.52%,"1,756",1.51,0.890,28.99%,33.89%,13.35%,7.45%,7.35%,39.55%,"3,718",15.57%,529,"3,189",13.35%
"25,026",8.08%,"16,378","8,648","4,514",454,"4,968","3,680",247,"3,433","1,268","2,165",9.95%,"1,168","1,174",-4.48%,1.85,1.84,15.00%,"1,386",1.19,0.890,28.99%,34.56%,14.70%,8.65%,5.54%,36.94%,"4,198",16.77%,518,"3,680",14.70%
