0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
"9,212",2.92%,"5,670","3,542","1,252",364,-247,"1,369","2,173",206,1,"1,966",452,"1,514",-2.45%,664,-1.44%,2.29,2.27,-0.44%,"1,568",2.36,1.030,5.10%,38.45%,23.59%,16.44%,17.02%,22.99%,"2,480",26.92%,308,"2,172",23.58%
"9,146",2.16%,"5,626","3,520","1,262",375,-208,"1,429","2,091",187,14,"1,890",403,"1,487",17.92%,666,-2.21%,2.24,2.22,20.65%,"1,129",1.70,1.030,5.10%,38.49%,22.86%,16.26%,12.34%,21.32%,"2,361",25.81%,284,"2,077",22.71%
"8,864",5.83%,"5,498","3,366","1,317",357,-260,"1,414","1,952",170,14,"1,768",374,"1,394",22.93%,668,-2.58%,2.09,2.07,26.22%,-966,-1.45,1.030,5.10%,37.97%,22.02%,15.73%,-10.90%,21.15%,"2,221",25.06%,283,"1,938",21.86%
"9,186",6.11%,"6,124","3,062","1,249",0,0,"1,249","1,813",144,482,"1,187",168,"1,019",-28.64%,672,-2.34%,1.52,1.51,-26.34%,"2,143",3.19,1.030,5.10%,33.33%,19.74%,11.09%,23.33%,14.15%,"1,630",17.74%,299,"1,331",14.49%
"8,951",5.64%,"5,594","3,357","1,228",387,-337,"1,278","2,079",98,-3,"1,984",432,"1,552",23.47%,674,-2.42%,2.30,2.28,26.67%,"1,899",2.82,0.980,5.38%,37.50%,23.23%,17.34%,21.22%,21.77%,"2,382",26.61%,300,"2,082",23.26%
"8,953",1.65%,"5,660","3,293","1,306",386,-190,"1,502","1,791",87,2,"1,702",441,"1,261",-11.82%,681,-1.99%,1.86,1.84,-9.80%,632,0.93,0.980,5.38%,36.78%,20.00%,14.08%,7.06%,25.91%,"2,064",23.05%,275,"1,789",19.98%
"8,376",-0.92%,"5,324","3,052","1,431",350,-319,"1,462","1,590",85,-,"1,505",371,"1,134",-20.53%,686,-1.39%,1.66,1.64,-19.21%,-137,-0.20,0.980,5.38%,36.44%,18.98%,13.54%,-1.64%,24.65%,"1,920",22.92%,330,"1,590",18.98%
"8,657",-2.73%,"5,936","2,721","1,203",0,0,"1,203","1,518",80,-341,"1,779",351,"1,428",5.08%,688,-1.89%,2.08,2.05,7.33%,"2,391",3.47,0.980,5.38%,31.43%,17.53%,16.50%,27.62%,19.73%,"2,149",24.82%,290,"1,859",21.47%
"8,473",8.67%,"5,746","2,727","1,152",0,0,"1,152","1,575",90,-199,"1,684",427,"1,257",65.83%,690,-1.62%,1.82,1.80,68.22%,915,1.32,0.930,3.33%,32.18%,18.59%,14.84%,10.80%,25.36%,"2,082",24.57%,308,"1,774",20.94%
"8,808",17.80%,"6,003","2,805","1,207",0,0,"1,207","1,598",83,-349,"1,864",434,"1,430",32.28%,695,-1.04%,2.06,2.04,33.33%,"1,093",1.57,0.930,3.33%,31.85%,18.14%,16.24%,12.41%,23.28%,"2,231",25.33%,284,"1,947",22.10%
"8,454",-0.11%,"5,709","2,745","1,236",0,0,"1,236","1,509",90,-421,"1,840",413,"1,427",-9.74%,696,-2.40%,2.05,2.03,-8.14%,771,1.11,0.930,3.33%,32.47%,17.85%,16.88%,9.12%,22.45%,"2,271",26.86%,341,"1,930",22.83%
