0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,Selling & Marketing,General & Administrative,Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Income,Interest Expense,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
"14,753",4.58%,"6,729","8,024",0,0,"1,685",215,"5,953","1,714",0,412,-561,"1,873",159,"1,704",-,913,924,2.17%,1.87,1.84,-,"2,773",3.00,54.39%,11.62%,11.55%,18.80%,8.49%,"3,378",22.90%,"1,093","2,285",15.49%
"15,475",-0.39%,"6,974","8,501",372,"4,276","1,687",-248,"6,339","2,423",201,423,199,"2,000",419,"1,583",13.72%,910,920,0.97%,1.74,1.72,12.42%,"2,151",2.34,54.93%,15.66%,10.23%,13.90%,20.95%,"3,499",22.61%,"1,076","2,423",15.66%
"14,252",0.38%,"6,743","7,509",314,"4,294","1,655",-180,"6,328","1,425",170,367,177,"1,058",124,927,26.47%,908,918,0.94%,1.02,1.01,38.36%,"3,317",3.61,52.69%,10.00%,6.50%,23.27%,11.72%,"2,499",17.53%,"1,074","1,425",10.00%
"16,691",412.15%,"7,058","9,633",302,"4,179","1,604",-245,"6,124","3,625",64,313,223,"3,312",443,"2,710",16.16%,906,916,1.03%,2.99,2.96,8.82%,"3,421",3.74,57.71%,21.72%,16.24%,20.50%,13.38%,"4,762",28.53%,"1,137","3,625",21.72%
"14,107",-19.93%,"6,677","7,430",297,"3,832","1,611",-121,"5,881","-4,206",53,295,53,"-4,501","-1,287","-3,214",-,904,904,-0.21%,-3.55,-3.55,-,"1,456",1.61,52.67%,-29.81%,-22.78%,10.32%,-,"-3,043",-21.57%,"1,163","-4,206",-29.81%
"15,536",-17.12%,"7,246","8,290",395,"4,177","1,673",-176,"6,352","2,019",28,297,101,"1,722",257,"1,392",5.06%,902,911,0.72%,1.54,1.53,4.08%,827,0.91,53.36%,13.00%,8.96%,5.32%,14.92%,"3,264",21.01%,"1,245","2,019",13.00%
"14,198",-19.92%,"6,862","7,336",336,"3,965","1,679",-121,"6,155",934,17,311,-54,623,-39,733,-23.25%,899,909,0.83%,0.74,0.73,-31.13%,"2,870",3.16,51.67%,6.58%,5.16%,20.21%,-6.26%,"2,191",15.43%,"1,257",934,6.58%
"3,259",-84.00%,"-2,849","6,108",314,"2,770","1,581",129,"4,794","3,171",13,303,141,"2,869",407,"2,333",72.05%,898,907,0.85%,2.74,2.72,80.13%,"2,017",2.22,187.42%,97.30%,71.59%,61.89%,14.19%,"4,552",139.67%,"1,380","3,172",97.33%
"17,618",0.32%,"9,447","8,171",349,"4,100","1,621",268,"6,338","1,833",14,291,238,"1,319",188,"1,130",-33.41%,897,906,0.97%,1.26,1.25,-33.86%,"2,075",2.29,46.38%,10.40%,6.41%,11.78%,14.25%,"3,294",18.70%,"1,684","1,610",9.14%
"18,745",3.43%,"9,741","9,004",399,"4,698","1,657",103,"6,857","2,147",11,281,325,"1,552",227,"1,325",-2.65%,895,904,1.04%,1.48,1.47,-3.29%,"1,937",2.14,48.03%,11.45%,7.07%,10.33%,14.63%,"3,513",18.74%,"1,680","1,833",9.78%
"17,729",0.90%,"9,525","8,204",352,"4,575","1,630",101,"6,658","1,546",14,280,376,905,-51,955,-18.72%,894,902,0.75%,1.07,1.06,-19.08%,"4,385",4.86,46.27%,8.72%,5.39%,24.73%,-5.64%,"2,857",16.11%,"1,672","1,185",6.68%
"20,368",-6.47%,"9,844","10,524",390,"6,580","1,611",-18,"8,563","1,960",15,317,277,"1,289",25,"1,356",-63.04%,893,899,0.59%,1.52,1.51,-63.26%,"5,079",5.65,51.67%,9.62%,6.66%,24.94%,1.94%,"3,305",16.23%,"1,699","1,606",7.88%
"17,561",-2.59%,"9,130","8,431",361,"4,011","1,515",140,"6,027","2,096",15,323,-37,"1,827",128,"1,697",1.50%,891,897,0.50%,1.90,1.89,1.07%,"3,457",3.85,48.01%,11.94%,9.66%,19.69%,7.01%,"3,833",21.83%,"1,683","2,150",12.24%
