0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
"14,158",-7.69%,"8,140","6,018","1,340","3,870",816,"6,026",-8,-147,204,-65,-362,297,-70.85%,"4,202","4,229",2.52%,0.07,0.07,-72.00%,71,0.02,0.125,-65.75%,42.51%,-0.06%,2.10%,0.50%,-,"2,235",15.79%,"2,447",-212,-1.50%
"12,949",-15.48%,"8,311","4,638","1,374","4,080",200,"5,654","-1,016",-224,16,-808,"-2,289","1,481",-,"4,182","4,196",2.34%,0.35,0.35,-,"-3,080",-0.74,0.125,-65.75%,35.82%,-7.85%,11.44%,-23.79%,-,"1,244",9.61%,"2,276","-1,032",-7.97%
"11,715",-36.17%,"7,707","4,008","1,303","4,109",64,"5,476","-1,468",-141,-179,"-1,148","1,610","-2,758",-,"4,154","4,154",1.14%,-0.66,-0.66,-,"-9,198",-2.21,0.365,0%,34.21%,-12.53%,-23.54%,-78.51%,-,"1,077",9.19%,"2,366","-1,289",-11.00%
"14,042",-31.60%,"8,542","5,500","1,706","4,464",462,"6,632","-1,132",-150,-183,-799,-135,-664,-,"4,120","4,123",0.73%,-0.16,-0.16,-,"2,004",0.49,0.365,5.19%,39.17%,-8.06%,-4.73%,14.27%,-,"2,338",16.65%,"3,287",-949,-6.76%
"15,338",-20.08%,"8,803","6,535","1,744","4,302",664,"6,710",-175,-138,151,-188,"-1,207","1,019",-85.07%,"4,118","4,125",0.95%,0.25,0.25,-85.03%,"-6,269",-1.52,0.365,5.19%,42.61%,-1.14%,6.64%,-40.87%,-,"2,926",19.08%,"3,252",-326,-2.13%
"15,321",-21.96%,"9,734","5,587","1,800","4,400",87,"6,287",-700,119,90,-909,-455,-454,-,"4,100","4,100",0.39%,-0.11,-0.11,-,"-6,433",-1.57,0.365,5.19%,36.47%,-4.57%,-2.96%,-41.99%,-,"2,358",15.39%,"3,148",-790,-5.16%
"18,353",-6.71%,"9,109","9,244","1,752","4,362","-1,211","4,903","4,341",-997,"-4,323","9,661","1,548","8,113",141.39%,"4,079","4,107",0.27%,1.99,1.98,141.46%,"1,287",0.32,0.365,5.19%,50.37%,23.65%,44.21%,7.01%,16.02%,"12,012",65.45%,"3,348","8,664",47.21%
"20,528",2.75%,"9,519","11,009","1,942","4,049",29,"6,020","4,989",154,-359,"5,194",571,"4,623",-21.07%,"4,071","4,093",-0.68%,1.13,1.13,-20.42%,"-2,229",-0.55,0.347,5.15%,53.63%,24.30%,22.52%,-10.86%,10.99%,"8,422",41.03%,"3,074","5,348",26.05%
"19,192",4.69%,"8,446","10,746","1,674","3,803",42,"5,519","5,227",76,"-1,707","6,858",35,"6,823",59.57%,"4,061","4,086",-2.97%,1.68,1.67,63.73%,"5,463",1.34,0.347,5.15%,55.99%,27.24%,35.55%,28.46%,0.51%,"9,893",51.55%,"2,959","6,934",36.13%
