Quarter Ended,2023-10-01,2023-07-02,2023-04-02,2023-01-01,2022-10-02,2022-07-03,2022-04-03,2022-01-02,2021-10-03,2021-07-04,2021-04-04,2021-01-03,2020-09-27,2020-06-28,2020-03-29,2019-12-29,2019-09-29,2019-06-30,2019-03-31,2018-12-30,2018-09-30,2018-07-01,2018-04-01,2017-12-31,2017-10-01,2017-07-02,2017-04-02,2017-01-01,2016-10-02,2016-07-03,2016-04-03,2016-01-03,2015-09-27,2015-06-28,2015-03-29,2014-12-28,2014-09-28,2014-06-29,2014-03-30,2013-12-29,+55 Quarters
Revenue,"21,351","25,530","24,746","23,706","19,996","24,020","23,426","24,804","23,338","23,312","22,321","22,475","21,082","18,336","20,691","20,747","20,729","20,562","20,021","20,394","20,348","20,830","20,009","20,195","19,650","18,839","17,766","18,106","17,820","18,482","17,482","17,811","17,102","17,787","17,374","18,254","18,467","19,495","18,115","18,355",Upgrade
Revenue Growth (YoY),6.78%,6.29%,5.63%,-4.43%,-14.32%,3.04%,4.95%,10.36%,10.70%,27.14%,7.88%,8.33%,1.70%,-10.83%,3.35%,1.73%,1.87%,-1.29%,0.06%,0.99%,3.55%,10.57%,12.63%,11.54%,10.27%,1.93%,1.62%,1.66%,4.20%,3.91%,0.62%,-2.43%,-7.39%,-8.76%,-4.09%,-0.55%,5.08%,9.05%,3.48%,4.54%,Upgrade
Cost of Revenue,"6,606","8,212","8,395","7,765","6,172","7,919","7,598","7,955","7,250","7,587","7,063","7,814","6,972","6,579","7,062","7,134","6,867","6,940","6,615","6,961","6,589","6,927","6,614","7,259","6,925","5,846","5,409","5,638","5,486","5,336","5,329","5,673","5,224","5,357","5,282","5,853","5,399","6,039","5,455","5,955",Upgrade
Gross Profit,"14,745","17,318","16,351","15,941","13,824","16,101","15,828","16,849","16,088","15,725","15,258","14,661","14,110","11,757","13,629","13,613","13,862","13,622","13,406","13,433","13,759","13,903","13,395","12,936","12,725","12,993","12,357","12,468","12,334","13,146","12,153","12,138","11,878","12,430","12,092","12,401","13,068","13,456","12,660","12,400",Upgrade
"Selling, General & Admin","5,400","6,665","6,138","6,512","4,975","6,226","5,938","7,154","6,000","6,073","5,432","6,457","5,431","4,993","5,203","6,039","5,374","5,546","5,219","5,991","5,543","5,743","5,263","6,045","5,423","5,289","4,763","5,431","4,772","5,176","4,688","5,891","5,081","5,384","4,847","5,822","5,468","5,481","5,183","5,917",Upgrade
Research & Development,"3,447","3,829","3,563","3,841","3,485","3,703","3,462","4,720","3,422","3,394","3,178","4,032","2,840","2,707","2,580","3,232","2,599","2,666","2,858","3,224","2,508","2,639","2,404","3,643","2,585","2,296","2,070","2,688","2,178","2,264","2,013","2,864","2,154","2,129","1,899","2,635","2,023","2,005","1,831","2,411",Upgrade
Other Operating Expenses,364,145,179,257,65,85,680,83,960,56,53,97,206,67,58,104,69,57,926,64,"1,214",57,42,552,69,11,85,195,62,143,120,723,10,0,0,156,0,4,18,338,Upgrade
Operating Expenses,"9,211","10,639","9,880","10,610","8,525","10,014","10,080","11,957","10,382","9,523","8,663","10,586","8,477","7,767","7,841","9,375","8,042","8,269","9,003","9,279","9,265","8,439","7,709","10,240","8,077","7,596","6,918","8,314","7,012","7,583","6,821","9,478","7,245","7,513","6,746","8,613","7,491","7,490","7,032","8,666",Upgrade
Operating Income,"5,534","6,679","6,471","5,331","5,299","6,087","5,748","4,892","5,706","6,202","6,595","4,075","5,633","3,990","5,788","4,238","5,820","5,353","4,403","4,154","4,494","5,464","5,686","2,696","4,648","5,397","5,439","4,154","5,322","5,563","5,332","2,660","4,633","4,917","5,346","3,788","5,577","5,966","5,628","3,734",Upgrade
Interest Expense / Income,192,346,215,177,51,38,10,60,20,40,63,87,44,45,25,85,48,83,102,250,243,253,259,274,229,227,204,184,192,190,160,160,123,131,138,139,130,128,136,134,Upgrade
