0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
"11,953",8.04%,"4,657","7,296","3,667",359,"4,026","3,270",368,-639,"3,541",454,"3,087",9.27%,"4,324","4,339",-0.16%,0.71,0.71,9.23%,"3,922",0.91,0.460,4.55%,61.04%,27.36%,25.83%,32.81%,12.82%,"4,199",35.13%,290,"3,909",32.70%
"11,972",5.71%,"4,912","7,060","3,321","1,338","4,659","2,401",374,-879,"2,906",359,"2,547",33.70%,"4,325","4,341",-0.28%,0.59,0.59,34.09%,"4,147",0.96,0.460,4.55%,58.97%,20.06%,21.27%,34.64%,12.35%,"3,561",29.74%,281,"3,280",27.40%
"10,980",4.66%,"4,317","6,663","3,185",111,"3,296","3,367",372,"-1,052","4,047",940,"3,107",11.72%,"4,326","4,345",-0.28%,0.72,0.72,12.50%,-95,-0.02,0.460,4.55%,60.68%,30.66%,28.30%,-0.87%,23.23%,"4,705",42.85%,286,"4,419",40.25%
"10,125",6.98%,"4,513","5,612","3,431",106,"3,537","2,075",304,-704,"2,475",444,"2,031",-15.87%,"4,325","4,344",-0.11%,0.46,0.46,-16.36%,"2,271",0.53,0.440,4.76%,55.43%,20.49%,20.06%,22.43%,17.94%,"3,086",30.48%,307,"2,779",27.45%
"11,063",10.17%,"4,566","6,497","3,279",130,"3,409","3,088",198,-557,"3,447",622,"2,825",14.33%,"4,325","4,346",0.05%,0.65,0.65,14.04%,"3,246",0.75,0.440,4.76%,58.73%,27.91%,25.54%,29.34%,18.04%,"3,952",35.72%,307,"3,645",32.95%
"11,325",11.81%,"4,830","6,495","3,203",951,"4,154","2,341",198,-146,"2,289",384,"1,905",-27.87%,"4,331","4,353",0.35%,0.44,0.44,-27.87%,"3,670",0.85,0.440,4.76%,57.35%,20.67%,16.82%,32.41%,16.78%,"2,809",24.80%,322,"2,487",21.96%
"10,491",16.31%,"4,091","6,400","2,967",28,"2,995","3,405",182,-223,"3,446",665,"2,781",23.88%,"4,332","4,357",0.62%,0.64,0.64,23.08%,422,0.10,0.440,4.76%,61.00%,32.46%,26.51%,4.02%,19.30%,"3,952",37.67%,324,"3,628",34.58%
"9,464",9.91%,"4,088","5,376","3,336",368,"3,704","1,672",165,"-1,417","2,924",510,"2,414",65.80%,"4,321","4,349",0.46%,0.55,0.55,66.67%,"2,798",0.65,0.420,2.44%,56.80%,17.67%,25.51%,29.56%,17.44%,"3,430",36.24%,341,"3,089",32.64%
"10,042",16.07%,"3,977","6,065","3,122",45,"3,167","2,898",210,-392,"3,080",609,"2,471",42.26%,"4,318","4,344",0.53%,0.57,0.57,42.50%,"3,465",0.80,0.420,2.44%,60.40%,28.86%,24.61%,34.51%,19.77%,"3,652",36.37%,362,"3,290",32.76%
"10,129",41.66%,"3,787","6,342","3,017",309,"3,326","3,016",780,"-1,399","3,635",994,"2,641",48.45%,"4,313","4,338",0.51%,0.61,0.61,48.78%,"3,672",0.85,0.420,2.44%,62.61%,29.78%,26.07%,36.25%,27.35%,"4,798",47.37%,383,"4,415",43.59%
"9,020",4.87%,"3,505","5,515","2,669",124,"2,793","2,722",442,-473,"2,753",508,"2,245",-19.10%,"4,307","4,330",0.12%,0.52,0.52,-18.75%,"1,431",0.33,0.420,2.44%,61.14%,30.18%,24.89%,15.86%,18.45%,"3,561",39.48%,366,"3,195",35.42%
"8,611",-5.04%,"3,578","5,033","2,589",106,"2,695","2,338",310,-315,"2,343",887,"1,456",-28.70%,"4,301","4,329",0.14%,0.33,0.33,-29.79%,"3,239",0.75,0.410,2.50%,58.45%,27.15%,16.91%,37.61%,37.86%,"3,083",35.80%,430,"2,653",30.81%
"8,652",-8.99%,"3,471","5,181","2,511",372,"2,883","2,298",660,-540,"2,178",441,"1,737",-33.01%,"4,296","4,321",-,0.40,0.40,-33.33%,"3,255",0.76,0.410,2.50%,59.88%,26.56%,20.08%,37.62%,20.25%,"3,196",36.94%,358,"2,838",32.80%
"7,150",-28.48%,"3,013","4,137","1,983",173,"2,156","1,981",274,-510,"2,217",438,"1,779",-31.76%,"4,295","4,316",0.26%,0.41,0.41,-32.79%,"2,042",0.47,0.410,2.50%,57.86%,27.71%,24.88%,28.56%,19.76%,"2,872",40.17%,381,"2,491",34.84%
"8,601",-1.07%,"3,371","5,230","2,648",202,"2,850","2,380",193,-803,"2,990",215,"2,775",65.38%,"4,289","4,325",0.44%,0.65,0.64,64.10%,320,0.07,0.410,2.50%,60.81%,27.67%,32.26%,3.72%,7.19%,"3,550",41.27%,367,"3,183",37.01%
"9,068",16.17%,"3,566","5,502","3,224",114,"3,338","2,164",235,-468,"2,397",355,"2,042",134.71%,"4,285","4,323",0.42%,0.48,0.47,123.81%,"1,886",0.44,0.400,2.56%,60.67%,23.86%,22.52%,20.80%,14.81%,"3,032",33.44%,400,"2,632",29.03%
"9,507",8.34%,"3,767","5,740","3,116",125,"3,241","2,499",230,-827,"3,096",503,"2,593",37.93%,"4,280","4,321",0.61%,0.61,0.60,36.36%,"3,732",0.87,0.400,2.56%,60.38%,26.29%,27.27%,39.26%,16.25%,"3,689",38.80%,363,"3,326",34.98%
"9,997",6.11%,"3,921","6,076","2,996",92,"3,088","2,988",236,-276,"3,028",421,"2,607",12.56%,"4,269","4,305",0.35%,0.61,0.61,12.96%,"3,350",0.79,0.400,2.56%,60.78%,29.89%,26.08%,33.51%,13.90%,"3,591",35.92%,327,"3,264",32.65%
"8,694",14.00%,"3,365","5,329","2,767",127,"2,894","2,435",245,-10,"2,200",522,"1,678",22.66%,"4,271","4,306",-,0.39,0.39,21.88%,427,0.10,0.400,2.56%,61.30%,28.01%,19.30%,4.91%,23.73%,"2,720",31.29%,275,"2,445",28.12%
"7,806",-6.11%,"3,102","4,704","2,716",163,"2,879","1,825",253,664,908,38,870,-,"4,262","4,305",-0.23%,0.20,0.21,-,"1,588",0.37,0.390,5.41%,60.26%,23.38%,11.15%,20.34%,4.19%,"1,440",18.45%,279,"1,161",14.87%
"8,775",-3.34%,"3,346","5,429","2,660",155,"2,815","2,614",214,-35,"2,435",555,"1,880",29.92%,"4,255","4,295",-0.58%,0.44,0.44,33.33%,"2,679",0.63,0.390,5.41%,61.87%,29.79%,21.42%,30.53%,22.79%,"2,903",33.08%,254,"2,649",30.19%
"9,421",-2.90%,"3,543","5,878","2,887",225,"3,112","2,766",247,-408,"2,927",611,"2,316",68.93%,"4,255","4,290",-0.86%,0.54,0.54,68.75%,"1,678",0.39,0.390,5.41%,62.39%,29.36%,24.58%,17.81%,20.87%,"3,457",36.69%,283,"3,174",33.69%
"7,626",-16.36%,"2,738","4,888","2,541",536,"3,077","1,811",230,-293,"1,874",506,"1,368",15.74%,"4,265","4,306",-0.65%,0.32,0.32,18.52%,382,0.09,0.390,5.41%,64.10%,23.75%,17.94%,5.01%,27.00%,"2,374",31.13%,270,"2,104",27.59%
