0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
"6,498",13.62%,"2,710","3,788",567.5,116.4,683.9,"3,104",330.2,-42.8,"2,817",506.3,"2,310",94.48%,730,734,-1.04%,3.17,3.15,96.87%,"1,151",1.58,1.520,10.14%,58.30%,47.77%,35.56%,17.71%,17.97%,"3,639",56.01%,492.2,"3,147",48.43%
"5,898",4.10%,"2,521","3,376",553.3,290.7,844,"2,532",329.7,-64.3,"2,267",464.7,"1,802",63.19%,731,736,-1.62%,2.47,2.45,65.54%,"1,935",2.65,1.520,10.14%,57.25%,42.94%,30.56%,32.82%,20.50%,"3,087",52.34%,490.5,"2,597",44.03%
"5,927",-1.37%,"2,460","3,466",720.3,163.1,883.4,"2,583",322.9,-79.1,"2,339",435.5,"1,903",16.15%,731,736,-2.04%,2.60,2.58,18.35%,"1,689",2.31,1.520,10.14%,58.48%,43.58%,32.12%,28.50%,18.62%,"3,125",52.73%,463.1,"2,662",44.91%
"5,872",-5.31%,"2,369","3,504",576.4,163.2,739.6,"2,764",306.2,-78.5,"2,536",554.6,"1,982",-7.83%,735,740,-1.74%,2.70,2.68,-6.29%,"1,914",2.60,1.380,6.98%,59.66%,47.07%,33.75%,32.59%,21.87%,"3,308",56.33%,465.6,"2,842",48.41%
"5,718",-2.88%,"2,358","3,360",611.2,"1,037","1,648","1,712",290.6,12.1,"1,409",221.1,"1,188",-46.47%,738,742,-1.34%,1.61,1.60,-45.76%,186.5,0.25,1.380,6.98%,58.76%,29.93%,20.78%,3.26%,15.69%,"2,162",37.81%,462.2,"1,700",29.72%
"5,666",10.56%,"2,543","3,122",584.3,225.5,809.8,"2,313",287.3,484.1,"1,541",436.8,"1,104",-28.16%,743,748,-0.45%,1.49,1.48,-27.80%,"1,737",2.34,1.380,6.98%,55.11%,40.82%,19.49%,30.66%,28.34%,"2,308",40.74%,479.7,"1,829",32.27%
"6,009",13.08%,"2,692","3,317",755.4,164.5,919.9,"2,397",295.6,-6.3,"2,108",469,"1,639",19.00%,746,752,0.07%,2.20,2.18,18.48%,"1,988",2.67,1.380,6.98%,55.20%,39.89%,27.27%,33.08%,22.25%,"2,885",48.01%,481.6,"2,403",40.00%
"6,201",14.46%,"2,701","3,500",559.6,-45.8,513.8,"2,987",293.7,1.4,"2,691",541.5,"2,150",21.97%,747,753,0.35%,2.88,2.86,21.70%,"2,158",2.89,1.290,3.20%,56.44%,48.16%,34.67%,34.79%,20.12%,"3,454",55.70%,469.2,"2,985",48.14%
"5,888",56.53%,"2,600","3,288",572.4,24.3,596.7,"2,691",296.5,18.6,"2,376",156.7,"2,219",358.72%,747,752,0.47%,2.97,2.95,353.85%,"1,274",1.71,1.290,3.20%,55.84%,45.71%,37.69%,21.64%,6.60%,"3,136",53.26%,463.4,"2,673",45.39%
"5,125",8.70%,"2,389","2,736",490.4,-36.2,454.2,"2,281",300,28.6,"1,953",415.5,"1,537",38.87%,746,751,0.04%,2.06,2.05,39.46%,"1,788",2.40,1.290,3.20%,53.38%,44.52%,30.00%,34.89%,21.28%,"2,707",52.82%,453.9,"2,253",43.96%
"5,314",-2.11%,"2,465","2,849",698,8.3,706.3,"2,143",308.9,4,"1,830",452.8,"1,377",-12.40%,745,751,-0.57%,1.85,1.84,-11.54%,"1,539",2.07,1.290,3.20%,53.62%,40.33%,25.92%,28.97%,24.74%,"2,603",48.99%,464.3,"2,139",40.25%
"5,418",-1.53%,"2,444","2,974",454.7,-7.2,447.5,"2,526",310.1,-0.8,"2,217",454.5,"1,763",9.62%,745,750,-1.82%,2.37,2.35,11.37%,"2,550",3.42,1.250,7.76%,54.89%,46.63%,32.53%,47.06%,20.50%,"2,967",54.77%,440.1,"2,527",46.64%
"3,762",-30.47%,"1,973","1,789",576,251.5,827.5,961.1,319.1,-6.7,648.7,164.9,483.8,-68.11%,744,749,-2.61%,0.65,0.65,-67.01%,-516.3,-0.69,1.250,7.76%,47.55%,25.55%,12.86%,-13.73%,25.42%,"1,394",37.05%,425.7,967.8,25.73%
"4,714",-6.16%,"2,307","2,407",516.3,197.5,713.8,"1,694",280,-31.3,"1,445",338,"1,107",-16.67%,745,751,-2.71%,1.49,1.47,-14.53%,"1,079",1.45,1.250,7.76%,51.06%,35.92%,23.48%,22.89%,23.39%,"2,146",45.52%,421.3,"1,725",36.59%
"5,428",0.60%,"2,503","2,925",584.7,48,632.7,"2,293",283,-17.2,"2,027",454.6,"1,572",11.09%,749,755,-2.78%,2.10,2.08,14.29%,"1,196",1.60,1.250,7.76%,53.89%,42.23%,28.96%,22.04%,22.43%,"2,723",50.17%,413.6,"2,310",42.55%
"5,502",2.48%,"2,527","2,975",474.6,91.2,565.8,"2,409",280.6,-23.5,"2,152",544.3,"1,608",-1.80%,757,764,-2.01%,2.13,2.11,0.48%,"1,759",2.33,1.160,14.85%,54.07%,43.79%,29.22%,31.97%,25.29%,"2,846",51.73%,413.4,"2,433",44.21%
"5,410",1.04%,"2,512","2,898",469.9,154.2,624.1,"2,274",284.2,-18.1,"2,008",490.9,"1,517",1.38%,762,769,-2.34%,1.99,1.97,3.68%,"1,397",1.83,1.160,14.85%,53.57%,42.03%,28.04%,25.82%,24.45%,"2,690",49.73%,398.3,"2,292",42.37%
"5,024",-2.23%,"2,419","2,605",437.7,73.1,510.8,"2,094",274.1,-11.4,"1,831",502.9,"1,328",-3.42%,765,772,-3.39%,1.74,1.72,0%,"1,528",2.00,1.160,14.85%,51.85%,41.68%,26.44%,30.41%,27.46%,"2,498",49.72%,392.6,"2,105",41.91%
