0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
"8,312",-3.56%,"4,580","3,732","5,992",430,-36,"6,386","-2,654",304,-102,"-2,856",-781,"-2,075",-,554,554,-2.75%,-3.74,-3.74,-,"1,596",2.88,1.500,0.67%,44.90%,-31.93%,-24.96%,19.20%,-,"-2,017",-24.27%,535,"-2,552",-30.70%
"8,325",-4.33%,"4,606","3,719","12,204",473,0,"12,677","-8,958",144,-77,"-9,025","-2,184","-6,841",-,554,554,-3.28%,-12.35,-12.35,-,"1,152",2.08,1.500,0.67%,44.67%,-107.60%,-82.17%,13.84%,-,"-8,432",-101.29%,449,"-8,881",-106.68%
"8,031",-9.04%,"4,613","3,418","1,705",472,0,"2,177","1,241",123,-68,"1,186",210,976,-24.87%,553,553,-3.79%,1.77,1.76,-22.12%,803,1.45,1.500,0.67%,42.56%,15.45%,12.15%,10.00%,17.71%,"1,775",22.10%,466,"1,309",16.30%
"8,079",-6.19%,"4,585","3,494","2,146",445,271,"2,862",632,115,-86,603,62,541,-59.60%,552,553,-4.71%,1.03,1.03,-55.41%,"1,551",2.81,1.490,0.68%,43.25%,7.82%,6.70%,19.20%,10.28%,"1,178",14.58%,460,718,8.89%
"8,619",-3.61%,"4,728","3,891","1,998",461,"-2,724",-265,"4,156",106,-80,"4,130",271,"3,859",169.11%,569,570,-2.78%,6.79,6.77,176.33%,"1,105",1.94,1.490,0.68%,45.14%,48.22%,44.77%,12.82%,6.56%,"4,686",54.37%,450,"4,236",49.15%
"8,702",-2.77%,"5,093","3,609","3,023",476,0,"3,499",110,128,-73,55,-23,78,-94.88%,571,573,-2.70%,0.14,0.14,-94.59%,743,1.30,1.490,0.68%,41.47%,1.26%,0.90%,8.54%,-41.82%,645,7.41%,462,183,2.10%
"8,829",-0.25%,"4,826","4,003","1,882",480,0,"2,362","1,641",113,-73,"1,601",302,"1,299",-20.01%,572,575,-1.93%,2.27,2.26,-18.41%,643,1.12,1.490,0.68%,45.34%,18.59%,14.71%,7.28%,18.86%,"2,173",24.61%,459,"1,714",19.41%
"8,612",0.34%,"4,698","3,914","1,824",474,0,"2,298","1,616",118,-68,"1,566",227,"1,339",-4.70%,575,580,-0.70%,2.33,2.31,-4.15%,"1,456",2.53,1.480,0.68%,45.45%,18.76%,15.55%,16.91%,14.50%,"2,191",25.44%,507,"1,684",19.55%
"8,942",7.09%,"4,853","4,089","1,819",482,0,"2,301","1,788",117,-87,"1,758",324,"1,434",0.28%,580,586,0.67%,2.47,2.45,0%,"1,532",2.64,1.480,0.68%,45.73%,20.00%,16.04%,17.13%,18.43%,"2,351",26.29%,476,"1,875",20.97%
