Quarter Ended,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,+113 Quarters
Revenue,"15,962","15,035","14,487","13,830","14,959","14,593","15,901","13,521","13,154","11,402","12,080","12,514","12,551","10,872","12,057","11,868","12,397","11,760","10,816","10,998","10,794","10,465","10,037","10,433","10,325","9,930","9,434","10,115","10,536","9,844","9,312","10,215","10,073","9,785","9,425","10,482","10,557","10,934","10,264","11,319",Upgrade
Revenue Growth (YoY),6.70%,3.03%,-8.89%,2.29%,13.72%,27.99%,31.63%,8.05%,4.80%,4.87%,0.19%,5.44%,1.24%,-7.55%,11.47%,7.91%,14.85%,12.37%,7.76%,5.42%,4.54%,5.39%,6.39%,3.14%,-2.00%,0.87%,1.31%,-0.98%,4.60%,0.60%,-1.20%,-2.55%,-4.58%,-10.51%,-8.17%,-7.39%,-4.31%,-0.69%,-3.81%,-3.57%,Upgrade
Cost of Revenue,"4,264","4,024","3,926","3,881","3,934","4,216","5,380","3,873","3,450","3,104","3,670","5,532","3,481","3,159","3,312","3,669","3,990","3,401","3,052","3,289","3,619","3,417","3,184","3,406","3,274","3,080","3,015","3,332","3,409","3,578","3,572","3,850","3,761","3,754","3,569","3,749","4,223","4,893","3,903","4,607",Upgrade
Gross Profit,"11,698","11,011","10,561","9,949","11,025","10,377","10,521","9,648","9,704","8,298","8,410","6,982","9,070","7,713","8,745","8,199","8,407","8,359","7,764","7,709","7,175","7,048","6,853","7,027","7,051","6,850","6,419","6,783","7,127","6,266","5,740","6,365","6,312","6,031","5,856","6,733","6,334","6,041","6,361","6,712",Upgrade
Selling & Marketing,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,"2,443","2,508","2,508","2,580","2,401","2,438","2,411","2,593","2,393","2,458","2,318","2,615","2,472","2,624","2,601","2,924","2,975","2,973","2,734","2,982",Upgrade
General & Administrative,0,0,0,0,0,0,0,0,0,0,0,"3,085",0,"2,378","2,555","2,889","2,589","2,712","2,425","2,643",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
Research & Development,"3,307","13,321","4,276","3,775","4,399","2,798","2,576","3,068","2,445","4,321","2,465","5,838","3,390","2,123","2,209","2,548","3,204","2,189","1,931","2,214","2,068","2,274","3,196","2,055","4,383","1,749","1,796","1,720","1,664","2,151","1,659","1,797","1,500","1,670","1,737","2,283","1,659","1,664","1,574","1,836",Upgrade
Other Operating Expenses,-126,-172,-89,75,-429,-438,-708,333,450,130,448,258,312,390,-71,223,157,-13,58,-2,231,168,450,60,161,53,32,-556,43,107,49,-567,432,78,-15,"10,771",325,707,200,-19,Upgrade
Operating Expenses,"5,826","16,023","6,755","6,462","6,919","5,310","4,899","5,898","4,781","6,602","5,098","8,924","5,840","4,501","4,764","5,436","5,793","4,901","4,356","4,857","4,511","4,782","5,704","4,635","6,784","4,187","4,207","4,313","4,057","4,609","3,977","4,412","3,972","4,294","4,338","5,207","4,634","4,637","4,308","4,818",Upgrade
Operating Income,"5,998","-4,861","2,882","2,644","3,241","4,271","4,555","4,052","4,734","1,503","3,312","-1,940","3,230","3,212","3,981","2,762","2,614","3,458","3,408","2,852","2,664","2,266","1,149","2,167",267,"2,663","2,212",-459,"3,070","1,657","1,763","1,952","2,340","1,737","1,518","1,525","1,700","1,404","2,053","1,896",Upgrade
