0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
"56,517",12.76%,"16,302","40,215","6,661","6,659",0,"13,320","26,895",525,-914,"27,284","4,993","22,291",26.97%,"7,429","7,462",-0.31%,3.00,2.99,27.23%,"20,666",2.78,0.680,9.68%,71.16%,47.59%,39.44%,36.57%,18.30%,"31,730",56.14%,"3,921","27,809",49.20%
"56,189",8.34%,"16,795","39,394","8,401","6,739",0,"15,140","24,254",482,-955,"24,727","4,646","20,081",19.96%,"7,434","7,466",-0.51%,2.70,2.69,20.09%,"19,827",2.67,0.680,9.68%,70.11%,43.17%,35.74%,35.29%,18.79%,"29,083",51.76%,"3,874","25,209",44.86%
"52,857",7.08%,"16,128","36,729","7,393","6,984",0,"14,377","22,352",496,-817,"22,673","4,374","18,299",9.39%,"7,441","7,464",-0.93%,2.46,2.45,10.36%,"17,834",2.40,0.680,9.68%,69.49%,42.29%,34.62%,33.74%,19.29%,"26,718",50.55%,"3,549","23,169",43.83%
"52,747",1.97%,"17,488","35,259","8,016","6,844",0,"14,860","20,399",490,-430,"20,339","3,914","16,425",-12.47%,"7,451","7,473",-1.09%,2.20,2.20,-11.29%,"4,899",0.66,0.680,9.68%,66.85%,38.67%,31.14%,9.29%,19.24%,"24,477",46.40%,"3,648","20,829",39.49%
"50,122",10.60%,"15,452","34,670","6,524","6,628",0,"13,152","21,518",500,-554,"21,572","4,016","17,556",-14.38%,"7,457","7,485",-1.08%,2.35,2.35,-13.28%,"16,915",2.27,0.620,10.71%,69.17%,42.93%,35.03%,33.75%,18.62%,"24,862",49.60%,"2,790","22,072",44.04%
"51,865",12.38%,"16,429","35,436","8,053","6,849",0,"14,902","20,534",496,-449,"20,487","3,747","16,740",1.71%,"7,472","7,504",-1.02%,2.24,2.24,3.23%,"17,758",2.38,0.620,10.71%,68.32%,39.59%,32.28%,34.24%,18.29%,"24,962",48.13%,"3,979","20,983",40.46%
"49,360",18.35%,"15,615","33,745","7,075","6,306",0,"13,381","20,364",503,-329,"20,190","3,462","16,728",8.22%,"7,493","7,534",-0.83%,2.23,2.22,9.36%,"20,046",2.67,0.620,10.71%,68.37%,41.26%,33.89%,40.61%,17.15%,"24,466",49.57%,"3,773","20,693",41.92%
"51,728",20.09%,"16,960","34,768","6,763","5,758",0,"12,521","22,247",525,-793,"22,515","3,750","18,765",21.35%,"7,505","7,555",-0.80%,2.50,2.48,22.17%,"8,615",1.15,0.620,10.71%,67.21%,43.01%,36.28%,16.65%,16.66%,"26,536",51.30%,"3,496","23,040",44.54%
"45,317",21.97%,"13,646","31,671","5,834","5,599",0,"11,433","20,238",539,-825,"20,524",19,"20,505",47.59%,"7,513","7,567",-0.92%,2.73,2.71,48.90%,"18,730",2.49,0.560,9.80%,69.89%,44.66%,45.25%,41.33%,0.09%,"24,275",53.57%,"3,212","21,063",46.48%
