0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
"21,871",6.11%,"10,501","11,370","5,604",0,"5,604","5,766",225,-226,"5,767","1,246","4,521",14.78%,"2,357",-,-5.84%,1.89,1.83,16.56%,"3,979",1.69,0.941,3.07%,51.99%,26.36%,20.67%,18.19%,21.61%,"6,694",30.61%,702,"5,992",27.40%
"20,553",5.32%,"10,613","9,940","5,778",0,"5,778","4,162",240,-303,"4,225",841,"3,384",10.88%,"2,357",-,-1.76%,1.40,1.37,12.30%,"4,607",1.96,0.941,3.07%,48.36%,20.25%,16.46%,22.42%,19.91%,"5,171",25.16%,706,"4,465",21.72%
"20,068",3.54%,"10,404","9,664","5,416",0,"5,416","4,248",222,-235,"4,261",864,"3,397",1.25%,"2,473","2,473",-2.25%,1.41,1.37,3.01%,"3,133",1.27,0.913,4.94%,48.16%,21.17%,16.93%,15.61%,20.28%,"5,175",25.79%,692,"4,483",22.34%
"20,773",-0.86%,"10,897","9,876","5,091",0,"5,091","4,785",171,-195,"4,809",876,"3,933",-6.87%,"2,481","2,481",-2.48%,1.63,1.59,-4.22%,"2,866",1.16,0.913,4.94%,47.54%,23.03%,18.93%,13.80%,18.22%,"5,633",27.12%,653,"4,980",23.97%
"20,612",1.35%,"10,846","9,766","4,827",0,"4,827","4,939",123,-157,"4,973","1,034","3,939",-4.21%,"2,504","2,504",-2.16%,1.62,1.57,-2.48%,"3,180",1.27,0.913,4.94%,47.38%,23.96%,19.11%,15.43%,20.79%,"5,759",27.94%,663,"5,096",24.72%
"19,515",3.00%,"10,802","8,713","5,115",0,"5,115","3,598",115,-161,"3,644",592,"3,052",5.02%,"2,399",-,-2.00%,1.24,1.22,7.96%,"3,021",1.26,0.913,4.94%,44.65%,18.44%,15.64%,15.48%,16.25%,"4,481",22.96%,722,"3,759",19.26%
"19,381",7.02%,"10,326","9,055","5,031",0,"5,031","4,024",109,-144,"4,059",704,"3,355",2.63%,"2,530","2,530",-2.32%,1.37,1.33,5.56%,"2,499",0.99,0.870,9.99%,46.72%,20.76%,17.31%,12.89%,17.34%,"4,858",25.07%,690,"4,168",21.51%
"20,953",6.12%,"10,664","10,289","5,121",0,"5,121","5,168",106,-158,"5,220",997,"4,223",9.57%,"2,544","2,544",-2.72%,1.72,1.66,12.93%,"4,495",1.77,0.870,9.99%,49.11%,24.66%,20.15%,21.45%,19.10%,"6,010",28.68%,684,"5,326",25.42%
"20,338",5.28%,"10,365","9,973","4,950",0,"4,950","5,023",109,-107,"5,021",909,"4,112",-3.86%,"2,559","2,559",-2.53%,1.66,1.61,-1.23%,"3,552",1.39,0.870,9.99%,49.04%,24.70%,20.22%,17.46%,18.10%,"5,841",28.72%,711,"5,130",25.22%
"18,946",7.05%,"9,791","9,155","5,615",0,"5,615","3,540",117,-139,"3,562",656,"2,906",3.79%,"2,448",-,-1.11%,1.16,1.13,5.61%,"3,407",1.39,0.870,9.99%,48.32%,18.68%,15.34%,17.98%,18.42%,"4,389",23.17%,710,"3,679",19.42%
"18,109",5.20%,"8,922","9,187","5,402",0,"5,402","3,785",106,-218,"3,897",628,"3,269",12.07%,"2,590","2,590",-0.88%,1.30,1.26,12.50%,"3,431",1.32,0.791,6.03%,50.73%,20.90%,18.05%,18.95%,16.11%,"4,686",25.88%,683,"4,003",22.11%
"19,745",8.25%,"9,253","10,492","5,112",0,"5,112","5,380",143,393,"4,844",990,"3,854",3.69%,"2,615","2,615",-0.56%,1.53,1.47,4.26%,"4,857",1.86,0.791,6.03%,53.14%,27.25%,19.52%,24.60%,20.44%,"5,658",28.66%,671,"4,987",25.26%
"19,318",8.54%,"9,142","10,176","4,895",0,"4,895","5,281",136,-121,"5,266",989,"4,277",19.04%,"2,625","2,625",-0.84%,1.69,1.63,19.85%,"3,889",1.48,0.791,6.03%,52.68%,27.34%,22.14%,20.13%,18.78%,"6,073",31.44%,671,"5,402",27.96%
