0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,EBIT,EBIT Margin
"10,635",14.32%,"7,149","3,486","1,312","1,604","2,916",570,98,472,68,404,-11.01%,229,231,-2.86%,1.75,1.74,-7.94%,"3,046",13.31,1.000,7.53%,32.78%,5.36%,3.80%,28.64%,14.41%,570,5.36%,570,5.36%
"10,098",10.53%,"7,227","2,871","1,308","1,519","2,827",44,92,-48,-34,-14,-,230,230,-4.73%,-0.07,-0.07,-,"1,549",6.74,1.000,7.53%,28.43%,0.44%,-0.14%,15.34%,-,44,0.44%,44,0.44%
"9,704",10.16%,"5,959","3,745","1,267","1,462","2,729","1,016",88,928,-47,975,-4.22%,232,234,-3.82%,4.18,4.13,-0.48%,"1,012",4.37,0.930,5.68%,38.59%,10.47%,10.05%,10.43%,-5.06%,"1,016",10.47%,"1,016",10.47%
"9,636",6.94%,"5,924","3,712","1,203","1,434","2,637","1,075",88,987,168,819,-38.56%,233,236,-4.02%,3.48,3.43,-35.65%,"1,340",5.75,0.930,5.68%,38.52%,11.16%,8.50%,13.91%,17.02%,"1,075",11.16%,"1,075",11.16%
"9,303",5.66%,"6,088","3,215","1,193","1,406","2,599",616,88,528,74,454,-31.42%,235,238,-4.88%,1.91,1.89,-27.86%,"2,484",10.55,0.930,5.68%,34.56%,6.62%,4.88%,26.70%,14.02%,616,6.62%,616,6.62%
"9,136",5.17%,"5,803","3,333","1,223","1,365","2,588",745,88,657,106,551,-41.01%,238,241,-4.74%,2.29,2.27,-37.98%,"1,375",5.77,0.930,5.68%,36.48%,8.15%,6.03%,15.05%,16.13%,745,8.15%,745,8.15%
"8,809",5.97%,"5,039","3,770","1,191","1,310","2,501","1,269",87,"1,182",164,"1,018",38.88%,241,244,-4.09%,4.20,4.15,44.60%,"1,266",5.25,0.880,3.53%,42.80%,14.41%,11.56%,14.37%,13.87%,"1,269",14.41%,"1,269",14.41%
"9,011",7.31%,"4,819","4,192","1,153","1,301","2,454","1,738",88,"1,650",317,"1,333",1.76%,244,246,-3.49%,5.39,5.33,4.31%,"1,692",6.94,0.880,3.53%,46.52%,19.29%,14.79%,18.78%,19.21%,"1,738",19.29%,"1,738",19.29%
"8,805",6.40%,"5,464","3,341","1,187","1,281","2,468",873,87,786,124,662,-19.95%,248,250,-1.65%,2.65,2.62,-18.89%,"2,543",10.27,0.880,3.53%,37.94%,9.91%,7.52%,28.88%,15.78%,873,9.91%,873,9.91%
"8,687",17.38%,"5,045","3,642","1,174","1,254","2,428","1,214",83,"1,131",197,934,-,251,253,0.60%,3.70,3.66,-,"1,849",7.38,0.880,3.53%,41.92%,13.97%,10.75%,21.28%,17.42%,"1,214",13.97%,"1,214",13.97%
"8,313",5.12%,"4,970","3,343","1,163","1,207","2,370",973,82,891,158,733,22.17%,252,254,-0.70%,2.89,2.87,23.18%,"1,190",4.72,0.850,3.66%,40.21%,11.70%,8.82%,14.31%,17.73%,973,11.70%,973,11.70%
"8,397",4.14%,"4,341","4,056","1,142","1,215","2,357","1,699",83,"1,616",306,"1,310",50.06%,254,255,-1.58%,5.12,5.11,53.45%,"1,901",7.50,0.850,3.66%,48.30%,20.23%,15.60%,22.64%,18.94%,"1,699",20.23%,"1,699",20.23%
