Quarter Ended,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,+113 Quarters
Revenue,"92,361","91,788","91,133","81,932","80,381","80,037","79,782","72,930","71,834","70,765","69,744","65,022","64,764","61,797","64,056","60,468","59,885","60,013","59,903","58,076","56,174","55,731","54,890","51,763","50,075","49,797","48,501","47,262","46,102","46,292","44,344","43,419","41,319","36,049","35,610","33,267","32,587","32,324","31,517","30,933",Upgrade
Revenue Growth (YoY),14.90%,14.68%,14.23%,12.34%,11.90%,13.10%,14.39%,12.16%,10.92%,14.51%,8.88%,7.53%,8.15%,2.97%,6.93%,4.12%,6.61%,7.68%,9.13%,12.20%,12.18%,11.92%,13.17%,9.52%,8.62%,7.57%,9.37%,8.85%,11.58%,28.41%,24.53%,30.52%,26.80%,11.52%,12.99%,7.55%,6.98%,6.99%,4.58%,8.21%,Upgrade
Cost of Revenue,"68,973","70,016","69,250","61,905","60,941","60,689","61,010","56,159","55,104","54,206","52,476","49,704","49,571","42,179","48,687","45,787","45,668","46,782","46,320","44,580","42,876","42,898","42,047","39,686","38,269","38,438","37,755","36,004","35,165","35,978","34,307","34,085","31,718","27,137","26,789","24,442","24,047","24,452","24,100","23,261",Upgrade
Gross Profit,"23,388","21,772","21,883","20,027","19,440","19,348","18,772","16,771","16,730","16,559","17,268","15,318","15,193","19,618","15,369","14,681","14,217","13,231","13,583","13,496","13,298","12,833","12,843","12,077","11,806","11,359","10,746","11,258","10,937","10,314","10,037","9,334","9,601","8,912","8,821","8,825","8,540","7,872","7,417","7,672",Upgrade
Other Operating Expenses,0,"14,830","14,595","13,991","12,491","12,511","12,189","12,043","11,521","11,137","10,981","12,246","10,893","10,718","10,738","10,019","9,669","9,069","9,156","9,340","9,090","8,984","9,088","8,398","7,965","7,884","7,555","8,344","7,548","7,304","7,260","6,694","6,753","6,231","6,327","6,226","5,809","5,570","5,554","5,404",Upgrade
Operating Expenses,"14,862","14,830","14,595","13,991","12,491","12,511","12,189","12,043","11,521","11,137","10,981","12,246","10,893","10,718","10,738","10,019","9,669","9,069","9,156","9,340","9,090","8,984","9,088","8,398","7,965","7,884","7,555","7,982","7,548","7,304","7,260","7,046","6,753","6,231","6,327","6,226","5,809","5,570","5,554","5,404",Upgrade
Operating Income,"8,526","8,057","8,086","6,891","7,462","7,132","6,950","5,541","5,712","5,978","6,739","3,517","4,651","9,241","4,996","5,095","5,014","4,744","4,832","4,497","4,590","4,204","4,053","3,977","4,088","3,731","3,413","3,537","3,580","3,203","2,960","2,468","3,018","2,895","2,640","2,765","2,903","2,552","2,054","2,452",Upgrade
Interest Expense,834,828,754,676,516,467,433,431,422,410,397,401,395,430,437,437,449,418,400,374,353,344,329,308,294,301,283,268,269,271,259,260,229,151,150,151,152,155,160,176,Upgrade
Other Expense / Income,197,183,163,147,122,129,121,120,105,106,116,140,84,59,83,127,91,92,90,124,96,88,88,104,76,66,19,24,10,6,16,34,21,-,-,-,-,-,-,-,Upgrade
Pretax Income,"7,692","7,229","7,332","6,215","6,946","6,665","6,517","5,110","5,290","5,568","6,342","3,116","4,256","8,811","4,559","4,658","4,565","4,326","4,432","4,123","4,237","3,860","3,724","3,669","3,794","3,430","3,130","3,269","3,311","2,932","2,701","2,208","2,789","2,744","2,490","2,614","2,751","2,397","1,894","2,276",Upgrade
