Quarter Ended,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,+72 Quarters
Revenue,"33,336","32,596","32,912","35,251","34,241","33,789","33,554","34,067","32,915","33,764","32,867","34,692","31,543","30,447","31,610","34,775","32,894","32,071","32,128","34,281","32,607","32,203","31,772","33,955","31,717","30,548","29,814","32,340","30,937","30,532","32,171","34,254","33,158","32,224","31,984","33,192","31,586","31,483","30,818","31,065",Upgrade
Revenue Growth (YoY),-2.64%,-3.53%,-1.91%,3.48%,4.03%,0.07%,2.09%,-1.80%,4.35%,10.89%,3.98%,-0.24%,-4.11%,-5.06%,-1.61%,1.44%,0.88%,-0.41%,1.12%,0.96%,2.81%,5.42%,6.57%,4.99%,2.52%,0.05%,-7.33%,-5.59%,-6.70%,-5.25%,0.58%,3.20%,4.98%,2.35%,3.78%,6.85%,4.32%,5.70%,4.75%,3.39%,Upgrade
Cost of Revenue,"13,437","12,764","13,504","15,762","14,601","14,420","14,350","14,996","13,528","14,255","13,522","14,822","12,334","11,749","12,296","15,631","13,384","12,721","12,990","15,291","13,331","13,631","13,255","15,558","12,974","12,484","12,047","15,639","12,229","12,221","12,612","14,707","13,305","12,449","12,096","14,403","12,252","12,087","11,189","11,962",Upgrade
Gross Profit,"19,899","19,832","19,408","19,489","19,640","19,369","19,204","19,071","19,387","19,509","19,345","19,870","19,209","18,698","19,314","19,144","19,510","19,350","19,138","18,990","19,276","18,572","18,517","18,397","18,743","18,064","17,767","16,701","18,708","18,311","19,559","19,547","19,853","19,775","19,888","18,789","19,334","19,396","19,629","19,103",Upgrade
"Selling, General & Admin","7,995","8,253","7,506","8,046","7,422","7,496","7,172","7,412","6,521","7,324","7,401","8,493","7,339","7,156","8,585","8,214","7,216","7,268","7,198","9,410","7,224","7,605","6,844","8,480","7,483","5,883","6,746","2,501","8,226","9,775","7,600","5,764","8,309","7,974","7,939","16,857","8,277","7,550","8,332","2,857",Upgrade
Other Operating Expenses,"4,431","4,359","4,318","4,218","4,324","4,321","4,236","4,051","3,961","4,020","4,174","4,197","4,192","4,181","4,150","4,291","4,114","4,232","4,231","8,943","4,377","4,350","4,324","4,456","4,272","4,167","4,059","3,987","3,942","3,982","4,017","4,039","4,009","3,980","3,989","4,068","4,167","4,161","4,137","4,183",Upgrade
Operating Expenses,"12,426","12,612","11,824","12,264","11,746","11,817","11,408","11,463","10,482","11,344","11,575","12,690","11,531","11,337","12,735","12,505","11,330","11,500","11,429","18,353","11,601","11,955","11,168","12,936","11,755","10,050","10,805","6,488","12,168","13,757","11,617","9,803","12,318","11,954","11,928","20,925","12,444","11,711","12,469","7,040",Upgrade
Operating Income,"7,473","7,220","7,584","7,225","7,894","7,552","7,796","7,608","8,905","8,165","7,770","7,180","7,678","7,361","6,579","6,639","8,180","7,850","7,709",637,"7,675","6,617","7,349","5,461","6,988","8,014","6,962","10,213","6,540","4,554","7,942","9,744","7,535","7,821","7,960","-2,136","6,890","7,685","7,160","12,063",Upgrade
Interest Expense / Income,"1,433","1,285","1,207","1,105",937,785,786,739,801,844,"1,101","1,080","1,044","1,089","1,034","1,159","1,146","1,215","1,210","1,199","1,211","1,222","1,201","1,219","1,164","1,218","1,132","1,137","1,038","1,013","1,188","1,178","1,202","1,208","1,332","1,282","1,255","1,164","1,214","1,061",Upgrade
Other Expense / Income,-30,-59,-14,"-2,570",561,26,"1,058",849,-123,-354,-276,-23,930,224,-,"1,890",254,"1,455",-161,"-1,803",-73,-6,215,"1,422",429,-55,751,"2,232",53,"1,975",108,110,100,108,78,551,76,87,"1,031","3,091",Upgrade
