Quarter Ended,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,+30 Quarters
Revenue,"8,609","8,123","7,985","7,936","7,787","7,275","7,189","7,059","6,559","6,130","5,729","5,687","5,101","4,837","5,854","6,054","6,137","5,840","5,494","5,506","5,434","5,240","5,073","4,862","4,855","4,565","4,477","4,461","4,261","3,630","3,626","3,565","3,571","3,518","3,409","3,382","3,229","3,155","3,163","3,155",Upgrade
Revenue Growth (YoY),10.56%,11.66%,11.07%,12.42%,18.72%,18.68%,25.48%,24.13%,28.58%,26.73%,-2.14%,-6.06%,-16.88%,-17.17%,6.55%,9.95%,12.94%,11.45%,8.30%,13.25%,11.93%,14.79%,13.31%,8.99%,13.94%,25.76%,23.47%,25.13%,19.32%,3.18%,6.37%,5.41%,10.59%,11.51%,7.78%,7.19%,8.61%,5.13%,6.93%,10.86%,Upgrade
Cost of Revenue,"1,695","1,663","1,694","1,515","1,541","1,461","1,416","1,315","1,239","1,284","1,293","1,154","1,113","1,113","1,123","1,163","1,064","1,056","1,065",980,"1,003","1,021",993,839,822,856,854,716,851,632,654,627,655,683,592,623,624,590,566,602,Upgrade
Gross Profit,"6,914","6,460","6,291","6,421","6,246","5,814","5,773","5,744","5,320","4,846","4,436","4,533","3,988","3,724","4,731","4,891","5,073","4,784","4,429","4,526","4,431","4,219","4,080","4,023","4,033","3,709","3,623","3,745","3,410","2,998","2,972","2,938","2,916","2,835","2,817","2,759","2,605","2,565","2,597","2,553",Upgrade
Selling & Marketing,403,297,309,332,429,313,314,280,457,268,206,205,288,174,235,274,306,282,241,276,264,240,261,223,290,221,193,218,300,189,186,194,253,224,190,205,241,228,245,186,Upgrade
General & Administrative,585,447,412,431,501,406,450,342,345,312,445,286,360,353,372,419,490,428,365,367,591,342,330,328,382,332,489,266,343,384,230,228,250,219,218,196,247,208,197,183,Upgrade
Other Operating Expenses,"2,071",235,234,227,226,230,207,198,202,204,201,197,196,197,192,182,172,165,160,159,163,152,153,145,147,132,131,146,141,120,121,120,119,130,125,120,112,109,107,107,Upgrade
Operating Expenses,"3,059",979,955,990,"1,156",949,971,820,"1,004",784,852,688,844,724,799,875,968,875,766,802,"1,018",734,744,696,819,685,813,630,784,693,537,542,622,573,533,521,600,545,549,476,Upgrade
Operating Income,"5,550","5,024","5,336","5,090","5,087","4,148","4,802","4,790","4,315","3,931","3,581","3,844","3,142","2,999","3,924","4,016","3,735","3,781","3,663","3,717","3,406","3,330","3,336","3,327","3,212","2,884","2,808","3,100","2,625","2,174","2,434","2,396","2,283","2,262","2,281","2,238","1,552","2,020","2,048","2,077",Upgrade
Interest Expense,-183,182,142,137,159,111,134,134,125,131,121,136,145,142,118,-111,120,128,-140,145,150,155,153,154,148,140,135,140,135,131,132,29,0,0,0,0,0,0,0,0,Upgrade
