0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
"35,422",9.16%,"28,947","6,475","6,990",-65,"6,925",-450,155,-274,-331,-151,-180,-,864,864,-0.24%,-0.21,-0.21,-,555,0.64,0.480,0%,18.28%,-1.27%,-0.51%,1.57%,-,429,1.21%,605,-176,-0.50%
"35,415",8.64%,"28,826","6,589","7,123",-58,"7,065",-476,173,-437,-212,-330,118,-59.17%,863,864,-0.17%,0.14,0.14,-57.58%,-545,-0.63,0.480,0.63%,18.61%,-1.34%,0.33%,-1.54%,-,558,1.58%,597,-39,-0.11%
"34,862",3.28%,"27,807","7,055","6,934",-75,"6,859",196,141,-718,773,70,703,-20.39%,863,863,-0.21%,0.81,0.81,-20.59%,248,0.29,0.480,0.63%,20.24%,0.56%,2.02%,0.71%,9.06%,"1,474",4.23%,560,914,2.62%
"33,382",-1.53%,"26,429","6,953","13,158",-53,"13,105","-6,152",110,"-1,094","-5,168","-1,447","-3,721",-,864,864,-0.46%,-4.31,-4.31,-,-117,-0.14,0.480,0.63%,20.83%,-18.43%,-11.15%,-0.35%,-,"-4,563",-13.67%,495,"-5,058",-15.15%
"32,449",-5.29%,"26,038","6,411","7,320",-88,"7,232",-821,105,-276,-650,-235,-415,-,864,866,-0.16%,-0.48,-0.48,-,-407,-0.47,0.480,0.63%,19.76%,-2.53%,-1.28%,-1.25%,-,-57,-0.18%,488,-545,-1.68%
"32,597",-4.21%,"26,025","6,572","7,019",-127,"6,892",-320,108,-475,47,-242,289,-75.86%,864,865,-0.20%,0.33,0.33,-76.09%,"1,258",1.46,0.477,1.92%,20.16%,-0.98%,0.89%,3.86%,-514.89%,633,1.94%,478,155,0.48%
"33,756",2.98%,"26,047","7,709","6,565",-103,"6,462","1,247",100,92,"1,055",172,883,-13.94%,864,865,-0.05%,1.02,1.02,-14.29%,669,0.78,0.477,1.92%,22.84%,3.69%,2.62%,1.98%,16.30%,"1,679",4.97%,524,"1,155",3.42%
"33,901",7.83%,"26,326","7,575","6,391",-100,"6,291","1,284",86,"-2,657","3,855",275,"3,580",-,866,868,0.27%,4.13,4.13,-,645,0.74,0.477,1.92%,22.34%,3.79%,10.56%,1.90%,7.13%,"4,441",13.10%,500,"3,941",11.63%
"34,262",12.82%,"26,758","7,504","6,650","1,139","7,789",-285,88,"-1,586","1,213",586,627,68.10%,865,867,-0.01%,0.73,0.72,67.44%,867,1.00,0.477,1.92%,21.90%,-0.83%,1.83%,2.53%,48.31%,"1,819",5.31%,518,"1,301",3.80%
"34,030",12.07%,"26,877","7,153","6,116",0,"6,116","1,037",545,-951,"1,443",246,"1,197",-,865,867,-0.96%,1.38,1.38,-,"1,445",1.67,0.468,2.18%,21.02%,3.05%,3.52%,4.25%,17.05%,"2,495",7.33%,507,"1,988",5.84%
"32,779",4.60%,"25,998","6,781","6,029",0,"6,029",752,137,-453,"1,068",42,"1,026",8.46%,864,866,-2.25%,1.19,1.19,11.21%,"1,100",1.27,0.468,2.18%,20.69%,2.29%,3.13%,3.36%,3.93%,"1,678",5.12%,473,"1,205",3.68%
"31,438",-8.45%,"24,808","6,630","5,792",0,"5,792",838,136,"1,217",-515,-207,-308,-,865,865,-3.06%,-0.36,-0.36,-,764,0.88,0.468,2.18%,21.09%,2.67%,-0.98%,2.43%,-,96,0.31%,475,-379,-1.21%
"30,370",76.96%,"24,047","6,323","5,773",0,"5,773",550,150,-183,583,210,373,-44.90%,867,867,-3.73%,0.43,0.43,-43.42%,"1,674",1.93,0.468,2.18%,20.82%,1.81%,1.23%,5.51%,36.02%,"1,213",3.99%,480,733,2.41%
"30,364",-12.22%,"24,406","5,958","7,884",0,"7,884","-1,926",148,-323,"-1,751",-43,"-1,708",-,875,875,-3.93%,-1.95,-1.95,-,657,0.75,0.458,4.09%,19.62%,-6.34%,-5.63%,2.16%,-,"-1,125",-3.71%,478,"-1,603",-5.28%
"31,336",-9.24%,"24,318","7,018","5,909",0,"5,909","1,109",156,-142,"1,095",149,946,-18.17%,885,886,-4.86%,1.07,1.07,-13.71%,"1,105",1.25,0.458,4.09%,22.40%,3.54%,3.02%,3.53%,13.61%,"1,743",5.56%,492,"1,251",3.99%
"34,339",1.62%,"27,077","7,262","6,262",0,"6,262","1,000",166,-43,877,32,845,-24.76%,891,893,-6.18%,0.95,0.95,-19.49%,674,0.76,0.458,4.09%,21.15%,2.91%,2.46%,1.96%,3.65%,"1,520",4.43%,477,"1,043",3.04%
"17,162",-48.68%,"11,852","5,310","4,723",-164,"4,559",751,121,-62,692,15,677,-55.22%,900,901,-7.92%,0.76,0.76,-50.65%,"1,923",2.14,0.458,4.09%,30.94%,4.38%,3.94%,11.20%,2.17%,"1,339",7.80%,526,813,4.74%
"34,591",0.75%,"27,138","7,453","6,235",0,"6,235","1,218",187,-150,"1,181",156,"1,025",-23.62%,910,911,-8.45%,1.13,1.13,-16.30%,"1,567",1.72,0.440,10.00%,21.55%,3.52%,2.96%,4.53%,13.21%,"1,890",5.46%,522,"1,368",3.95%
"34,528",4.56%,"26,773","7,755","6,320",-83,"6,237","1,518",181,-45,"1,382",226,"1,156",-14.31%,928,931,-6.51%,1.25,1.24,-8.82%,412,0.44,0.440,10.00%,22.46%,4.40%,3.35%,1.19%,16.35%,"2,063",5.97%,500,"1,563",4.53%
"33,793",9.93%,"26,152","7,641","6,280",-39,"6,241","1,400",161,-64,"1,303",180,"1,123",36.78%,948,951,-5.90%,1.18,1.18,45.68%,-10,-0.01,0.440,10.00%,22.61%,4.14%,3.32%,-0.03%,13.81%,"1,954",5.78%,490,"1,464",4.33%
"33,442",10.92%,"25,867","7,575","6,228",-191,"6,037","1,538",159,-292,"1,671",159,"1,512",88.53%,975,978,-7.50%,1.55,1.54,102.63%,"2,433",2.50,0.440,10.00%,22.65%,4.60%,4.52%,7.28%,9.52%,"2,300",6.88%,470,"1,830",5.47%
"34,334",14.00%,"26,554","7,780","6,235",0,"6,235","1,545",157,-63,"1,451",109,"1,342",15.49%,992,995,-8.06%,1.35,1.35,26.17%,"1,921",1.94,0.400,6.67%,22.66%,4.50%,3.91%,5.60%,7.51%,"2,050",5.97%,442,"1,608",4.68%
"33,021",12.14%,"24,925","8,096","6,321",-202,"6,119","1,977",151,-26,"1,852",503,"1,349",27.26%,991,996,-8.29%,1.36,1.36,38.78%,"1,917",1.93,0.400,6.67%,24.52%,5.99%,4.09%,5.81%,27.16%,"2,445",7.40%,442,"2,003",6.07%
"30,740",7.86%,"23,399","7,341","5,910",0,"5,910","1,431",149,234,"1,048",227,821,-22.11%,"1,006","1,011",-7.09%,0.82,0.81,-16.49%,625,0.62,0.400,6.67%,23.88%,4.66%,2.67%,2.03%,21.66%,"1,613",5.25%,416,"1,197",3.89%
"30,149",5.28%,"22,809","7,340","6,291",8,"6,299","1,041",193,-80,928,126,802,-22.14%,"1,055","1,058",-2.92%,0.77,0.76,-19.15%,"1,579",1.50,0.400,6.67%,24.35%,3.45%,2.66%,5.24%,13.58%,"1,531",5.08%,410,"1,121",3.72%
"30,118",2.10%,"22,973","7,145","5,712",-84,"5,628","1,517",155,32,"1,330",168,"1,162",5.35%,"1,077","1,083",-0.51%,1.08,1.07,5.94%,"1,582",1.47,0.375,4.17%,23.72%,5.04%,3.86%,5.25%,12.63%,"1,898",6.30%,413,"1,485",4.93%
"29,446",-2.45%,"21,885","7,561","6,124",-42,"6,082","1,479",172,1,"1,306",246,"1,060",13.98%,"1,080","1,086",-0.27%,0.98,0.98,15.29%,"2,596",2.40,0.375,4.17%,25.68%,5.02%,3.60%,8.82%,18.84%,"1,890",6.42%,412,"1,478",5.02%
"28,501",-1.83%,"21,385","7,116","5,686",0,"5,686","1,430",173,-17,"1,274",220,"1,054",-5.05%,"1,082","1,088",-0.94%,0.97,0.97,-3.96%,147,0.14,0.375,4.17%,24.97%,5.02%,3.70%,0.52%,17.27%,"1,866",6.55%,419,"1,447",5.08%
"28,636",0.40%,"21,481","7,155","6,049",-34,"6,015","1,140",171,-268,"1,237",207,"1,030",3861.54%,"1,083","1,089",-1.20%,0.95,0.94,-,"2,237",2.07,0.375,4.17%,24.99%,3.98%,3.60%,7.81%,16.73%,"1,855",6.48%,447,"1,408",4.92%
"29,498",2.44%,"22,065","7,433","5,903",-3,"5,900","1,533",147,-39,"1,425",322,"1,103",-15.28%,"1,081","1,088",-1.29%,1.02,1.01,-14.41%,"1,857",1.72,0.360,6.51%,25.20%,5.20%,3.74%,6.30%,22.60%,"2,019",6.84%,447,"1,572",5.33%
"30,184",13.59%,"22,317","7,867","6,007",496,"6,503","1,364",140,-7,"1,231",301,930,-54.46%,"1,080","1,088",3.20%,0.86,0.85,-55.96%,"2,036",1.89,0.360,6.51%,26.06%,4.52%,3.08%,6.75%,24.45%,"1,813",6.01%,442,"1,371",4.54%
"29,033",48.48%,"21,614","7,419","5,951",0,"5,951","1,468",138,53,"1,277",167,"1,110",30.59%,"1,089","1,099",14.92%,1.02,1.01,13.48%,392,0.36,0.360,6.51%,25.55%,5.06%,3.82%,1.35%,13.08%,"1,797",6.19%,382,"1,415",4.87%
"28,522",49.67%,"21,428","7,094","6,258",0,"6,258",836,255,619,-38,-64,26,-,"1,092","1,103",13.91%,-0.03,-0.04,-,"1,144",1.05,0.360,6.51%,24.87%,2.93%,0.09%,4.01%,-,695,2.44%,478,217,0.76%
"28,795",48.42%,"21,314","7,481","6,080",0,"6,080","1,401",151,-460,"1,710",408,"1,302",82.35%,"1,091","1,102",13.93%,1.19,1.18,59.46%,"1,575",1.44,0.338,7.30%,25.98%,4.87%,4.52%,5.47%,23.86%,"2,299",7.98%,438,"1,861",6.46%
"26,573",35.54%,"19,691","6,882","5,606",-101,"5,505","1,377",144,"-1,200","2,433",391,"2,042",185.20%,"1,044","1,055",9.44%,1.96,1.93,160.81%,998,0.96,0.338,7.30%,25.90%,5.18%,7.68%,3.76%,16.07%,"3,084",11.61%,507,"2,577",9.70%
"19,554",6.68%,"14,258","5,296","4,456",-214,"4,242","1,054",55,-172,"1,171",321,850,22.30%,946,956,-0.57%,0.90,0.89,23.61%,696,0.74,0.338,7.30%,27.08%,5.39%,4.35%,3.56%,27.41%,"1,545",7.90%,319,"1,226",6.27%
"19,057",6.22%,"13,730","5,327","4,493",-152,"4,341",986,43,805,138,359,-221,-,956,968,1.11%,-0.23,-0.23,-,"1,099",1.15,0.338,7.30%,27.95%,5.17%,-1.16%,5.77%,260.14%,496,2.60%,315,181,0.95%
"19,401",5.94%,"13,961","5,440","4,551",-135,"4,416","1,024",35,-82,"1,071",357,714,14.42%,955,968,0.90%,0.75,0.74,13.85%,833,0.87,0.315,14.55%,28.04%,5.28%,3.68%,4.29%,33.33%,"1,444",7.44%,338,"1,106",5.70%
"19,605",5.14%,"13,955","5,650","4,569",-136,"4,433","1,217",37,73,"1,107",391,716,-5.29%,952,964,1.08%,0.75,0.74,-6.33%,"1,072",1.13,0.315,14.55%,28.82%,6.21%,3.65%,5.47%,35.32%,"1,475",7.52%,331,"1,144",5.84%
"18,329",5.85%,"13,177","5,152","4,379",-151,"4,228",924,41,-216,"1,099",404,695,68.28%,949,962,1.08%,0.73,0.72,67.44%,-217,-0.23,0.315,14.55%,28.11%,5.04%,3.79%,-1.18%,36.76%,"1,472",8.03%,332,"1,140",6.22%
Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade
