0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
"161,632",5.74%,"121,850","39,782","32,466","32,466","7,316",642,"-3,891","10,565","2,674","7,891",53.25%,"2,693","2,703",-1.53%,2.93,2.92,55.32%,"8,867",3.29,0.570,1.79%,24.61%,4.53%,4.88%,5.49%,25.31%,"14,112",8.73%,"2,905","11,207",6.93%
"152,301",7.58%,"115,284","37,017","30,777","30,777","6,240",664,"3,111","2,465",792,"1,673",-18.55%,"2,694","2,704",-2.21%,0.62,0.62,-16.22%,251,0.09,0.570,1.79%,24.31%,4.10%,1.10%,0.16%,32.13%,"5,974",3.92%,"2,845","3,129",2.05%
"164,048",7.31%,"125,423","38,625","33,064","33,064","5,561",610,"-4,417","9,368","3,093","6,275",76.17%,"2,697","2,707",-2.66%,2.31,2.30,79.69%,"8,391",3.11,0.560,1.82%,23.54%,3.39%,3.83%,5.11%,33.02%,"12,789",7.80%,"2,811","9,978",6.08%
"152,813",8.74%,"115,613","37,200","34,505","34,505","2,695",584,"3,573","-1,462",336,"-1,798",-,"2,711","2,711",-3.07%,-0.66,-0.66,-,"1,943",0.72,0.560,1.82%,24.34%,1.76%,-1.18%,1.27%,-,"1,877",1.23%,"2,755",-878,-0.57%
"152,859",8.37%,"115,838","37,021","30,167","30,167","6,854",479,-271,"6,646","1,497","5,149",20.42%,"2,736","2,745",-2.38%,1.88,1.88,23.68%,"9,082",3.32,0.560,1.82%,24.22%,4.48%,3.37%,5.94%,22.52%,"9,824",6.43%,"2,699","7,125",4.66%
"141,569",2.36%,"106,847","34,722","29,404","29,404","5,318",455,"2,011","2,852",798,"2,054",-24.76%,"2,754","2,765",-2.26%,0.75,0.74,-23.71%,"-7,262",-2.64,0.560,1.82%,24.53%,3.76%,1.45%,-5.13%,27.98%,"5,987",4.23%,"2,680","3,307",2.34%
"152,871",0.52%,"115,522","37,349","31,462","31,462","5,887",427,749,"4,711","1,149","3,562",-,"2,771","2,781",-2.11%,1.29,1.28,-,"3,476",1.25,0.550,1.85%,24.43%,3.85%,2.33%,2.27%,24.39%,"7,844",5.13%,"2,706","5,138",3.36%
"140,525",4.32%,"105,023","35,502","29,710","29,710","5,792",486,"1,186","4,120","1,015","3,105",-39.53%,"2,785","2,797",-1.83%,1.11,1.11,-38.33%,413,0.15,0.550,1.85%,25.26%,4.12%,2.21%,0.29%,24.64%,"7,256",5.16%,"2,650","4,606",3.28%
"141,048",2.40%,"105,183","35,865","28,511","28,511","7,354",515,"1,004","5,835","1,559","4,276",-33.97%,"2,799","2,812",-1.26%,1.53,1.52,-33.04%,"6,864",2.45,0.550,1.85%,25.43%,5.21%,3.03%,4.87%,26.72%,"8,991",6.37%,"2,641","6,350",4.50%
"138,310",2.74%,"103,272","35,038","28,129","28,129","6,909",566,"2,580","3,763","1,033","2,730",-31.58%,"2,815","2,829",-0.70%,0.97,0.97,-30.71%,716,0.25,0.550,1.85%,25.33%,5.00%,1.97%,0.52%,27.45%,"6,990",5.05%,"2,661","4,329",3.13%
"152,079",7.35%,"115,261","36,818","31,331","31,331","5,487",524,"5,639",-676,"1,415","-2,091",-,"2,828","2,841",-0.53%,-0.74,-0.73,-,"9,484",3.35,0.540,1.89%,24.21%,3.61%,-1.37%,6.24%,-,"2,667",1.75%,"2,819",-152,-0.10%
"134,708",5.25%,"100,339","34,369","28,591","28,591","5,778",541,"-1,812","7,049","1,914","5,135",56.17%,"2,833","2,849",-0.42%,1.81,1.80,56.52%,"1,071",0.38,0.540,1.89%,25.51%,4.29%,3.81%,0.80%,27.15%,"10,361",7.69%,"2,771","7,590",5.63%
"137,742",5.65%,"102,689","35,053","28,994","28,994","6,059",658,"-3,282","8,683","2,207","6,476",79.39%,"2,832","2,848",-0.73%,2.29,2.27,80.16%,"10,145",3.58,0.540,1.89%,25.45%,4.40%,4.70%,7.37%,25.42%,"12,112",8.79%,"2,771","9,341",6.78%
"134,622",8.63%,"102,026","32,596","27,372","27,372","5,224",592,-680,"5,312","1,322","3,990",3.85%,"2,831","2,849",-1.28%,1.41,1.40,5.26%,"5,325",1.88,0.540,1.89%,24.21%,3.88%,2.96%,3.96%,24.89%,"8,695",6.46%,"2,791","5,904",4.39%
"141,671",2.07%,"107,748","33,923","28,601","28,601","5,322",652,-850,"5,520","1,379","4,141",12.31%,"2,835","2,856",-1.92%,1.46,1.45,16.00%,"7,879",2.78,0.530,1.92%,23.94%,3.76%,2.92%,5.56%,24.98%,"9,000",6.35%,"2,828","6,172",4.36%
