date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2013-07-31,107.87999725341795,109.5500030517578,106.44000244140624,108.29000091552734,4432400,82.23670959472656,0.0,0.0,0.0,82.23670959472656,82.23670959472656,82.23670959472656,0.0,0.0,0.0,0.0,0.0,17031.505717391305,7.203225806451613,233.43806451612903,64.02999877929688,"4,426.58",555.44,163.58,76.01,5011,0.1335,1029,3982,1521,1249,25,2795,1187,261,-88,1014,-7,1021,0.2957,756,768,-0.0166,1.35,1.33,0.31679999999999997,1654,2.19,0.47,0.3056,0.7947,0.2369,0.20379999999999998,0.3301,-0.0069,1719,0.34299999999999997,444,1275,0.2544
2013-08-01,109.5999984741211,109.87999725341795,108.41999816894533,109.38999938964844,2396200,83.07205963134766,0.0,1.0157895141021944,1.0157872812978752,82.65438461303711,82.65438461303711,82.34808959960938,0.0,0.0,0.0,0.0,0.0,17034.09464130435,7.2,233.456,64.87999725341797,"4,501.61",555.44,163.58,76.01,5011,0.1335,1029,3982,1521,1249,25,2795,1187,261,-88,1014,-7,1021,0.2957,756,768,-0.0166,1.35,1.33,0.31679999999999997,1654,2.19,0.47,0.3056,0.7947,0.2369,0.20379999999999998,0.3301,-0.0069,1719,0.34299999999999997,444,1275,0.2544
2013-08-02,109.93000030517578,109.98999786376952,108.1999969482422,109.05999755859376,2103200,82.82144927978516,0.0,-0.3016745889898198,-0.301678269052974,82.71007283528645,82.71007283528645,82.41120422363281,0.0,0.0,0.0,0.0,0.0,17036.68356521739,7.2,233.45883870967745,64.87999725341797,"4,500.77",555.44,163.58,76.01,5011,0.1335,1029,3982,1521,1249,25,2795,1187,261,-88,1014,-7,1021,0.2957,756,768,-0.0166,1.35,1.33,0.31679999999999997,1654,2.19,0.47,0.3056,0.7947,0.2369,0.20379999999999998,0.3301,-0.0069,1719,0.34299999999999997,444,1275,0.2544
2013-08-05,108.9000015258789,108.97000122070312,107.26000213623048,107.43000030517578,1839700,81.5836181640625,0.0,-1.494587648915202,-1.494577946276998,82.42845916748047,82.42845916748047,82.3008594156901,0.0,0.0,0.0,0.0,0.0,17044.45033695652,7.2,233.46735483870967,66.30999755859375,"4,493.55",555.44,163.58,76.01,5011,0.1335,1029,3982,1521,1249,25,2795,1187,261,-88,1014,-7,1021,0.2957,756,768,-0.0166,1.35,1.33,0.31679999999999997,1654,2.19,0.47,0.3056,0.7947,0.2369,0.20379999999999998,0.3301,-0.0069,1719,0.34299999999999997,444,1275,0.2544
2013-08-06,107.0,107.4000015258789,104.56999969482422,105.22000122070312,3633400,79.90532684326172,0.0,-2.0571526372472504,-2.057142547203261,81.92383270263672,81.92383270263672,81.98145507269966,0.0,0.0,0.0,0.0,0.0,17047.039260869566,7.2,233.4701935483871,65.5199966430664,"4,458.60",555.44,163.58,76.01,5011,0.1335,1029,3982,1521,1249,25,2795,1187,261,-88,1014,-7,1021,0.2957,756,768,-0.0166,1.35,1.33,0.31679999999999997,1654,2.19,0.47,0.3056,0.7947,0.2369,0.20379999999999998,0.3301,-0.0069,1719,0.34299999999999997,444,1275,0.2544
2013-08-07,104.58999633789062,113.3000030517578,103.30999755859376,112.4000015258789,9915200,85.35790252685547,0.0,6.823797967950451,6.823794982140874,82.49617767333984,82.49617767333984,82.4316480665871,0.0,0.0,0.0,0.0,0.0,17049.62818478261,7.2,233.4730322580645,64.94999694824219,"4,493.31",555.44,163.58,76.01,5011,0.1335,1029,3982,1521,1249,25,2795,1187,261,-88,1014,-7,1021,0.2957,756,768,-0.0166,1.35,1.33,0.31679999999999997,1654,2.19,0.47,0.3056,0.7947,0.2369,0.20379999999999998,0.3301,-0.0069,1719,0.34299999999999997,444,1275,0.2544
2013-08-08,111.73999786376952,111.9000015258789,109.3499984741211,110.37999725341795,4758700,83.82389068603516,0.0,-1.7971568016356798,-1.797152689333803,82.68585096086774,82.68585096086774,82.61728041584684,0.0,0.0,0.0,0.0,0.0,17052.21710869565,7.2,233.475870967742,66.62000274658203,"4,484.04",555.44,163.58,76.01,5011,0.1335,1029,3982,1521,1249,25,2795,1187,261,-88,1014,-7,1021,0.2957,756,768,-0.0166,1.35,1.33,0.31679999999999997,1654,2.19,0.47,0.3056,0.7947,0.2369,0.20379999999999998,0.3301,-0.0069,1719,0.34299999999999997,444,1275,0.2544
2013-08-09,108.93000030517578,111.37999725341795,108.36000061035156,109.62999725341795,2825300,83.25433349609375,0.0,-0.6794709355519402,-0.6794688068998078,82.756911277771,82.756911277771,82.70222082654642,0.0,0.0,0.0,0.0,0.0,17054.806032608696,7.2,233.4787096774193,66.62000274658203,"4,479.53",555.44,163.58,76.01,5011,0.1335,1029,3982,1521,1249,25,2795,1187,261,-88,1014,-7,1021,0.2957,756,768,-0.0166,1.35,1.33,0.31679999999999997,1654,2.19,0.47,0.3056,0.7947,0.2369,0.20379999999999998,0.3301,-0.0069,1719,0.34299999999999997,444,1275,0.2544
2013-08-12,108.77999877929688,109.41999816894533,108.1500015258789,108.20999908447266,1854200,82.17596435546875,0.0,-1.2952642566093298,-1.2952708830172743,82.69236161973741,82.69236161973741,82.6320532970694,0.0,0.0,0.0,0.0,0.0,17062.572804347827,7.2,233.4872258064516,66.25,"4,478.43",555.44,163.58,76.01,5011,0.1335,1029,3982,1521,1249,25,2795,1187,261,-88,1014,-7,1021,0.2957,756,768,-0.0166,1.35,1.33,0.31679999999999997,1654,2.19,0.47,0.3056,0.7947,0.2369,0.20379999999999998,0.3301,-0.0069,1719,0.34299999999999997,444,1275,0.2544
2013-08-13,108.62999725341795,108.91999816894533,107.02999877929688,107.86000061035156,2683300,81.91017150878906,0.0,-0.3234437455709393,-0.3234435382223788,82.61414260864258,82.61414260864258,82.53580239196536,0.0,0.0,0.0,0.0,0.0,17065.16172826087,7.2,233.49006451612905,66.25,"4,444.29",555.44,163.58,76.01,5011,0.1335,1029,3982,1521,1249,25,2795,1187,261,-88,1014,-7,1021,0.2957,756,768,-0.0166,1.35,1.33,0.31679999999999997,1654,2.19,0.47,0.3056,0.7947,0.2369,0.20379999999999998,0.3301,-0.0069,1719,0.34299999999999997,444,1275,0.2544
