date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Gross Profit,"Selling, General & Admin",Other Operating Expenses,Operating Expenses,Operating Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2013-07-31,75.1500015258789,75.86000061035156,73.47000122070312,73.7699966430664,10320700,63.57516860961914,0.0,0.0,0.0,63.57516860961914,63.57516860961914,63.57516860961914,0.0,0.0,0.0,0.0,0.0,17031.505717391305,7.203225806451613,233.43806451612903,64.02999877929688,"4,426.58",555.44,163.58,76.01,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
2013-08-01,74.52999877929688,76.0999984741211,74.51000213623047,75.62999725341797,5981400,65.17811584472656,0.0,2.521351084440337,2.521341697023649,64.37664222717285,64.37664222717285,63.78889490763346,0.0,0.0,0.0,0.0,0.0,17034.09464130435,7.2,233.456,64.87999725341797,"4,501.61",555.44,163.58,76.01,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
2013-08-02,75.62000274658203,75.7300033569336,75.0,75.69000244140625,2485400,65.22986602783203,0.0,0.0793404603562475,0.079398096178096,64.6610501607259,64.6610501607259,63.9810243903266,0.0,0.0,0.0,0.0,0.0,17036.68356521739,7.2,233.45883870967745,64.87999725341797,"4,500.77",555.44,163.58,76.01,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
2013-08-05,75.47000122070312,76.04000091552734,75.20999908447266,75.93000030517578,2237100,65.43663024902344,0.0,0.3170800053221345,0.3169778412593693,64.8549451828003,64.8549451828003,64.17510517148618,0.0,0.0,0.0,0.0,0.0,17044.45033695652,7.2,233.46735483870967,66.30999755859375,"4,493.55",555.44,163.58,76.01,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
2013-08-06,75.87000274658203,76.0999984741211,75.47000122070312,75.80999755859375,2566000,65.33325958251953,0.0,-0.1580439168967773,-0.1579706444395423,64.95060806274414,64.95060806274414,64.32952575962396,0.0,0.0,0.0,0.0,0.0,17047.039260869566,7.2,233.4701935483871,65.5199966430664,"4,458.60",555.44,163.58,76.01,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
2013-08-07,75.45999908447266,75.70999908447266,74.8499984741211,75.13999938964844,3083900,64.75582885742188,0.0,-0.883786031555367,-0.8838235361092406,64.9181448618571,64.9181448618571,64.38636617266368,0.0,0.0,0.0,0.0,0.0,17049.62818478261,7.2,233.4730322580645,64.94999694824219,"4,493.31",555.44,163.58,76.01,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
2013-08-08,75.79000091552734,77.2699966430664,75.4800033569336,76.19000244140625,3293600,65.66073608398438,0.0,1.3973956085797656,1.3974143216588295,65.02422932216099,65.02422932216099,64.55628216083977,0.0,0.0,0.0,0.0,0.0,17052.21710869565,7.2,233.475870967742,66.62000274658203,"4,484.04",555.44,163.58,76.01,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
2013-08-09,76.18000030517578,76.36000061035156,75.01000213623047,75.5,3963600,65.06611633300781,0.0,-0.9056338355375336,-0.9055940984517784,65.02946519851685,65.02946519851685,64.62426005046218,0.0,0.0,0.0,0.0,0.0,17054.806032608696,7.2,233.4787096774193,66.62000274658203,"4,479.53",555.44,163.58,76.01,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
2013-08-12,75.11000061035156,75.61000061035156,74.88999938964844,75.48999786376953,2292600,65.05745697021484,0.0,-0.0132478625569087,-0.0133085594791748,65.03257539537218,65.03257539537218,64.68201963976254,0.0,0.0,0.0,0.0,0.0,17062.572804347827,7.2,233.4872258064516,66.25,"4,478.43",555.44,163.58,76.01,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
2013-08-13,75.48999786376953,76.44000244140625,74.88999938964844,76.2300033569336,2964900,65.6951904296875,0.0,0.9802695908131877,0.9802618933670182,65.09883689880371,65.09883689880371,64.81710907841921,0.0,0.0,0.0,0.0,0.0,17065.16172826087,7.2,233.49006451612905,66.25,"4,444.29",555.44,163.58,76.01,7964,0.0271,7964,4099,"1,885",5984,1980,1980,672,1308,1.0534000000000001,1082,1089,-0.025099999999999997,1.22,1.21,1.0862,-27,-0.03,0.230,0.15,1.0,0.2486,0.1642,-0.0034000000000000002,0.3394,2237,0.2809,257,1980,0.2486
