date,open,high,low,close,volume,adjclose,dividends,Open_Close_Diff,High_Low_Diff,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,sp500,nasdaq,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2013-07-31,105.91999816894533,106.27999877929688,104.98999786376952,105.0999984741211,4487800,89.09428405761719,0.0,-0.8199996948242188,1.2900009155273438,0.0,0.0,89.09428405761719,89.09428405761719,89.09428405761719,0.0,0.0,0.0,0.0,0.0,17031.505717391305,7.203225806451613,233.43806451612903,64.02999877929688,1685.72998046875,3626.3701171875,4426.58,555.44,163.58,76.01,23785,0.0665,20388,3397,1100,848,-67,1881,1516,96,-14.0,1434,201,1233,0.2607,751,,-0.0034999999999999996,1.63,1.6,0.25980000000000003,746,0.99,0.485,0.1023,0.14279999999999998,0.0637,0.0518,0.031400000000000004,0.1402,2051,0.0862,521,1530,0.0643
2013-08-01,105.98999786376952,107.0,105.77999877929688,106.6999969482422,4910800,90.45061492919922,0.0,0.7099990844726562,1.220001220703125,1.5223582277358982,1.5223545325364407,89.7724494934082,89.7724494934082,89.27512817382812,0.0,0.0,0.0,0.0,0.0,17034.09464130435,7.2,233.456,64.87999725341797,1706.8699951171875,3675.739990234375,4501.61,555.44,163.58,76.01,23785,0.0665,20388,3397,1100,848,-67,1881,1516,96,-14.0,1434,201,1233,0.2607,751,,-0.0034999999999999996,1.63,1.6,0.25980000000000003,746,0.99,0.485,0.1023,0.14279999999999998,0.0637,0.0518,0.031400000000000004,0.1402,2051,0.0862,521,1530,0.0643
2013-08-02,106.0,107.9499969482422,106.0,107.9000015258789,4226200,91.4678726196289,0.0,1.9000015258789065,1.9499969482421875,1.1246528696892133,1.124655361631266,90.33759053548177,90.33759053548177,89.5674940999349,0.0,0.0,0.0,0.0,0.0,17036.68356521739,7.2,233.45883870967745,64.87999725341797,1709.6700439453125,3689.590087890625,4500.77,555.44,163.58,76.01,23785,0.0665,20388,3397,1100,848,-67,1881,1516,96,-14.0,1434,201,1233,0.2607,751,,-0.0034999999999999996,1.63,1.6,0.25980000000000003,746,0.99,0.485,0.1023,0.14279999999999998,0.0637,0.0518,0.031400000000000004,0.1402,2051,0.0862,521,1530,0.0643
2013-08-05,107.13999938964844,107.8000030517578,107.13999938964844,107.5,3559200,91.12879180908205,0.0,0.3600006103515625,0.660003662109375,-0.3707150326434094,-0.3707102842075982,90.53539085388184,90.53539085388184,89.7756671278212,0.0,0.0,0.0,0.0,0.0,17044.45033695652,7.2,233.46735483870967,66.30999755859375,1707.1400146484375,3692.949951171875,4493.55,555.44,163.58,76.01,23785,0.0665,20388,3397,1100,848,-67,1881,1516,96,-14.0,1434,201,1233,0.2607,751,,-0.0034999999999999996,1.63,1.6,0.25980000000000003,746,0.99,0.485,0.1023,0.14279999999999998,0.0637,0.0518,0.031400000000000004,0.1402,2051,0.0862,521,1530,0.0643
2013-08-06,107.3499984741211,107.70999908447266,106.62000274658205,107.04000091552734,5199900,90.73882293701172,0.0,-0.30999755859375,1.089996337890625,-0.4279061250908378,-0.4279315728088595,90.5760772705078,90.5760772705078,89.90408790237994,0.0,0.0,0.0,0.0,0.0,17047.039260869566,7.2,233.4701935483871,65.5199966430664,1697.3699951171875,3665.77001953125,4458.6,555.44,163.58,76.01,23785,0.0665,20388,3397,1100,848,-67,1881,1516,96,-14.0,1434,201,1233,0.2607,751,,-0.0034999999999999996,1.63,1.6,0.25980000000000003,746,0.99,0.485,0.1023,0.14279999999999998,0.0637,0.0518,0.031400000000000004,0.1402,2051,0.0862,521,1530,0.0643
2013-08-07,106.20999908447266,106.68000030517578,105.52999877929688,106.41999816894533,3158600,90.62386322021484,0.485,0.2099990844726562,1.1500015258789062,-0.579225281464002,-0.1266929777970271,90.58404159545898,90.58404159545898,90.00005794475794,0.0,0.0,0.0,0.0,0.0,17049.62818478261,7.2,233.4730322580645,64.94999694824219,1690.9100341796875,3654.010009765625,4493.31,555.44,163.58,76.01,23785,0.0665,20388,3397,1100,848,-67,1881,1516,96,-14.0,1434,201,1233,0.2607,751,,-0.0034999999999999996,1.63,1.6,0.25980000000000003,746,0.99,0.485,0.1023,0.14279999999999998,0.0637,0.0518,0.031400000000000004,0.1402,2051,0.0862,521,1530,0.0643
2013-08-08,106.68000030517578,107.23999786376952,105.83000183105467,105.83999633789062,3741400,90.12996673583984,0.0,-0.8400039672851562,1.4099960327148438,-0.5450120663730074,-0.544996060446945,90.51917375837054,90.51917375837054,90.0173791169022,0.0,0.0,0.0,0.0,0.0,17052.21710869565,7.2,233.475870967742,66.62000274658203,1697.47998046875,3669.1201171875,4484.04,555.44,163.58,76.01,23785,0.0665,20388,3397,1100,848,-67,1881,1516,96,-14.0,1434,201,1233,0.2607,751,,-0.0034999999999999996,1.63,1.6,0.25980000000000003,746,0.99,0.485,0.1023,0.14279999999999998,0.0637,0.0518,0.031400000000000004,0.1402,2051,0.0862,521,1530,0.0643
2013-08-09,105.37000274658205,106.1500015258789,104.87999725341795,105.33000183105467,3326500,89.69564056396484,0.0,-0.0400009155273437,1.2700042724609375,-0.4818542370388923,-0.4818887519929538,90.41623210906982,90.41623210906982,89.97448064317723,0.0,0.0,0.0,0.0,0.0,17054.806032608696,7.2,233.4787096774193,66.62000274658203,1691.4200439453125,3660.110107421875,4479.53,555.44,163.58,76.01,23785,0.0665,20388,3397,1100,848,-67,1881,1516,96,-14.0,1434,201,1233,0.2607,751,,-0.0034999999999999996,1.63,1.6,0.25980000000000003,746,0.99,0.485,0.1023,0.14279999999999998,0.0637,0.0518,0.031400000000000004,0.1402,2051,0.0862,521,1530,0.0643
2013-08-12,104.86000061035156,105.06999969482422,104.0500030517578,104.23999786376952,3830800,88.76747131347656,0.0,-0.6200027465820312,1.0199966430664062,-1.034846623313912,-1.0347986197014492,90.23303646511502,90.23303646511502,89.81354606588381,0.0,0.0,0.0,0.0,0.0,17062.572804347827,7.2,233.4872258064516,66.25,1689.469970703125,3669.949951171875,4478.43,555.44,163.58,76.01,23785,0.0665,20388,3397,1100,848,-67,1881,1516,96,-14.0,1434,201,1233,0.2607,751,,-0.0034999999999999996,1.63,1.6,0.25980000000000003,746,0.99,0.485,0.1023,0.14279999999999998,0.0637,0.0518,0.031400000000000004,0.1402,2051,0.0862,521,1530,0.0643
2013-08-13,104.30999755859376,106.5500030517578,104.2699966430664,106.2300033569336,3578300,90.46207427978516,0.0,1.920005798339844,2.2800064086914062,1.9090613334094453,1.9090359804485368,90.25594024658204,90.25594024658204,89.900016494404,0.0,0.0,0.0,0.0,0.0,17065.16172826087,7.2,233.49006451612905,66.25,1694.1600341796875,3684.43994140625,4444.29,555.44,163.58,76.01,23785,0.0665,20388,3397,1100,848,-67,1881,1516,96,-14.0,1434,201,1233,0.2607,751,,-0.0034999999999999996,1.63,1.6,0.25980000000000003,746,0.99,0.485,0.1023,0.14279999999999998,0.0637,0.0518,0.031400000000000004,0.1402,2051,0.0862,521,1530,0.0643
