date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2013-07-31,83.58000183105469,83.9000015258789,82.83999633789062,82.91000366210938,7012900,62.40557098388672,0.0,0.0,0.0,62.40557098388672,62.40557098388672,62.40557098388672,0.0,0.0,0.0,0.0,0.0,17031.505717391305,7.203225806451613,233.43806451612903,64.02999877929688,"4,426.58",555.44,163.58,76.01,14402,-0.1041,10716,3686,1417,467,350,2234,1452,109,-36,1379,376,1003,0.439,645,659,-0.016399999999999998,1.57,1.54,0.4951,1548,2.4,0.6,-0.42310000000000003,0.2559,0.1008,0.0696,0.1075,0.2727,2312,0.1605,824,1488,0.1033
2013-08-01,83.62000274658203,84.80999755859375,83.11000061035156,84.44000244140625,6570400,63.557167053222656,0.0,1.8453729486398447,1.845341771864062,62.98136901855469,62.98136901855469,62.55911712646485,0.0,0.0,0.0,0.0,0.0,17034.09464130435,7.2,233.456,64.87999725341797,"4,501.61",555.44,163.58,76.01,14402,-0.1041,10716,3686,1417,467,350,2234,1452,109,-36,1379,376,1003,0.439,645,659,-0.016399999999999998,1.57,1.54,0.4951,1548,2.4,0.6,-0.42310000000000003,0.2559,0.1008,0.0696,0.1075,0.2727,2312,0.1605,824,1488,0.1033
2013-08-02,84.29000091552734,84.68000030517578,83.5,84.30000305175781,4864700,63.45179748535156,0.0,-0.1657974722887867,-0.1657870744661393,63.13817850748698,63.13817850748698,62.67814117431641,0.0,0.0,0.0,0.0,0.0,17036.68356521739,7.2,233.45883870967745,64.87999725341797,"4,500.77",555.44,163.58,76.01,14402,-0.1041,10716,3686,1417,467,350,2234,1452,109,-36,1379,376,1003,0.439,645,659,-0.016399999999999998,1.57,1.54,0.4951,1548,2.4,0.6,-0.42310000000000003,0.2559,0.1008,0.0696,0.1075,0.2727,2312,0.1605,824,1488,0.1033
2013-08-05,84.11000061035156,84.29000091552734,83.5,83.55999755859375,3758400,62.89480209350586,0.0,-0.8778238035290653,-0.87782444929837,63.0773344039917,63.0773344039917,62.707029296875,0.0,0.0,0.0,0.0,0.0,17044.45033695652,7.2,233.46735483870967,66.30999755859375,"4,493.55",555.44,163.58,76.01,14402,-0.1041,10716,3686,1417,467,350,2234,1452,109,-36,1379,376,1003,0.439,645,659,-0.016399999999999998,1.57,1.54,0.4951,1548,2.4,0.6,-0.42310000000000003,0.2559,0.1008,0.0696,0.1075,0.2727,2312,0.1605,824,1488,0.1033
2013-08-06,83.30999755859375,83.31999969482422,82.1500015258789,82.52999877929688,7223600,62.11954498291016,0.0,-1.232645774761565,-1.2326250894996504,62.88577651977539,62.88577651977539,62.62869805501303,0.0,0.0,0.0,0.0,0.0,17047.039260869566,7.2,233.4701935483871,65.5199966430664,"4,458.60",555.44,163.58,76.01,14402,-0.1041,10716,3686,1417,467,350,2234,1452,109,-36,1379,376,1003,0.439,645,659,-0.016399999999999998,1.57,1.54,0.4951,1548,2.4,0.6,-0.42310000000000003,0.2559,0.1008,0.0696,0.1075,0.2727,2312,0.1605,824,1488,0.1033
2013-08-07,82.37999725341797,82.7699966430664,81.80000305175781,82.43000030517578,4292400,62.04426956176758,0.0,-0.121166213013657,-0.1211783202264116,62.74552536010742,62.74552536010742,62.55077425591364,0.0,0.0,0.0,0.0,0.0,17049.62818478261,7.2,233.4730322580645,64.94999694824219,"4,493.31",555.44,163.58,76.01,14402,-0.1041,10716,3686,1417,467,350,2234,1452,109,-36,1379,376,1003,0.439,645,659,-0.016399999999999998,1.57,1.54,0.4951,1548,2.4,0.6,-0.42310000000000003,0.2559,0.1008,0.0696,0.1075,0.2727,2312,0.1605,824,1488,0.1033
2013-08-08,82.94999694824219,84.58999633789062,82.91999816894531,83.95999908447266,6400600,63.195892333984375,0.0,1.8561188567662867,1.8561307601023591,62.8098634992327,62.8098634992327,62.6367899996564,0.0,0.0,0.0,0.0,0.0,17052.21710869565,7.2,233.475870967742,66.62000274658203,"4,484.04",555.44,163.58,76.01,14402,-0.1041,10716,3686,1417,467,350,2234,1452,109,-36,1379,376,1003,0.439,645,659,-0.016399999999999998,1.57,1.54,0.4951,1548,2.4,0.6,-0.42310000000000003,0.2559,0.1008,0.0696,0.1075,0.2727,2312,0.1605,824,1488,0.1033
2013-08-09,83.80000305175781,84.79000091552734,83.5,84.51000213623047,5478600,63.60987854003906,0.0,0.6550774866069808,0.6550840422773208,62.909865379333496,62.909865379333496,62.766535138374095,0.0,0.0,0.0,0.0,0.0,17054.806032608696,7.2,233.4787096774193,66.62000274658203,"4,479.53",555.44,163.58,76.01,14402,-0.1041,10716,3686,1417,467,350,2234,1452,109,-36,1379,376,1003,0.439,645,659,-0.016399999999999998,1.57,1.54,0.4951,1548,2.4,0.6,-0.42310000000000003,0.2559,0.1008,0.0696,0.1075,0.2727,2312,0.1605,824,1488,0.1033
2013-08-12,84.19000244140625,86.44999694824219,84.05999755859375,86.31999969482422,8608300,64.97223663330078,0.0,2.1417554287550766,2.1417398123220632,63.13901774088541,63.13901774088541,63.06062867103098,0.0,0.0,0.0,0.0,0.0,17062.572804347827,7.2,233.4872258064516,66.25,"4,478.43",555.44,163.58,76.01,14402,-0.1041,10716,3686,1417,467,350,2234,1452,109,-36,1379,376,1003,0.439,645,659,-0.016399999999999998,1.57,1.54,0.4951,1548,2.4,0.6,-0.42310000000000003,0.2559,0.1008,0.0696,0.1075,0.2727,2312,0.1605,824,1488,0.1033
2013-08-13,86.62000274658203,87.43000030517578,86.44999694824219,86.56999969482422,6710300,65.16041564941406,0.0,0.289620019559611,0.2896298878786618,63.34115753173828,63.34115753173828,63.34060026814873,0.0,0.0,0.0,0.0,0.0,17065.16172826087,7.2,233.49006451612905,66.25,"4,444.29",555.44,163.58,76.01,14402,-0.1041,10716,3686,1417,467,350,2234,1452,109,-36,1379,376,1003,0.439,645,659,-0.016399999999999998,1.57,1.54,0.4951,1548,2.4,0.6,-0.42310000000000003,0.2559,0.1008,0.0696,0.1075,0.2727,2312,0.1605,824,1488,0.1033
2013-08-14,86.86000061035156,87.0,85.70999908447266,85.81999969482422,4462900,64.59590148925781,0.0,-0.8663509329373875,-0.8663452412482009,63.455225164240055,63.455225164240055,63.50797376429661,0.0,0.0,0.0,0.0,0.0,17067.750652173912,7.2,233.4929032258065,66.4000015258789,"4,374.62",555.44,163.58,76.01,14402,-0.1041,10716,3686,1417,467,350,2234,1452,109,-36,1379,376,1003,0.439,645,659,-0.016399999999999998,1.57,1.54,0.4951,1548,2.4,0.6,-0.42310000000000003,0.2559,0.1008,0.0696,0.1075,0.2727,2312,0.1605,824,1488,0.1033
2013-08-15,84.95999908447266,86.52999877929688,84.87999725341797,85.86000061035156,5138900,64.62599182128906,0.0,0.0466102489741215,0.0465824167439787,63.55278905232748,63.55278905232748,63.65704283856227,0.0,0.0,0.0,0.0,0.0,17070.339576086957,7.2,233.49574193548384,65.18000030517578,"4,351.10",555.44,163.58,76.01,14402,-0.1041,10716,3686,1417,467,350,2234,1452,109,-36,1379,376,1003,0.439,645,659,-0.016399999999999998,1.57,1.54,0.4951,1548,2.4,0.6,-0.42310000000000003,0.2559,0.1008,0.0696,0.1075,0.2727,2312,0.1605,824,1488,0.1033
2013-08-16,85.8499984741211,86.4000015258789,85.13999938964844,85.16000366210938,4706500,64.09910583496094,0.0,-0.8152771293572503,-0.8152849518892169,63.59481342022236,63.59481342022236,63.71598457141543,0.0,0.0,0.0,0.0,0.0,17072.9285,7.2,233.4985806451613,63.5,"4,329.10",555.44,163.58,76.01,14402,-0.1041,10716,3686,1417,467,350,2234,1452,109,-36,1379,376,1003,0.439,645,659,-0.016399999999999998,1.57,1.54,0.4951,1548,2.4,0.6,-0.42310000000000003,0.2559,0.1008,0.0696,0.1075,0.2727,2312,0.1605,824,1488,0.1033
