date,open,high,low,close,volume,adjclose,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2013-07-31,43.959999084472656,44.290000915527344,43.650001525878906,43.75,3263200,43.75,0.0,0.0,43.75,43.75,43.75,0.0,0.0,0.0,0.0,0.0,17031.505717391305,7.203225806451613,233.43806451612903,64.02999877929688,"4,426.58",555.44,163.58,76.01,1076,0.36479999999999996,268.19,807.85,735.09,170.69,0.0,905.78,-97.93,22.93,3.18,-124.04,0.39,-124.43,,600,600,0.0557,-0.21,-0.21,,65.16,0.11,0.7508,-0.091,-0.11560000000000001,0.060599999999999994,,13.24,0.0123,114.35,-101.11,-0.094
2013-08-01,44.16999816894531,45.59999847412109,44.150001525878906,45.13999938964844,5479000,45.13999938964844,3.177141462053568,3.177141462053568,44.44499969482422,44.44499969482422,43.93533325195313,0.0,0.0,0.0,0.0,0.0,17034.09464130435,7.2,233.456,64.87999725341797,"4,501.61",555.44,163.58,76.01,1076,0.36479999999999996,268.19,807.85,735.09,170.69,0.0,905.78,-97.93,22.93,3.18,-124.04,0.39,-124.43,,600,600,0.0557,-0.21,-0.21,,65.16,0.11,0.7508,-0.091,-0.11560000000000001,0.060599999999999994,,13.24,0.0123,114.35,-101.11,-0.094
2013-08-02,44.970001220703125,45.59999847412109,44.93000030517578,45.52000045776367,3494500,45.52000045776367,0.8418278095997822,0.8418278095997822,44.8033332824707,44.8033332824707,44.14662221272788,0.0,0.0,0.0,0.0,0.0,17036.68356521739,7.2,233.45883870967745,64.87999725341797,"4,500.77",555.44,163.58,76.01,1076,0.36479999999999996,268.19,807.85,735.09,170.69,0.0,905.78,-97.93,22.93,3.18,-124.04,0.39,-124.43,,600,600,0.0557,-0.21,-0.21,,65.16,0.11,0.7508,-0.091,-0.11560000000000001,0.060599999999999994,,13.24,0.0123,114.35,-101.11,-0.094
2013-08-05,45.310001373291016,46.09999847412109,45.25,45.68999862670898,2620900,45.68999862670898,0.373458188127751,0.373458188127751,45.02499961853027,45.02499961853027,44.352405734592026,0.0,0.0,0.0,0.0,0.0,17044.45033695652,7.2,233.46735483870967,66.30999755859375,"4,493.55",555.44,163.58,76.01,1076,0.36479999999999996,268.19,807.85,735.09,170.69,0.0,905.78,-97.93,22.93,3.18,-124.04,0.39,-124.43,,600,600,0.0557,-0.21,-0.21,,65.16,0.11,0.7508,-0.091,-0.11560000000000001,0.060599999999999994,,13.24,0.0123,114.35,-101.11,-0.094
2013-08-06,45.380001068115234,45.650001525878906,44.900001525878906,45.41999816894531,2750300,45.41999816894531,-0.5909399559619111,-0.5909399559619111,45.10399932861328,45.10399932861328,44.4947513925058,0.0,0.0,0.0,0.0,0.0,17047.039260869566,7.2,233.4701935483871,65.5199966430664,"4,458.60",555.44,163.58,76.01,1076,0.36479999999999996,268.19,807.85,735.09,170.69,0.0,905.78,-97.93,22.93,3.18,-124.04,0.39,-124.43,,600,600,0.0557,-0.21,-0.21,,65.16,0.11,0.7508,-0.091,-0.11560000000000001,0.060599999999999994,,13.24,0.0123,114.35,-101.11,-0.094
2013-08-07,45.20000076293945,45.20000076293945,44.18999862670898,44.91999816894531,3000300,44.91999816894531,-1.1008366802221947,-1.1008366802221947,45.07333246866862,45.07333246866862,44.55145096269773,0.0,0.0,0.0,0.0,0.0,17049.62818478261,7.2,233.4730322580645,64.94999694824219,"4,493.31",555.44,163.58,76.01,1076,0.36479999999999996,268.19,807.85,735.09,170.69,0.0,905.78,-97.93,22.93,3.18,-124.04,0.39,-124.43,,600,600,0.0557,-0.21,-0.21,,65.16,0.11,0.7508,-0.091,-0.11560000000000001,0.060599999999999994,,13.24,0.0123,114.35,-101.11,-0.094
2013-08-08,45.20000076293945,45.68999862670898,44.970001220703125,45.2400016784668,3400700,45.2400016784668,0.7123854019716269,0.7123854019716269,45.09714235578264,45.09714235578264,44.64325772480027,0.0,0.0,0.0,0.0,0.0,17052.21710869565,7.2,233.475870967742,66.62000274658203,"4,484.04",555.44,163.58,76.01,1076,0.36479999999999996,268.19,807.85,735.09,170.69,0.0,905.78,-97.93,22.93,3.18,-124.04,0.39,-124.43,,600,600,0.0557,-0.21,-0.21,,65.16,0.11,0.7508,-0.091,-0.11560000000000001,0.060599999999999994,,13.24,0.0123,114.35,-101.11,-0.094
2013-08-09,45.22999954223633,45.58000183105469,44.86000061035156,45.209999084472656,2543800,45.209999084472656,-0.0663187287378463,-0.0663187287378463,45.1112494468689,45.1112494468689,44.71882323942326,0.0,0.0,0.0,0.0,0.0,17054.806032608696,7.2,233.4787096774193,66.62000274658203,"4,479.53",555.44,163.58,76.01,1076,0.36479999999999996,268.19,807.85,735.09,170.69,0.0,905.78,-97.93,22.93,3.18,-124.04,0.39,-124.43,,600,600,0.0557,-0.21,-0.21,,65.16,0.11,0.7508,-0.091,-0.11560000000000001,0.060599999999999994,,13.24,0.0123,114.35,-101.11,-0.094
2013-08-12,45.13999938964844,45.68000030517578,45.060001373291016,45.38999938964844,2862900,45.38999938964844,0.3981426870623528,0.3981426870623528,45.14222166273329,45.14222166273329,44.808313392786616,0.0,0.0,0.0,0.0,0.0,17062.572804347827,7.2,233.4872258064516,66.25,"4,478.43",555.44,163.58,76.01,1076,0.36479999999999996,268.19,807.85,735.09,170.69,0.0,905.78,-97.93,22.93,3.18,-124.04,0.39,-124.43,,600,600,0.0557,-0.21,-0.21,,65.16,0.11,0.7508,-0.091,-0.11560000000000001,0.060599999999999994,,13.24,0.0123,114.35,-101.11,-0.094
2013-08-13,45.36000061035156,45.5,44.5,45.06999969482422,3644600,45.06999969482422,-0.7050004387027964,-0.7050004387027964,45.13499946594239,45.13499946594239,44.84320489972496,0.0,0.0,0.0,0.0,0.0,17065.16172826087,7.2,233.49006451612905,66.25,"4,444.29",555.44,163.58,76.01,1076,0.36479999999999996,268.19,807.85,735.09,170.69,0.0,905.78,-97.93,22.93,3.18,-124.04,0.39,-124.43,,600,600,0.0557,-0.21,-0.21,,65.16,0.11,0.7508,-0.091,-0.11560000000000001,0.060599999999999994,,13.24,0.0123,114.35,-101.11,-0.094
