date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2013-07-31,25.799999237060547,25.88999938964844,25.549999237060547,25.59000015258789,30709400,18.588363647460938,0.0,0.0,0.0,18.588363647460938,18.588363647460938,18.588363647460938,0.0,0.0,0.0,0.0,0.0,17031.505717391305,7.203225806451613,233.43806451612903,64.02999877929688,"4,426.58",555.44,163.58,76.01,12085,0.0176,4678,7407,2926,1724,302,4952,2455,140,-225,2540,544,1996,-0.045899999999999996,5378,5430,0.018000000000000002,0.37,0.37,-0.0513,2490,0.46,0.17,0.2143,0.6129,0.20309999999999997,0.16519999999999999,0.20600000000000002,0.21420000000000003,3271,0.2707,591,2680,0.2218
2013-08-01,25.790000915527344,25.93000030517578,25.64999961853028,25.88999938964844,23330000,18.80627822875977,0.0,1.1723299541684715,1.172317184189553,18.69732093811035,18.69732093811035,18.61741892496745,0.0,0.0,0.0,0.0,0.0,17034.09464130435,7.2,233.456,64.87999725341797,"4,501.61",555.44,163.58,76.01,12085,0.0176,4678,7407,2926,1724,302,4952,2455,140,-225,2540,544,1996,-0.045899999999999996,5378,5430,0.018000000000000002,0.37,0.37,-0.0513,2490,0.46,0.17,0.2143,0.6129,0.20309999999999997,0.16519999999999999,0.20600000000000002,0.21420000000000003,3271,0.2707,591,2680,0.2218
2013-08-02,25.799999237060547,26.190000534057617,25.729999542236328,26.190000534057617,26496700,19.02420425415039,0.0,1.1587529991566203,1.15879400878669,18.80628204345703,18.80628204345703,18.671656968858507,0.0,0.0,0.0,0.0,0.0,17036.68356521739,7.2,233.45883870967745,64.87999725341797,"4,500.77",555.44,163.58,76.01,12085,0.0176,4678,7407,2926,1724,302,4952,2455,140,-225,2540,544,1996,-0.045899999999999996,5378,5430,0.018000000000000002,0.37,0.37,-0.0513,2490,0.46,0.17,0.2143,0.6129,0.20309999999999997,0.16519999999999999,0.20600000000000002,0.21420000000000003,3271,0.2707,591,2680,0.2218
2013-08-05,26.11000061035156,26.420000076293945,26.11000061035156,26.309999465942383,28701800,19.11136054992676,0.0,0.4581860612363098,0.4581337259210283,18.882551670074463,18.882551670074463,18.73028411300094,0.0,0.0,0.0,0.0,0.0,17044.45033695652,7.2,233.46735483870967,66.30999755859375,"4,493.55",555.44,163.58,76.01,12085,0.0176,4678,7407,2926,1724,302,4952,2455,140,-225,2540,544,1996,-0.045899999999999996,5378,5430,0.018000000000000002,0.37,0.37,-0.0513,2490,0.46,0.17,0.2143,0.6129,0.20309999999999997,0.16519999999999999,0.20600000000000002,0.21420000000000003,3271,0.2707,591,2680,0.2218
2013-08-06,26.40999984741211,26.40999984741211,26.059999465942383,26.209999084472656,26093500,19.03872299194336,0.0,-0.3800850760152019,-0.3800752845075528,18.91378593444824,18.91378593444824,18.77140929685993,0.0,0.0,0.0,0.0,0.0,17047.039260869566,7.2,233.4701935483871,65.5199966430664,"4,458.60",555.44,163.58,76.01,12085,0.0176,4678,7407,2926,1724,302,4952,2455,140,-225,2540,544,1996,-0.045899999999999996,5378,5430,0.018000000000000002,0.37,0.37,-0.0513,2490,0.46,0.17,0.2143,0.6129,0.20309999999999997,0.16519999999999999,0.20600000000000002,0.21420000000000003,3271,0.2707,591,2680,0.2218
2013-08-07,26.309999465942383,26.489999771118164,26.1200008392334,26.1200008392334,33489600,18.973358154296875,0.0,-0.3433737061539044,-0.343325745503753,18.923714637756348,18.923714637756348,18.798335811184856,0.0,0.0,0.0,0.0,0.0,17049.62818478261,7.2,233.4730322580645,64.94999694824219,"4,493.31",555.44,163.58,76.01,12085,0.0176,4678,7407,2926,1724,302,4952,2455,140,-225,2540,544,1996,-0.045899999999999996,5378,5430,0.018000000000000002,0.37,0.37,-0.0513,2490,0.46,0.17,0.2143,0.6129,0.20309999999999997,0.16519999999999999,0.20600000000000002,0.21420000000000003,3271,0.2707,591,2680,0.2218
2013-08-08,26.270000457763672,26.31999969482422,26.18000030517578,26.26000022888184,20512100,19.07504844665528,0.0,0.5359853949091553,0.5359635944856223,18.94533375331334,18.94533375331334,18.83523082924758,0.0,0.0,0.0,0.0,0.0,17052.21710869565,7.2,233.475870967742,66.62000274658203,"4,484.04",555.44,163.58,76.01,12085,0.0176,4678,7407,2926,1724,302,4952,2455,140,-225,2540,544,1996,-0.045899999999999996,5378,5430,0.018000000000000002,0.37,0.37,-0.0513,2490,0.46,0.17,0.2143,0.6129,0.20309999999999997,0.16519999999999999,0.20600000000000002,0.21420000000000003,3271,0.2707,591,2680,0.2218
2013-08-09,26.299999237060547,26.350000381469727,25.86000061035156,26.049999237060547,27309000,18.922502517700195,0.0,-0.7996991241086215,-0.7997145033821762,18.94247984886169,18.94247984886169,18.846867054374595,0.0,0.0,0.0,0.0,0.0,17054.806032608696,7.2,233.4787096774193,66.62000274658203,"4,479.53",555.44,163.58,76.01,12085,0.0176,4678,7407,2926,1724,302,4952,2455,140,-225,2540,544,1996,-0.045899999999999996,5378,5430,0.018000000000000002,0.37,0.37,-0.0513,2490,0.46,0.17,0.2143,0.6129,0.20309999999999997,0.16519999999999999,0.20600000000000002,0.21420000000000003,3271,0.2707,591,2680,0.2218
2013-08-12,25.86000061035156,26.450000762939453,25.850000381469727,26.34000015258789,32103600,19.133161544799805,0.0,1.1132473091007622,1.1132725542118749,18.963666703965927,18.963666703965927,18.88503965309796,0.0,0.0,0.0,0.0,0.0,17062.572804347827,7.2,233.4872258064516,66.25,"4,478.43",555.44,163.58,76.01,12085,0.0176,4678,7407,2926,1724,302,4952,2455,140,-225,2540,544,1996,-0.045899999999999996,5378,5430,0.018000000000000002,0.37,0.37,-0.0513,2490,0.46,0.17,0.2143,0.6129,0.20309999999999997,0.16519999999999999,0.20600000000000002,0.21420000000000003,3271,0.2707,591,2680,0.2218
2013-08-13,26.450000762939453,26.479999542236328,26.06999969482422,26.31999969482422,36466000,19.11862564086914,0.0,-0.0759318817304843,-0.0759723054479466,18.97916259765625,18.97916259765625,18.91618445146745,0.0,0.0,0.0,0.0,0.0,17065.16172826087,7.2,233.49006451612905,66.25,"4,444.29",555.44,163.58,76.01,12085,0.0176,4678,7407,2926,1724,302,4952,2455,140,-225,2540,544,1996,-0.045899999999999996,5378,5430,0.018000000000000002,0.37,0.37,-0.0513,2490,0.46,0.17,0.2143,0.6129,0.20309999999999997,0.16519999999999999,0.20600000000000002,0.21420000000000003,3271,0.2707,591,2680,0.2218
