date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2013-07-31,126.0199966430664,126.91000366210938,125.45999908447266,125.88999938964844,5394300,82.23026275634766,0.0,0.0,0.0,82.23026275634766,82.23026275634766,82.23026275634766,0.0,0.0,0.0,0.0,0.0,17031.505717391305,7.203225806451613,233.43806451612903,64.02999877929688,"4,426.58",555.44,163.58,76.01,56158,-0.0726,42423,13735,1176,726,"3,635",5537,8198,0,28.0,8170,3240,4930,-0.3195,1923,,-0.0174,2.6,2.57,-0.3054,-1161,-0.6,1.0,0.11109999999999999,0.2446,0.146,0.08779999999999999,-0.0207,0.39659999999999995,11805,0.2102,3635,8170,0.14550000000000002
2013-08-01,126.48999786376952,126.66000366210938,125.63999938964844,126.44000244140624,5757100,82.58948516845703,0.0,0.4368917741078615,0.4368494032103154,82.40987396240234,82.40987396240234,82.27815907796224,0.0,0.0,0.0,0.0,0.0,17034.09464130435,7.2,233.456,64.87999725341797,"4,501.61",555.44,163.58,76.01,56158,-0.0726,42423,13735,1176,726,"3,635",5537,8198,0,28.0,8170,3240,4930,-0.3195,1923,,-0.0174,2.6,2.57,-0.3054,-1161,-0.6,1.0,0.11109999999999999,0.2446,0.146,0.08779999999999999,-0.0207,0.39659999999999995,11805,0.2102,3635,8170,0.14550000000000002
2013-08-02,124.87000274658205,125.0999984741211,123.3000030517578,124.9499969482422,7472700,81.61624908447266,0.0,-1.1784288709220436,-1.178401926103878,82.14533233642578,82.14533233642578,82.18990441216364,0.0,0.0,0.0,0.0,0.0,17036.68356521739,7.2,233.45883870967745,64.87999725341797,"4,500.77",555.44,163.58,76.01,56158,-0.0726,42423,13735,1176,726,"3,635",5537,8198,0,28.0,8170,3240,4930,-0.3195,1923,,-0.0174,2.6,2.57,-0.3054,-1161,-0.6,1.0,0.11109999999999999,0.2446,0.146,0.08779999999999999,-0.0207,0.39659999999999995,11805,0.2102,3635,8170,0.14550000000000002
2013-08-05,124.72000122070312,124.75,123.76000213623048,123.98999786376952,3733700,80.98918914794922,0.0,-0.7683066089791968,-0.7683028117041135,81.85629653930664,81.85629653930664,82.02980904360172,0.0,0.0,0.0,0.0,0.0,17044.45033695652,7.2,233.46735483870967,66.30999755859375,"4,493.55",555.44,163.58,76.01,56158,-0.0726,42423,13735,1176,726,"3,635",5537,8198,0,28.0,8170,3240,4930,-0.3195,1923,,-0.0174,2.6,2.57,-0.3054,-1161,-0.6,1.0,0.11109999999999999,0.2446,0.146,0.08779999999999999,-0.0207,0.39659999999999995,11805,0.2102,3635,8170,0.14550000000000002
2013-08-06,123.97000122070312,124.16000366210938,123.01000213623048,123.13999938964844,4677700,80.43397521972656,0.0,-0.6855379375479975,-0.6855407913868627,81.57183227539062,81.57183227539062,81.81703120041836,0.0,0.0,0.0,0.0,0.0,17047.039260869566,7.2,233.4701935483871,65.5199966430664,"4,458.60",555.44,163.58,76.01,56158,-0.0726,42423,13735,1176,726,"3,635",5537,8198,0,28.0,8170,3240,4930,-0.3195,1923,,-0.0174,2.6,2.57,-0.3054,-1161,-0.6,1.0,0.11109999999999999,0.2446,0.146,0.08779999999999999,-0.0207,0.39659999999999995,11805,0.2102,3635,8170,0.14550000000000002
2013-08-07,123.02999877929688,123.91999816894533,122.8000030517578,123.33000183105467,3898500,80.55810546875,0.0,0.1542979067305605,0.1543256424717753,81.40287780761719,81.40287780761719,81.6491744361959,0.0,0.0,0.0,0.0,0.0,17049.62818478261,7.2,233.4730322580645,64.94999694824219,"4,493.31",555.44,163.58,76.01,56158,-0.0726,42423,13735,1176,726,"3,635",5537,8198,0,28.0,8170,3240,4930,-0.3195,1923,,-0.0174,2.6,2.57,-0.3054,-1161,-0.6,1.0,0.11109999999999999,0.2446,0.146,0.08779999999999999,-0.0207,0.39659999999999995,11805,0.2102,3635,8170,0.14550000000000002
2013-08-08,123.87999725341795,124.20999908447266,121.91000366210938,123.06999969482422,5639200,80.38825225830078,0.0,-0.2108182375498812,-0.2108455871211001,81.25793130057198,81.25793130057198,81.48105147914322,0.0,0.0,0.0,0.0,0.0,17052.21710869565,7.2,233.475870967742,66.62000274658203,"4,484.04",555.44,163.58,76.01,56158,-0.0726,42423,13735,1176,726,"3,635",5537,8198,0,28.0,8170,3240,4930,-0.3195,1923,,-0.0174,2.6,2.57,-0.3054,-1161,-0.6,1.0,0.11109999999999999,0.2446,0.146,0.08779999999999999,-0.0207,0.39659999999999995,11805,0.2102,3635,8170,0.14550000000000002
2013-08-09,123.12000274658205,123.12000274658205,121.68000030517578,122.5,5739400,80.01593780517578,0.0,-0.4631508054258937,-0.4631453510504091,81.10268211364746,81.10268211364746,81.2857029892809,0.0,0.0,0.0,0.0,0.0,17054.806032608696,7.2,233.4787096774193,66.62000274658203,"4,479.53",555.44,163.58,76.01,56158,-0.0726,42423,13735,1176,726,"3,635",5537,8198,0,28.0,8170,3240,4930,-0.3195,1923,,-0.0174,2.6,2.57,-0.3054,-1161,-0.6,1.0,0.11109999999999999,0.2446,0.146,0.08779999999999999,-0.0207,0.39659999999999995,11805,0.2102,3635,8170,0.14550000000000002
2013-08-12,122.0,122.06999969482422,120.91000366210938,121.8000030517578,6014800,79.55870819091797,0.0,-0.5714260801977011,-0.5714231774313294,80.9311294555664,80.9311294555664,81.05543701616584,0.0,0.0,0.0,0.0,0.0,17062.572804347827,7.2,233.4872258064516,66.25,"4,478.43",555.44,163.58,76.01,56158,-0.0726,42423,13735,1176,726,"3,635",5537,8198,0,28.0,8170,3240,4930,-0.3195,1923,,-0.0174,2.6,2.57,-0.3054,-1161,-0.6,1.0,0.11109999999999999,0.2446,0.146,0.08779999999999999,-0.0207,0.39659999999999995,11805,0.2102,3635,8170,0.14550000000000002
2013-08-13,121.93000030517578,123.2300033569336,121.4000015258789,122.5,4461000,80.01593780517578,0.0,0.5747101237302266,0.5747071875030763,80.83961029052735,80.83961029052735,80.91683712136717,0.0,0.0,0.0,0.0,0.0,17065.16172826087,7.2,233.49006451612905,66.25,"4,444.29",555.44,163.58,76.01,56158,-0.0726,42423,13735,1176,726,"3,635",5537,8198,0,28.0,8170,3240,4930,-0.3195,1923,,-0.0174,2.6,2.57,-0.3054,-1161,-0.6,1.0,0.11109999999999999,0.2446,0.146,0.08779999999999999,-0.0207,0.39659999999999995,11805,0.2102,3635,8170,0.14550000000000002
