date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Gross Profit,"Selling, General & Admin",Other Operating Expenses,Operating Expenses,Operating Income,Pretax Income,Income Tax,Net Income,Preferred Dividends,Net Income Common,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2013-07-31,162.52999877929688,165.97000122070312,162.42999267578125,164.02999877929688,3700300,136.32456970214844,0.0,0.0,0.0,136.32456970214844,136.32456970214844,136.32456970214844,0.0,0.0,0.0,0.0,0.0,17031.505717391305,7.203225806451613,233.43806451612903,64.02999877929688,"4,426.58",555.44,163.58,76.01,8782,-0.0492,8782,5230,0,5230,3552,3552,1220,2332,84,"2,248",-0.2065,467,489,-0.0304,4.79,4.57,-0.17809999999999998,2077,4.45,0.55,0.1,1.0,0.4045,0.256,0.2365,0.3435,4026,0.45840000000000003,474,3552,0.4045
2013-08-01,165.74000549316406,167.89999389648438,164.8800048828125,167.49000549316406,3251900,139.20021057128906,0.0,2.1093743459223324,2.1094076258032723,137.76239013671875,137.76239013671875,136.70798848470054,0.0,0.0,0.0,0.0,0.0,17034.09464130435,7.2,233.456,64.87999725341797,"4,501.61",555.44,163.58,76.01,8782,-0.0492,8782,5230,0,5230,3552,3552,1220,2332,84,"2,248",-0.2065,467,489,-0.0304,4.79,4.57,-0.17809999999999998,2077,4.45,0.55,0.1,1.0,0.4045,0.256,0.2365,0.3435,4026,0.45840000000000003,474,3552,0.4045
2013-08-02,166.8300018310547,167.89999389648438,166.4600067138672,167.6199951171875,1866700,139.30819702148438,0.0,0.077610376595727,0.0775763554897945,138.27765909830728,138.27765909830728,137.05468295627173,0.0,0.0,0.0,0.0,0.0,17036.68356521739,7.2,233.45883870967745,64.87999725341797,"4,500.77",555.44,163.58,76.01,8782,-0.0492,8782,5230,0,5230,3552,3552,1220,2332,84,"2,248",-0.2065,467,489,-0.0304,4.79,4.57,-0.17809999999999998,2077,4.45,0.55,0.1,1.0,0.4045,0.256,0.2365,0.3435,4026,0.45840000000000003,474,3552,0.4045
2013-08-05,167.27999877929688,169.69000244140625,166.44000244140625,168.32000732421875,2618400,139.88999938964844,0.0,0.4176185583001812,0.4176368516737971,138.68074417114258,138.68074417114258,137.43272514738862,0.0,0.0,0.0,0.0,0.0,17044.45033695652,7.2,233.46735483870967,66.30999755859375,"4,493.55",555.44,163.58,76.01,8782,-0.0492,8782,5230,0,5230,3552,3552,1220,2332,84,"2,248",-0.2065,467,489,-0.0304,4.79,4.57,-0.17809999999999998,2077,4.45,0.55,0.1,1.0,0.4045,0.256,0.2365,0.3435,4026,0.45840000000000003,474,3552,0.4045
2013-08-06,168.07000732421875,168.27999877929688,164.47000122070312,164.77999877929688,3598500,136.94789123535156,0.0,-2.103141867207204,-2.103158315200182,138.33417358398438,138.33417358398438,137.36808062578368,0.0,0.0,0.0,0.0,0.0,17047.039260869566,7.2,233.4701935483871,65.5199966430664,"4,458.60",555.44,163.58,76.01,8782,-0.0492,8782,5230,0,5230,3552,3552,1220,2332,84,"2,248",-0.2065,467,489,-0.0304,4.79,4.57,-0.17809999999999998,2077,4.45,0.55,0.1,1.0,0.4045,0.256,0.2365,0.3435,4026,0.45840000000000003,474,3552,0.4045
2013-08-07,164.0,164.22999572753906,162.0500030517578,163.4499969482422,2131000,135.8425750732422,0.0,-0.8071379056362682,-0.8071071063152302,137.91890716552734,137.91890716552734,137.1646798854448,0.0,0.0,0.0,0.0,0.0,17049.62818478261,7.2,233.4730322580645,64.94999694824219,"4,493.31",555.44,163.58,76.01,8782,-0.0492,8782,5230,0,5230,3552,3552,1220,2332,84,"2,248",-0.2065,467,489,-0.0304,4.79,4.57,-0.17809999999999998,2077,4.45,0.55,0.1,1.0,0.4045,0.256,0.2365,0.3435,4026,0.45840000000000003,474,3552,0.4045
2013-08-08,164.75,166.42999267578125,162.8300018310547,162.83999633789062,2818400,135.3355712890625,0.0,-0.3732031947022429,-0.3732289261347721,137.54985918317522,137.54985918317522,136.92079873926048,0.0,0.0,0.0,0.0,0.0,17052.21710869565,7.2,233.475870967742,66.62000274658203,"4,484.04",555.44,163.58,76.01,8782,-0.0492,8782,5230,0,5230,3552,3552,1220,2332,84,"2,248",-0.2065,467,489,-0.0304,4.79,4.57,-0.17809999999999998,2077,4.45,0.55,0.1,1.0,0.4045,0.256,0.2365,0.3435,4026,0.45840000000000003,474,3552,0.4045
2013-08-09,162.39999389648438,164.10000610351562,162.02000427246094,162.1300048828125,2012000,134.74546813964844,0.0,-0.4360055705263654,-0.4360295994566443,137.19931030273438,137.19931030273438,136.6307546593122,0.0,0.0,0.0,0.0,0.0,17054.806032608696,7.2,233.4787096774193,66.62000274658203,"4,479.53",555.44,163.58,76.01,8782,-0.0492,8782,5230,0,5230,3552,3552,1220,2332,84,"2,248",-0.2065,467,489,-0.0304,4.79,4.57,-0.17809999999999998,2077,4.45,0.55,0.1,1.0,0.4045,0.256,0.2365,0.3435,4026,0.45840000000000003,474,3552,0.4045
2013-08-12,161.72999572753906,162.3800048828125,160.5500030517578,161.69000244140625,1982000,134.37979125976562,0.0,-0.2713886561122924,-0.2713834349544308,136.88603040907117,136.88603040907117,136.3306262060393,0.0,0.0,0.0,0.0,0.0,17062.572804347827,7.2,233.4872258064516,66.25,"4,478.43",555.44,163.58,76.01,8782,-0.0492,8782,5230,0,5230,3552,3552,1220,2332,84,"2,248",-0.2065,467,489,-0.0304,4.79,4.57,-0.17809999999999998,2077,4.45,0.55,0.1,1.0,0.4045,0.256,0.2365,0.3435,4026,0.45840000000000003,474,3552,0.4045
2013-08-13,161.99000549316406,164.5500030517578,160.9499969482422,163.7100067138672,2309600,136.05870056152344,0.0,1.2493068476469027,1.2493763281060444,136.8032974243164,136.8032974243164,136.2943694534372,0.0,0.0,0.0,0.0,0.0,17065.16172826087,7.2,233.49006451612905,66.25,"4,444.29",555.44,163.58,76.01,8782,-0.0492,8782,5230,0,5230,3552,3552,1220,2332,84,"2,248",-0.2065,467,489,-0.0304,4.79,4.57,-0.17809999999999998,2077,4.45,0.55,0.1,1.0,0.4045,0.256,0.2365,0.3435,4026,0.45840000000000003,474,3552,0.4045
2013-08-14,163.85000610351562,164.8000030517578,162.92999267578125,163.33999633789062,1667400,135.75115966796875,0.0,-0.2260157356314018,-0.2260354481451343,136.70764853737572,136.70764853737572,136.22194148204142,0.0,0.0,0.0,0.0,0.0,17067.750652173912,7.2,233.4929032258065,66.4000015258789,"4,374.62",555.44,163.58,76.01,8782,-0.0492,8782,5230,0,5230,3552,3552,1220,2332,84,"2,248",-0.2065,467,489,-0.0304,4.79,4.57,-0.17809999999999998,2077,4.45,0.55,0.1,1.0,0.4045,0.256,0.2365,0.3435,4026,0.45840000000000003,474,3552,0.4045
2013-08-15,161.91000366210938,161.97000122070312,160.07000732421875,160.75,2206900,133.59860229492188,0.0,-1.5856473588580666,-1.5856640770596564,136.44856135050455,136.44856135050455,135.87216292375882,0.0,0.0,0.0,0.0,0.0,17070.339576086957,7.2,233.49574193548384,65.18000030517578,"4,351.10",555.44,163.58,76.01,8782,-0.0492,8782,5230,0,5230,3552,3552,1220,2332,84,"2,248",-0.2065,467,489,-0.0304,4.79,4.57,-0.17809999999999998,2077,4.45,0.55,0.1,1.0,0.4045,0.256,0.2365,0.3435,4026,0.45840000000000003,474,3552,0.4045
2013-08-16,160.27999877929688,162.2899932861328,160.02999877929688,160.66000366210938,2024300,133.52383422851562,0.0,-0.0559852801807925,-0.0559647070567437,136.2235823411208,136.2235823411208,135.55905243105974,0.0,0.0,0.0,0.0,0.0,17072.9285,7.2,233.4985806451613,63.5,"4,329.10",555.44,163.58,76.01,8782,-0.0492,8782,5230,0,5230,3552,3552,1220,2332,84,"2,248",-0.2065,467,489,-0.0304,4.79,4.57,-0.17809999999999998,2077,4.45,0.55,0.1,1.0,0.4045,0.256,0.2365,0.3435,4026,0.45840000000000003,474,3552,0.4045
2013-08-19,160.1699981689453,160.7899932861328,158.52999877929688,158.6300048828125,2228400,131.83668518066406,0.0,-1.2635371175306664,-1.263556471097238,135.9102325439453,135.9102325439453,135.0627367976737,0.0,-239.1873193488492,0.0,0.0,0.0,17080.69527173913,7.2,233.5070967741936,63.5,"4,343.56",555.44,163.58,76.01,8782,-0.0492,8782,5230,0,5230,3552,3552,1220,2332,84,"2,248",-0.2065,467,489,-0.0304,4.79,4.57,-0.17809999999999998,2077,4.45,0.55,0.1,1.0,0.4045,0.256,0.2365,0.3435,4026,0.45840000000000003,474,3552,0.4045
2013-08-20,158.72000122070312,160.02999877929688,157.77999877929688,159.55999755859375,2288700,132.60960388183594,0.0,0.586265301112654,0.5862698232382613,135.69019063313803,135.69019063313803,134.7356524088953,0.0,-211.33826329154144,0.0,0.0,0.0,17083.284195652173,7.2,233.50993548387092,63.5,"4,313.36",555.44,163.58,76.01,8782,-0.0492,8782,5230,0,5230,3552,3552,1220,2332,84,"2,248",-0.2065,467,489,-0.0304,4.79,4.57,-0.17809999999999998,2077,4.45,0.55,0.1,1.0,0.4045,0.256,0.2365,0.3435,4026,0.45840000000000003,474,3552,0.4045
2013-08-21,158.77999877929688,159.22999572753906,156.50999450683594,157.11000061035156,3053800,130.57339477539062,0.0,-1.535470660396887,-1.5354914326263347,135.3703908920288,135.3703908920288,134.18068472442803,0.0,-196.7874363976313,-215.7710063460073,0.0,0.0,17085.873119565218,7.2,233.5127741935484,63.0,"4,347.48",555.44,163.58,76.01,8782,-0.0492,8782,5230,0,5230,3552,3552,1220,2332,84,"2,248",-0.2065,467,489,-0.0304,4.79,4.57,-0.17809999999999998,2077,4.45,0.55,0.1,1.0,0.4045,0.256,0.2365,0.3435,4026,0.45840000000000003,474,3552,0.4045
2013-08-22,157.80999755859375,159.66000366210938,157.1999969482422,159.41000366210938,2302700,132.48495483398438,0.0,1.4639443974429511,1.463973623326531,135.20065935920266,135.20065935920266,133.9545874057022,0.0,-182.28395454782265,-196.8032180789984,0.0,0.0,17088.46204347826,7.2,233.5156129032258,64.54000091552734,"4,370.13",555.44,163.58,76.01,8782,-0.0492,8782,5230,0,5230,3552,3552,1220,2332,84,"2,248",-0.2065,467,489,-0.0304,4.79,4.57,-0.17809999999999998,2077,4.45,0.55,0.1,1.0,0.4045,0.256,0.2365,0.3435,4026,0.45840000000000003,474,3552,0.4045
