date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2013-07-31,78.69000244140625,79.7300033569336,78.69000244140625,79.02999877929688,5915000,62.53508758544922,0.0,0.0,0.0,62.53508758544922,62.53508758544922,62.53508758544922,0.0,0.0,0.0,0.0,0.0,17031.505717391305,7.203225806451613,233.43806451612903,64.02999877929688,"4,426.58",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
2013-08-01,79.5199966430664,79.97000122070312,78.61000061035156,78.63999938964844,6727400,62.22647476196289,0.0,-0.4934827226020455,-0.4935034640586866,62.380781173706055,62.380781173706055,62.49393920898438,0.0,0.0,0.0,0.0,0.0,17034.09464130435,7.2,233.456,64.87999725341797,"4,501.61",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
2013-08-02,78.63999938964844,80.5,78.5,80.2300033569336,5964400,63.4846076965332,0.0,2.0218768815179367,2.02186117626475,62.74872334798177,62.74872334798177,62.62602834065756,0.0,0.0,0.0,0.0,0.0,17036.68356521739,7.2,233.45883870967745,64.87999725341797,"4,500.77",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
2013-08-05,79.94999694824219,79.94999694824219,79.37000274658203,79.66000366210938,3578500,63.03357696533203,0.0,-0.7104570247720932,-0.7104568297203184,62.819936752319336,62.819936752319336,62.68036815728082,0.0,0.0,0.0,0.0,0.0,17044.45033695652,7.2,233.46735483870967,66.30999755859375,"4,493.55",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
2013-08-06,79.62000274658203,80.33000183105469,78.73999786376953,80.05000305175781,6311100,63.34217834472656,0.0,0.4895799293490821,0.4895825276808541,62.92438507080078,62.92438507080078,62.768609515606926,0.0,0.0,0.0,0.0,0.0,17047.039260869566,7.2,233.4701935483871,65.5199966430664,"4,458.60",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
2013-08-07,79.55999755859375,79.56999969482422,78.5999984741211,78.83000183105469,5322200,62.37682342529297,0.0,-1.5240489371553312,-1.524031766289835,62.83312479654948,62.83312479654948,62.71637137023173,0.0,0.0,0.0,0.0,0.0,17049.62818478261,7.2,233.4730322580645,64.94999694824219,"4,493.31",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
2013-08-08,79.43000030517578,80.22000122070312,79.08999633789062,80.04000091552734,4467900,63.33429718017578,0.0,1.5349474265722751,1.5349831913604062,62.90472085135324,62.90472085135324,62.79876147822427,0.0,0.0,0.0,0.0,0.0,17052.21710869565,7.2,233.475870967742,66.62000274658203,"4,484.04",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
2013-08-09,79.68000030517578,79.7300033569336,78.52999877929688,78.97000122070312,5299300,62.48760223388672,0.0,-1.3368311876376326,-1.3368664120174123,62.85258102416992,62.85258102416992,62.75727357897927,0.0,0.0,0.0,0.0,0.0,17054.806032608696,7.2,233.4787096774193,66.62000274658203,"4,479.53",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
2013-08-12,78.62000274658203,79.54000091552734,78.58000183105469,79.19999694824219,3844400,62.66959381103516,0.0,0.2912444269771219,0.291244295896087,62.8322491115994,62.8322491115994,62.74558294325339,0.0,0.0,0.0,0.0,0.0,17062.572804347827,7.2,233.4872258064516,66.25,"4,478.43",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
2013-08-13,79.13999938964844,79.63999938964844,78.08000183105469,79.44000244140625,6956400,62.85951232910156,0.0,0.3030372505202328,0.3030473097353381,62.83497543334961,62.83497543334961,62.76077352803314,0.0,0.0,0.0,0.0,0.0,17065.16172826087,7.2,233.49006451612905,66.25,"4,444.29",555.44,163.58,76.01,19470,0.0739,12672,6798,4096,409,4505,2293,188,2105,754,1351,0.4266,1408,1417,-0.0541,0.96,0.95,0.5079,916,0.65,0.39,0.3448,0.3492,0.11779999999999999,0.0694,0.047,0.3582,2733,0.1404,440,2293,0.11779999999999999
