date,open,high,low,close,volume,adjclose,dividends,splits,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2013-07-31,79.41567993164062,79.89236450195312,79.06293487548828,79.11060333251953,3165929,63.77261352539063,0.0,0.0,0.0,0.0,63.77261352539063,63.77261352539063,63.77261352539063,0.0,0.0,0.0,0.0,0.0,17031.505717391305,7.203225806451613,233.43806451612903,64.02999877929688,"4,426.58",555.44,163.58,76.01,10387,0.08410000000000001,7612,2775,1438,0,0,1438,1337,83,-168.0,1422,475,947,2.7729000000000004,785,0.0017000000000000001,1.21,1.19,2.8387000000000002,1276,1.63,0.45,0.09759999999999999,0.2672,0.12869999999999998,0.09119999999999999,0.12279999999999999,0.33399999999999996,1754,0.1689,249,1505,0.1449
2013-08-01,79.89236450195312,80.75993347167969,79.73029327392578,80.61692810058594,2348093,64.98689270019531,0.0,0.0,1.904074428221692,1.9040762290873257,64.37975311279297,64.37975311279297,63.93451741536458,0.0,0.0,0.0,0.0,0.0,17034.09464130435,7.2,233.456,64.87999725341797,"4,501.61",555.44,163.58,76.01,10387,0.08410000000000001,7612,2775,1438,0,0,1438,1337,83,-168.0,1422,475,947,2.7729000000000004,785,0.0017000000000000001,1.21,1.19,2.8387000000000002,1276,1.63,0.45,0.09759999999999999,0.2672,0.12869999999999998,0.09119999999999999,0.12279999999999999,0.33399999999999996,1754,0.1689,249,1505,0.1449
2013-08-02,80.46438598632812,80.82666778564453,80.13070678710938,80.73133087158203,2509520,65.07910919189453,0.0,0.0,0.1419091172183417,0.141900139963047,64.61287180582683,64.61287180582683,64.08712965223525,0.0,0.0,0.0,0.0,0.0,17036.68356521739,7.2,233.45883870967745,64.87999725341797,"4,500.77",555.44,163.58,76.01,10387,0.08410000000000001,7612,2775,1438,0,0,1438,1337,83,-168.0,1422,475,947,2.7729000000000004,785,0.0017000000000000001,1.21,1.19,2.8387000000000002,1276,1.63,0.45,0.09759999999999999,0.2672,0.12869999999999998,0.09119999999999999,0.12279999999999999,0.33399999999999996,1754,0.1689,249,1505,0.1449
2013-08-05,80.34998321533203,80.75993347167969,80.09257507324219,80.58832550048828,1577562,64.9638442993164,0.0,0.0,-0.1771373883594496,-0.1771150435360913,64.70061492919922,64.70061492919922,64.20402493851273,0.0,0.0,0.0,0.0,0.0,17044.45033695652,7.2,233.46735483870967,66.30999755859375,"4,493.55",555.44,163.58,76.01,10387,0.08410000000000001,7612,2775,1438,0,0,1438,1337,83,-168.0,1422,475,947,2.7729000000000004,785,0.0017000000000000001,1.21,1.19,2.8387000000000002,1276,1.63,0.45,0.09759999999999999,0.2672,0.12869999999999998,0.09119999999999999,0.12279999999999999,0.33399999999999996,1754,0.1689,249,1505,0.1449
2013-08-06,80.52159118652344,80.75039672851562,79.99723815917969,80.23558044433594,2175757,64.67948150634766,0.0,0.0,-0.4377123534477833,-0.4377247006174256,64.6963882446289,64.6963882446289,64.26741914755739,0.0,0.0,0.0,0.0,0.0,17047.039260869566,7.2,233.4701935483871,65.5199966430664,"4,458.60",555.44,163.58,76.01,10387,0.08410000000000001,7612,2775,1438,0,0,1438,1337,83,-168.0,1422,475,947,2.7729000000000004,785,0.0017000000000000001,1.21,1.19,2.8387000000000002,1276,1.63,0.45,0.09759999999999999,0.2672,0.12869999999999998,0.09119999999999999,0.12279999999999999,0.33399999999999996,1754,0.1689,249,1505,0.1449
2013-08-07,80.0735092163086,80.08303833007812,79.45381927490234,79.74935913085938,2557665,64.28754425048828,0.0,0.0,-0.6059921431164628,-0.6059684566594892,64.6282475789388,64.6282475789388,64.27010249461485,0.0,0.0,0.0,0.0,0.0,17049.62818478261,7.2,233.4730322580645,64.94999694824219,"4,493.31",555.44,163.58,76.01,10387,0.08410000000000001,7612,2775,1438,0,0,1438,1337,83,-168.0,1422,475,947,2.7729000000000004,785,0.0017000000000000001,1.21,1.19,2.8387000000000002,1276,1.63,0.45,0.09759999999999999,0.2672,0.12869999999999998,0.09119999999999999,0.12279999999999999,0.33399999999999996,1754,0.1689,249,1505,0.1449
2013-08-08,80.17837524414062,80.4548568725586,79.60635375976562,79.61589050292969,2211524,64.17996978759766,0.0,0.0,-0.1673601260051227,-0.1673332900561153,64.56420789446149,64.56420789446149,64.2580848003459,0.0,0.0,0.0,0.0,0.0,17052.21710869565,7.2,233.475870967742,66.62000274658203,"4,484.04",555.44,163.58,76.01,10387,0.08410000000000001,7612,2775,1438,0,0,1438,1337,83,-168.0,1422,475,947,2.7729000000000004,785,0.0017000000000000001,1.21,1.19,2.8387000000000002,1276,1.63,0.45,0.09759999999999999,0.2672,0.12869999999999998,0.09119999999999999,0.12279999999999999,0.33399999999999996,1754,0.1689,249,1505,0.1449
2013-08-09,79.63495635986328,79.7874984741211,79.23454284667969,79.43474578857422,2375784,64.03392791748047,0.0,0.0,-0.2275233162766676,-0.2275505435738178,64.49792289733887,64.49792289733887,64.22819721596385,0.0,0.0,0.0,0.0,0.0,17054.806032608696,7.2,233.4787096774193,66.62000274658203,"4,479.53",555.44,163.58,76.01,10387,0.08410000000000001,7612,2775,1438,0,0,1438,1337,83,-168.0,1422,475,947,2.7729000000000004,785,0.0017000000000000001,1.21,1.19,2.8387000000000002,1276,1.63,0.45,0.09759999999999999,0.2672,0.12869999999999998,0.09119999999999999,0.12279999999999999,0.33399999999999996,1754,0.1689,249,1505,0.1449
2013-08-12,79.09153747558594,79.65402221679688,78.76738739013672,79.53961944580078,2218657,64.11844635009766,0.0,0.0,0.1320249170378096,0.1319900798934403,64.45575883653429,64.45575883653429,64.2135637671817,0.0,0.0,0.0,0.0,0.0,17062.572804347827,7.2,233.4872258064516,66.25,"4,478.43",555.44,163.58,76.01,10387,0.08410000000000001,7612,2775,1438,0,0,1438,1337,83,-168.0,1422,475,947,2.7729000000000004,785,0.0017000000000000001,1.21,1.19,2.8387000000000002,1276,1.63,0.45,0.09759999999999999,0.2672,0.12869999999999998,0.09119999999999999,0.12279999999999999,0.33399999999999996,1754,0.1689,249,1505,0.1449
2013-08-13,79.58728790283203,80.02584075927734,79.28221130371094,79.7874984741211,1524488,64.31830596923828,0.0,0.0,0.3116422105705618,0.3117037771772635,64.44201354980468,64.44201354980468,64.22752939412257,0.0,0.0,0.0,0.0,0.0,17065.16172826087,7.2,233.49006451612905,66.25,"4,444.29",555.44,163.58,76.01,10387,0.08410000000000001,7612,2775,1438,0,0,1438,1337,83,-168.0,1422,475,947,2.7729000000000004,785,0.0017000000000000001,1.21,1.19,2.8387000000000002,1276,1.63,0.45,0.09759999999999999,0.2672,0.12869999999999998,0.09119999999999999,0.12279999999999999,0.33399999999999996,1754,0.1689,249,1505,0.1449
