date,open,high,low,close,volume,adjclose,dividends,splits,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2013-07-31,185.93690490722656,188.2504730224609,185.93690490722656,186.46270751953125,3985260,121.28573608398438,0.0,0.0,0.0,0.0,121.28573608398438,121.28573608398438,121.28573608398438,0.0,0.0,0.0,0.0,0.0,17031.505717391305,7.203225806451613,233.43806451612903,64.02999877929688,"4,426.58",555.44,163.58,76.01,27385,-0.0103,13048,14337,5988,1452,-317,7123,7214,113,32.0,7069,885,6184,0.0602,1073,1080,-0.0496,5.71,5.67,0.1118,5469,5.1,0.95,0.1176,0.5235,0.2634,0.22579999999999997,0.1997,0.1252,8396,0.3066,1214,7182,0.2623
2013-08-01,188.0019073486328,188.49903869628903,186.81643676757807,187.1988525390625,3010074,121.76453399658205,0.0,0.0,0.3947947712033217,0.394768526008793,121.5251350402832,121.5251350402832,121.34957580566407,0.0,0.0,0.0,0.0,0.0,17034.09464130435,7.2,233.456,64.87999725341797,"4,501.61",555.44,163.58,76.01,27385,-0.0103,13048,14337,5988,1452,-317,7123,7214,113,32.0,7069,885,6184,0.0602,1073,1080,-0.0496,5.71,5.67,0.1118,5469,5.1,0.95,0.1176,0.5235,0.2634,0.22579999999999997,0.1997,0.1252,8396,0.3066,1214,7182,0.2623
2013-08-02,186.9024810791016,186.9024810791016,184.7227478027344,186.5774383544922,4052204,121.36035919189452,0.0,0.0,-0.3319540564174383,-0.3319314675805707,121.47020975748698,121.47020975748698,121.3510135904948,0.0,0.0,0.0,0.0,0.0,17036.68356521739,7.2,233.45883870967745,64.87999725341797,"4,500.77",555.44,163.58,76.01,27385,-0.0103,13048,14337,5988,1452,-317,7123,7214,113,32.0,7069,885,6184,0.0602,1073,1080,-0.0496,5.71,5.67,0.1118,5469,5.1,0.95,0.1176,0.5235,0.2634,0.22579999999999997,0.1997,0.1252,8396,0.3066,1214,7182,0.2623
2013-08-05,186.5774383544922,187.26577758789065,185.8030548095703,186.9024810791016,2605481,121.57176208496094,0.0,0.0,0.1742133065369966,0.1741943534726564,121.49559783935548,121.49559783935548,121.38044672309027,0.0,0.0,0.0,0.0,0.0,17044.45033695652,7.2,233.46735483870967,66.30999755859375,"4,493.55",555.44,163.58,76.01,27385,-0.0103,13048,14337,5988,1452,-317,7123,7214,113,32.0,7069,885,6184,0.0602,1073,1080,-0.0496,5.71,5.67,0.1118,5469,5.1,0.95,0.1176,0.5235,0.2634,0.22579999999999997,0.1997,0.1252,8396,0.3066,1214,7182,0.2623
2013-08-06,183.8049774169922,184.04397583007807,181.9024810791016,182.5908203125,6211671,118.76721954345705,0.0,0.0,-2.30690397564961,-2.3069029299287003,120.94992218017578,120.94992218017578,121.03201643247252,0.0,0.0,0.0,0.0,0.0,17047.039260869566,7.2,233.4701935483871,65.5199966430664,"4,458.60",555.44,163.58,76.01,27385,-0.0103,13048,14337,5988,1452,-317,7123,7214,113,32.0,7069,885,6184,0.0602,1073,1080,-0.0496,5.71,5.67,0.1118,5469,5.1,0.95,0.1176,0.5235,0.2634,0.22579999999999997,0.1997,0.1252,8396,0.3066,1214,7182,0.2623
2013-08-07,181.261947631836,181.5774383544922,179.78012084960938,180.26768493652344,4081178,117.8423080444336,0.908222,0.0,-1.2723177276933062,-0.7787599158916136,120.43198649088542,120.43198649088542,120.606721980734,0.0,0.0,0.0,0.0,0.0,17049.62818478261,7.2,233.4730322580645,64.94999694824219,"4,493.31",555.44,163.58,76.01,27385,-0.0103,13048,14337,5988,1452,-317,7123,7214,113,32.0,7069,885,6184,0.0602,1073,1080,-0.0496,5.71,5.67,0.1118,5469,5.1,0.95,0.1176,0.5235,0.2634,0.22579999999999997,0.1997,0.1252,8396,0.3066,1214,7182,0.2623
2013-08-08,181.11854553222656,181.52008056640625,178.57553100585938,179.66539001464844,4756790,117.44857025146484,0.0,0.0,-0.334111419962535,-0.3341226080027959,120.0057841709682,120.0057841709682,120.18563508349813,0.0,0.0,0.0,0.0,0.0,17052.21710869565,7.2,233.475870967742,66.62000274658203,"4,484.04",555.44,163.58,76.01,27385,-0.0103,13048,14337,5988,1452,-317,7123,7214,113,32.0,7069,885,6184,0.0602,1073,1080,-0.0496,5.71,5.67,0.1118,5469,5.1,0.95,0.1176,0.5235,0.2634,0.22579999999999997,0.1997,0.1252,8396,0.3066,1214,7182,0.2623
2013-08-09,179.73231506347656,180.8412933349609,178.7762908935547,179.5602264404297,3399082,117.3798599243164,0.0,0.0,-0.0585330175222775,-0.0585024807039591,119.67754364013672,119.67754364013672,119.81153172894057,0.0,0.0,0.0,0.0,0.0,17054.806032608696,7.2,233.4787096774193,66.62000274658203,"4,479.53",555.44,163.58,76.01,27385,-0.0103,13048,14337,5988,1452,-317,7123,7214,113,32.0,7069,885,6184,0.0602,1073,1080,-0.0496,5.71,5.67,0.1118,5469,5.1,0.95,0.1176,0.5235,0.2634,0.22579999999999997,0.1997,0.1252,8396,0.3066,1214,7182,0.2623
2013-08-12,178.7476043701172,181.2237091064453,178.67112731933594,180.77438354492188,3165719,118.17352294921876,0.0,0.0,0.676183767731553,0.676149234982959,119.51043023003471,119.51043023003471,119.593130558311,0.0,0.0,0.0,0.0,0.0,17062.572804347827,7.2,233.4872258064516,66.25,"4,478.43",555.44,163.58,76.01,27385,-0.0103,13048,14337,5988,1452,-317,7123,7214,113,32.0,7069,885,6184,0.0602,1073,1080,-0.0496,5.71,5.67,0.1118,5469,5.1,0.95,0.1176,0.5235,0.2634,0.22579999999999997,0.1997,0.1252,8396,0.3066,1214,7182,0.2623
2013-08-13,181.20458984375,181.63479614257807,179.31166076660156,180.13385009765625,3705873,117.75477600097656,0.0,0.0,-0.3543275516724176,-0.3543492127438097,119.33486480712892,119.33486480712892,119.34801661733307,0.0,0.0,0.0,0.0,0.0,17065.16172826087,7.2,233.49006451612905,66.25,"4,444.29",555.44,163.58,76.01,27385,-0.0103,13048,14337,5988,1452,-317,7123,7214,113,32.0,7069,885,6184,0.0602,1073,1080,-0.0496,5.71,5.67,0.1118,5469,5.1,0.95,0.1176,0.5235,0.2634,0.22579999999999997,0.1997,0.1252,8396,0.3066,1214,7182,0.2623
