date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2013-07-31,93.2300033569336,94.41999816894533,93.19000244140624,93.5,11365700,70.76018524169922,0.0,0.0,0.0,70.76018524169922,70.76018524169922,70.76018524169922,0.0,0.0,0.0,0.0,0.0,17031.505717391305,7.203225806451613,233.43806451612903,64.02999877929688,"4,426.58",555.44,163.58,76.01,18355,0.0454,5955,12400,5917,2411,338,8666,3734,134,850,2750,-769,3519,0.3709,2809,2877,0.0147,1.25,1.22,0.3556,2710,0.96,0.66,0.08199999999999999,0.6756,0.2034,0.1917,0.1476,-0.2796,3986,0.21719999999999998,1102,2884,0.15710000000000002
2013-08-01,94.16000366210938,94.4000015258789,93.6999969482422,93.7699966430664,11098600,70.9645004272461,0.0,0.2887664631726183,0.288743146797854,70.86234283447266,70.86234283447266,70.78742726643881,0.0,0.0,0.0,0.0,0.0,17034.09464130435,7.2,233.456,64.87999725341797,"4,501.61",555.44,163.58,76.01,18355,0.0454,5955,12400,5917,2411,338,8666,3734,134,850,2750,-769,3519,0.3709,2809,2877,0.0147,1.25,1.22,0.3556,2710,0.96,0.66,0.08199999999999999,0.6756,0.2034,0.1917,0.1476,-0.2796,3986,0.21719999999999998,1102,2884,0.15710000000000002
2013-08-02,93.55999755859376,94.38999938964844,93.4499969482422,94.38999938964844,8503100,71.4336929321289,0.0,0.6611952317136849,0.6611650924871038,71.05279286702473,71.05279286702473,70.87359602186416,0.0,0.0,0.0,0.0,0.0,17036.68356521739,7.2,233.45883870967745,64.87999725341797,"4,500.77",555.44,163.58,76.01,18355,0.0454,5955,12400,5917,2411,338,8666,3734,134,850,2750,-769,3519,0.3709,2809,2877,0.0147,1.25,1.22,0.3556,2710,0.96,0.66,0.08199999999999999,0.6756,0.2034,0.1917,0.1476,-0.2796,3986,0.21719999999999998,1102,2884,0.15710000000000002
2013-08-05,94.0500030517578,94.3000030517578,93.43000030517578,93.8000030517578,7192400,70.98719787597656,0.0,-0.6250623389190579,-0.625048261996719,71.0363941192627,71.0363941192627,70.88874293574581,0.0,0.0,0.0,0.0,0.0,17044.45033695652,7.2,233.46735483870967,66.30999755859375,"4,493.55",555.44,163.58,76.01,18355,0.0454,5955,12400,5917,2411,338,8666,3734,134,850,2750,-769,3519,0.3709,2809,2877,0.0147,1.25,1.22,0.3556,2710,0.96,0.66,0.08199999999999999,0.6756,0.2034,0.1917,0.1476,-0.2796,3986,0.21719999999999998,1102,2884,0.15710000000000002
2013-08-06,93.87999725341795,93.94000244140624,93.5,93.80999755859376,6415000,70.9947738647461,0.0,0.0106551242119001,0.0106723310627998,71.02807006835937,71.02807006835937,70.90288039294585,0.0,0.0,0.0,0.0,0.0,17047.039260869566,7.2,233.4701935483871,65.5199966430664,"4,458.60",555.44,163.58,76.01,18355,0.0454,5955,12400,5917,2411,338,8666,3734,134,850,2750,-769,3519,0.3709,2809,2877,0.0147,1.25,1.22,0.3556,2710,0.96,0.66,0.08199999999999999,0.6756,0.2034,0.1917,0.1476,-0.2796,3986,0.21719999999999998,1102,2884,0.15710000000000002
2013-08-07,93.5999984741211,94.02999877929688,93.47000122070312,93.66000366210938,9056900,70.88124084472656,0.0,-0.1598911634025923,-0.1599174331279984,71.00359853108723,71.00359853108723,70.89999511984995,0.0,0.0,0.0,0.0,0.0,17049.62818478261,7.2,233.4730322580645,64.94999694824219,"4,493.31",555.44,163.58,76.01,18355,0.0454,5955,12400,5917,2411,338,8666,3734,134,850,2750,-769,3519,0.3709,2809,2877,0.0147,1.25,1.22,0.3556,2710,0.96,0.66,0.08199999999999999,0.6756,0.2034,0.1917,0.1476,-0.2796,3986,0.21719999999999998,1102,2884,0.15710000000000002
2013-08-08,94.2699966430664,94.37000274658205,92.70999908447266,93.33999633789062,11090000,70.63907623291016,0.0,-0.3416691348563483,-0.3416483810531723,70.95152391706195,70.95152391706195,70.86520593492465,0.0,0.0,0.0,0.0,0.0,17052.21710869565,7.2,233.475870967742,66.62000274658203,"4,484.04",555.44,163.58,76.01,18355,0.0454,5955,12400,5917,2411,338,8666,3734,134,850,2750,-769,3519,0.3709,2809,2877,0.0147,1.25,1.22,0.3556,2710,0.96,0.66,0.08199999999999999,0.6756,0.2034,0.1917,0.1476,-0.2796,3986,0.21719999999999998,1102,2884,0.15710000000000002
2013-08-09,93.38999938964844,93.38999938964844,91.77999877929688,92.36000061035156,12135800,69.89738464355469,0.0,-1.0499204692396624,-1.049973511700486,70.81975650787354,70.81975650787354,70.73616309607532,0.0,0.0,0.0,0.0,0.0,17054.806032608696,7.2,233.4787096774193,66.62000274658203,"4,479.53",555.44,163.58,76.01,18355,0.0454,5955,12400,5917,2411,338,8666,3734,134,850,2750,-769,3519,0.3709,2809,2877,0.0147,1.25,1.22,0.3556,2710,0.96,0.66,0.08199999999999999,0.6756,0.2034,0.1917,0.1476,-0.2796,3986,0.21719999999999998,1102,2884,0.15710000000000002
2013-08-12,92.08000183105467,92.7699966430664,91.75,92.0,11012300,69.62494659423828,0.0,-0.3897797834263028,-0.3897685882035762,70.68699985080295,70.68699985080295,70.58800089583038,0.0,0.0,0.0,0.0,0.0,17062.572804347827,7.2,233.4872258064516,66.25,"4,478.43",555.44,163.58,76.01,18355,0.0454,5955,12400,5917,2411,338,8666,3734,134,850,2750,-769,3519,0.3709,2809,2877,0.0147,1.25,1.22,0.3556,2710,0.96,0.66,0.08199999999999999,0.6756,0.2034,0.1917,0.1476,-0.2796,3986,0.21719999999999998,1102,2884,0.15710000000000002
2013-08-13,91.88999938964844,93.3499984741211,91.76000213623048,93.01000213623048,10099800,70.38931274414062,0.0,1.0978284089461663,1.0978337324363483,70.65723114013672,70.65723114013672,70.56150914227175,0.0,0.0,0.0,0.0,0.0,17065.16172826087,7.2,233.49006451612905,66.25,"4,444.29",555.44,163.58,76.01,18355,0.0454,5955,12400,5917,2411,338,8666,3734,134,850,2750,-769,3519,0.3709,2809,2877,0.0147,1.25,1.22,0.3556,2710,0.96,0.66,0.08199999999999999,0.6756,0.2034,0.1917,0.1476,-0.2796,3986,0.21719999999999998,1102,2884,0.15710000000000002
