date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2013-07-31,98.31999969482422,98.54000091552734,97.62999725341795,98.08000183105467,5343000,74.52680969238281,0.0,0.0,0.0,74.52680969238281,74.52680969238281,74.52680969238281,0.0,0.0,0.0,0.0,0.0,17031.505717391305,7.203225806451613,233.43806451612903,64.02999877929688,"4,426.58",555.44,163.58,76.01,7093,0.0203,4350,2743,627.8,-85.4,542.4,2200.0,139.4,5.8,2055.0,658.2,1397.0,0.0006,992,999,-0.011399999999999999,1.4,1.39,0.0072,969.5,0.98,0.81,0.0519,0.38670000000000004,0.3102,0.19690000000000002,0.1367,0.32030000000000003,2603,0.36700000000000005,408.6,2195.0,0.3094
2013-08-01,98.62000274658205,99.23999786376952,98.31999969482422,99.0,3954600,75.22588348388672,0.0,0.9380079035174128,0.9380165263874972,74.87634658813477,74.87634658813477,74.62001953125,0.0,0.0,0.0,0.0,0.0,17034.09464130435,7.2,233.456,64.87999725341797,"4,501.61",555.44,163.58,76.01,7093,0.0203,4350,2743,627.8,-85.4,542.4,2200.0,139.4,5.8,2055.0,658.2,1397.0,0.0006,992,999,-0.011399999999999999,1.4,1.39,0.0072,969.5,0.98,0.81,0.0519,0.38670000000000004,0.3102,0.19690000000000002,0.1367,0.32030000000000003,2603,0.36700000000000005,408.6,2195.0,0.3094
2013-08-02,98.80999755859376,99.1999969482422,98.4499969482422,99.1999969482422,3224300,75.37782287597656,0.0,0.2020171194365483,0.2019775442350102,75.0435053507487,75.0435053507487,74.72105997721354,0.0,0.0,0.0,0.0,0.0,17036.68356521739,7.2,233.45883870967745,64.87999725341797,"4,500.77",555.44,163.58,76.01,7093,0.0203,4350,2743,627.8,-85.4,542.4,2200.0,139.4,5.8,2055.0,658.2,1397.0,0.0006,992,999,-0.011399999999999999,1.4,1.39,0.0072,969.5,0.98,0.81,0.0519,0.38670000000000004,0.3102,0.19690000000000002,0.1367,0.32030000000000003,2603,0.36700000000000005,408.6,2195.0,0.3094
2013-08-05,99.01000213623048,99.44000244140624,98.83000183105467,99.30999755859376,3326400,75.46142578125,0.0,0.1108877154592624,0.1109118067936121,75.14798545837402,75.14798545837402,74.81977541775174,0.0,0.0,0.0,0.0,0.0,17044.45033695652,7.2,233.46735483870967,66.30999755859375,"4,493.55",555.44,163.58,76.01,7093,0.0203,4350,2743,627.8,-85.4,542.4,2200.0,139.4,5.8,2055.0,658.2,1397.0,0.0006,992,999,-0.011399999999999999,1.4,1.39,0.0072,969.5,0.98,0.81,0.0519,0.38670000000000004,0.3102,0.19690000000000002,0.1367,0.32030000000000003,2603,0.36700000000000005,408.6,2195.0,0.3094
2013-08-06,99.33000183105467,99.4000015258789,98.37000274658205,98.69000244140624,3507200,74.99031066894531,0.0,-0.6243028219003799,-0.6243124979779302,75.11645050048828,75.11645050048828,74.84251345124422,0.0,0.0,0.0,0.0,0.0,17047.039260869566,7.2,233.4701935483871,65.5199966430664,"4,458.60",555.44,163.58,76.01,7093,0.0203,4350,2743,627.8,-85.4,542.4,2200.0,139.4,5.8,2055.0,658.2,1397.0,0.0006,992,999,-0.011399999999999999,1.4,1.39,0.0072,969.5,0.98,0.81,0.0519,0.38670000000000004,0.3102,0.19690000000000002,0.1367,0.32030000000000003,2603,0.36700000000000005,408.6,2195.0,0.3094
2013-08-07,98.5999984741211,98.98999786376952,98.2699966430664,98.33000183105467,3256400,74.71675872802734,0.0,-0.3647792090848312,-0.3647830479401537,75.04983520507812,75.04983520507812,74.8257461548153,0.0,0.0,0.0,0.0,0.0,17049.62818478261,7.2,233.4730322580645,64.94999694824219,"4,493.31",555.44,163.58,76.01,7093,0.0203,4350,2743,627.8,-85.4,542.4,2200.0,139.4,5.8,2055.0,658.2,1397.0,0.0006,992,999,-0.011399999999999999,1.4,1.39,0.0072,969.5,0.98,0.81,0.0519,0.38670000000000004,0.3102,0.19690000000000002,0.1367,0.32030000000000003,2603,0.36700000000000005,408.6,2195.0,0.3094
2013-08-08,98.63999938964844,98.98999786376952,97.44000244140624,98.04000091552734,4862300,74.49641418457031,0.0,-0.2949261772877909,-0.2949064536633572,74.9707750592913,74.9707750592913,74.7818352254493,0.0,0.0,0.0,0.0,0.0,17052.21710869565,7.2,233.475870967742,66.62000274658203,"4,484.04",555.44,163.58,76.01,7093,0.0203,4350,2743,627.8,-85.4,542.4,2200.0,139.4,5.8,2055.0,658.2,1397.0,0.0006,992,999,-0.011399999999999999,1.4,1.39,0.0072,969.5,0.98,0.81,0.0519,0.38670000000000004,0.3102,0.19690000000000002,0.1367,0.32030000000000003,2603,0.36700000000000005,408.6,2195.0,0.3094
2013-08-09,97.9000015258789,98.4000015258789,97.06999969482422,97.62000274658205,4041800,74.17726135253906,0.0,-0.4283947011661015,-0.428413683429818,74.87158584594727,74.87158584594727,74.70122537572793,0.0,0.0,0.0,0.0,0.0,17054.806032608696,7.2,233.4787096774193,66.62000274658203,"4,479.53",555.44,163.58,76.01,7093,0.0203,4350,2743,627.8,-85.4,542.4,2200.0,139.4,5.8,2055.0,658.2,1397.0,0.0006,992,999,-0.011399999999999999,1.4,1.39,0.0072,969.5,0.98,0.81,0.0519,0.38670000000000004,0.3102,0.19690000000000002,0.1367,0.32030000000000003,2603,0.36700000000000005,408.6,2195.0,0.3094
2013-08-12,97.48999786376952,97.8000030517578,97.0,97.04000091552734,3256800,73.7365493774414,0.0,-0.5941424039500931,-0.5941335215964627,74.74547068277995,74.74547068277995,74.57260190928973,0.0,0.0,0.0,0.0,0.0,17062.572804347827,7.2,233.4872258064516,66.25,"4,478.43",555.44,163.58,76.01,7093,0.0203,4350,2743,627.8,-85.4,542.4,2200.0,139.4,5.8,2055.0,658.2,1397.0,0.0006,992,999,-0.011399999999999999,1.4,1.39,0.0072,969.5,0.98,0.81,0.0519,0.38670000000000004,0.3102,0.19690000000000002,0.1367,0.32030000000000003,2603,0.36700000000000005,408.6,2195.0,0.3094
2013-08-13,97.0199966430664,97.0999984741211,96.11000061035156,96.4499969482422,5188300,73.2882308959961,0.0,-0.6080007849533664,-0.6080003542754175,74.59974670410156,74.59974670410156,74.40135244085057,0.0,0.0,0.0,0.0,0.0,17065.16172826087,7.2,233.49006451612905,66.25,"4,444.29",555.44,163.58,76.01,7093,0.0203,4350,2743,627.8,-85.4,542.4,2200.0,139.4,5.8,2055.0,658.2,1397.0,0.0006,992,999,-0.011399999999999999,1.4,1.39,0.0072,969.5,0.98,0.81,0.0519,0.38670000000000004,0.3102,0.19690000000000002,0.1367,0.32030000000000003,2603,0.36700000000000005,408.6,2195.0,0.3094
