date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2013-07-31,117.12999725341795,118.5999984741211,117.01000213623048,117.43000030517578,2694000,85.12238311767578,0.0,0.0,0.0,85.12238311767578,85.12238311767578,85.12238311767578,0.0,0.0,0.0,0.0,0.0,17031.505717391305,7.203225806451613,233.43806451612903,64.02999877929688,"4,426.58",555.44,163.58,76.01,7569,0.0246,3976,3593,1576,438,0,2014,1579,32,2,1545,442,1103,0.113,668,681,-0.0288,1.65,1.62,0.1489,1492,2.23,0.635,0.07629999999999999,0.4747,0.2086,0.1457,0.1971,0.2861,1934,0.2555,357,1577,0.20829999999999999
2013-08-01,118.37999725341795,119.26000213623048,118.2699966430664,118.41000366210938,2997000,85.83275604248047,0.0,0.8345425822930963,0.8345312933998095,85.47756958007812,85.47756958007812,85.21709950764973,0.0,0.0,0.0,0.0,0.0,17034.09464130435,7.2,233.456,64.87999725341797,"4,501.61",555.44,163.58,76.01,7569,0.0246,3976,3593,1576,438,0,2014,1579,32,2,1545,442,1103,0.113,668,681,-0.0288,1.65,1.62,0.1489,1492,2.23,0.635,0.07629999999999999,0.4747,0.2086,0.1457,0.1971,0.2861,1934,0.2555,357,1577,0.20829999999999999
2013-08-02,117.9800033569336,118.3499984741211,117.47000122070312,118.26000213623048,1899300,85.72401428222656,0.0,-0.1266797747147663,-0.1266902815052151,85.55971781412761,85.55971781412761,85.28468814425997,0.0,0.0,0.0,0.0,0.0,17036.68356521739,7.2,233.45883870967745,64.87999725341797,"4,500.77",555.44,163.58,76.01,7569,0.0246,3976,3593,1576,438,0,2014,1579,32,2,1545,442,1103,0.113,668,681,-0.0288,1.65,1.62,0.1489,1492,2.23,0.635,0.07629999999999999,0.4747,0.2086,0.1457,0.1971,0.2861,1934,0.2555,357,1577,0.20829999999999999
2013-08-05,118.16999816894533,118.25,117.80999755859376,117.91999816894533,1351800,85.47756958007812,0.0,-0.2875054635069984,-0.2874861895023617,85.53918075561523,85.53918075561523,85.31040566903573,0.0,0.0,0.0,0.0,0.0,17044.45033695652,7.2,233.46735483870967,66.30999755859375,"4,493.55",555.44,163.58,76.01,7569,0.0246,3976,3593,1576,438,0,2014,1579,32,2,1545,442,1103,0.113,668,681,-0.0288,1.65,1.62,0.1489,1492,2.23,0.635,0.07629999999999999,0.4747,0.2086,0.1457,0.1971,0.2861,1934,0.2555,357,1577,0.20829999999999999
2013-08-06,117.81999969482422,117.9499969482422,117.13999938964844,117.5,1841100,85.17313385009766,0.0,-0.3561721298058207,-0.3561586173730258,85.46597137451172,85.46597137451172,85.292102759844,0.0,0.0,0.0,0.0,0.0,17047.039260869566,7.2,233.4701935483871,65.5199966430664,"4,458.60",555.44,163.58,76.01,7569,0.0246,3976,3593,1576,438,0,2014,1579,32,2,1545,442,1103,0.113,668,681,-0.0288,1.65,1.62,0.1489,1492,2.23,0.635,0.07629999999999999,0.4747,0.2086,0.1457,0.1971,0.2861,1934,0.2555,357,1577,0.20829999999999999
2013-08-07,117.3000030517578,117.9499969482422,117.04000091552734,117.83000183105467,1934000,85.41232299804688,0.0,0.2808526221742102,0.280826989846572,85.45702997843425,85.45702997843425,85.30813212493771,0.0,0.0,0.0,0.0,0.0,17049.62818478261,7.2,233.4730322580645,64.94999694824219,"4,493.31",555.44,163.58,76.01,7569,0.0246,3976,3593,1576,438,0,2014,1579,32,2,1545,442,1103,0.113,668,681,-0.0288,1.65,1.62,0.1489,1492,2.23,0.635,0.07629999999999999,0.4747,0.2086,0.1457,0.1971,0.2861,1934,0.2555,357,1577,0.20829999999999999
2013-08-08,118.2699966430664,119.0,117.63999938964844,118.68000030517578,2380600,86.02848815917969,0.0,0.7213769506172252,0.7214007762637475,85.53866686139789,85.53866686139789,85.40417959616998,0.0,0.0,0.0,0.0,0.0,17052.21710869565,7.2,233.475870967742,66.62000274658203,"4,484.04",555.44,163.58,76.01,7569,0.0246,3976,3593,1576,438,0,2014,1579,32,2,1545,442,1103,0.113,668,681,-0.0288,1.65,1.62,0.1489,1492,2.23,0.635,0.07629999999999999,0.4747,0.2086,0.1457,0.1971,0.2861,1934,0.2555,357,1577,0.20829999999999999
2013-08-09,118.7300033569336,119.1999969482422,117.6999969482422,118.30999755859376,2460100,85.76026153564453,0.0,-0.3117650367632341,-0.3117881405039324,85.56636619567871,85.56636619567871,85.45165718809992,0.0,0.0,0.0,0.0,0.0,17054.806032608696,7.2,233.4787096774193,66.62000274658203,"4,479.53",555.44,163.58,76.01,7569,0.0246,3976,3593,1576,438,0,2014,1579,32,2,1545,442,1103,0.113,668,681,-0.0288,1.65,1.62,0.1489,1492,2.23,0.635,0.07629999999999999,0.4747,0.2086,0.1457,0.1971,0.2861,1934,0.2555,357,1577,0.20829999999999999
2013-08-12,118.0,118.76000213623048,117.72000122070312,118.37999725341795,1647400,85.81100463867188,0.0,0.0591663395052899,0.0591685497673744,85.59354824490018,85.59354824490018,85.49957018150951,0.0,0.0,0.0,0.0,0.0,17062.572804347827,7.2,233.4872258064516,66.25,"4,478.43",555.44,163.58,76.01,7569,0.0246,3976,3593,1576,438,0,2014,1579,32,2,1545,442,1103,0.113,668,681,-0.0288,1.65,1.62,0.1489,1492,2.23,0.635,0.07629999999999999,0.4747,0.2086,0.1457,0.1971,0.2861,1934,0.2555,357,1577,0.20829999999999999
2013-08-13,118.5199966430664,119.18000030517578,117.19000244140624,118.66999816894533,2023300,86.02124786376953,0.0,0.2449745922079582,0.2450072994517826,85.63631820678711,85.63631820678711,85.56912720581084,0.0,0.0,0.0,0.0,0.0,17065.16172826087,7.2,233.49006451612905,66.25,"4,444.29",555.44,163.58,76.01,7569,0.0246,3976,3593,1576,438,0,2014,1579,32,2,1545,442,1103,0.113,668,681,-0.0288,1.65,1.62,0.1489,1492,2.23,0.635,0.07629999999999999,0.4747,0.2086,0.1457,0.1971,0.2861,1934,0.2555,357,1577,0.20829999999999999
