date,open,high,low,close,volume,adjclose,dividends,splits,Open_Close_Diff,High_Low_Diff,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,sp500,nasdaq,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2013-07-31,46.27862548828125,46.49809265136719,45.77289962768555,45.96374130249024,22612067,33.413204193115234,0.0,0.0,-0.3148841857910156,0.7251930236816406,0.0,0.0,33.413204193115234,33.413204193115234,33.413204193115234,0.0,0.0,0.0,0.0,0.0,17031.505717391305,7.203225806451613,233.43806451612903,64.02999877929688,1685.72998046875,3626.3701171875,4426.58,555.44,163.58,76.01,11320,-0.0355,4607,6713,2982,1835,565,5382,1331,201,-61,1191,410,781,-0.1399,2927,2963,-0.023700000000000002,0.27,0.27,-0.069,2597,0.89,0.44,0.0233,0.593,0.1176,0.069,0.22940000000000002,0.3442,3346,0.2956,1954,1392,0.12300000000000001
2013-08-01,46.22137451171875,46.450382232666016,45.83969497680664,46.35496139526367,14198094,33.697601318359375,0.0,0.0,0.1335868835449218,0.610687255859375,0.8511493661901737,0.8511519086898511,33.555402755737305,33.555402755737305,33.451123809814455,0.0,0.0,0.0,0.0,0.0,17034.09464130435,7.2,233.456,64.87999725341797,1706.8699951171875,3675.739990234375,4501.61,555.44,163.58,76.01,11320,-0.0355,4607,6713,2982,1835,565,5382,1331,201,-61,1191,410,781,-0.1399,2927,2963,-0.023700000000000002,0.27,0.27,-0.069,2597,0.89,0.44,0.0233,0.593,0.1176,0.069,0.22940000000000002,0.3442,3346,0.2956,1954,1392,0.12300000000000001
2013-08-02,46.22137451171875,46.31679534912109,45.97328186035156,46.31679534912109,9350466,33.66986083984375,0.0,0.0,0.0954208374023437,0.3435134887695312,-0.0823343283950617,-0.0823218194480501,33.59355545043945,33.59355545043945,33.4802887471517,0.0,0.0,0.0,0.0,0.0,17036.68356521739,7.2,233.45883870967745,64.87999725341797,1709.6700439453125,3689.590087890625,4500.77,555.44,163.58,76.01,11320,-0.0355,4607,6713,2982,1835,565,5382,1331,201,-61,1191,410,781,-0.1399,2927,2963,-0.023700000000000002,0.27,0.27,-0.069,2597,0.89,0.44,0.0233,0.593,0.1176,0.069,0.22940000000000002,0.3442,3346,0.2956,1954,1392,0.12300000000000001
2013-08-05,46.17366409301758,46.431297302246094,45.86832046508789,46.3072509765625,7114977,33.66292190551758,0.0,0.0,0.1335868835449218,0.5629768371582031,-0.0206067204923221,-0.0206087407345623,33.610897064208984,33.610897064208984,33.50463983493381,0.0,0.0,0.0,0.0,0.0,17044.45033695652,7.2,233.46735483870967,66.30999755859375,1707.1400146484375,3692.949951171875,4493.55,555.44,163.58,76.01,11320,-0.0355,4607,6713,2982,1835,565,5382,1331,201,-61,1191,410,781,-0.1399,2927,2963,-0.023700000000000002,0.27,0.27,-0.069,2597,0.89,0.44,0.0233,0.593,0.1176,0.069,0.22940000000000002,0.3442,3346,0.2956,1954,1392,0.12300000000000001
2013-08-06,46.25954055786133,46.364505767822266,45.88740539550781,46.22137451171875,10421836,33.60048294067383,0.0,0.0,-0.0381660461425781,0.4771003723144531,-0.1854492828503584,-0.1854829031745941,33.60881423950195,33.60881423950195,33.51741891569915,0.0,0.0,0.0,0.0,0.0,17047.039260869566,7.2,233.4701935483871,65.5199966430664,1697.3699951171875,3665.77001953125,4458.6,555.44,163.58,76.01,11320,-0.0355,4607,6713,2982,1835,565,5382,1331,201,-61,1191,410,781,-0.1399,2927,2963,-0.023700000000000002,0.27,0.27,-0.069,2597,0.89,0.44,0.0233,0.593,0.1176,0.069,0.22940000000000002,0.3442,3346,0.2956,1954,1392,0.12300000000000001
2013-08-07,46.13549423217773,46.51717758178711,46.13549423217773,46.32633590698242,10130282,33.67680358886719,0.0,0.0,0.1908416748046875,0.381683349609375,0.2270841063739093,0.2271415215314487,33.62014579772949,33.62014579772949,33.53867020545489,0.0,0.0,0.0,0.0,0.0,17049.62818478261,7.2,233.4730322580645,64.94999694824219,1690.9100341796875,3654.010009765625,4493.31,555.44,163.58,76.01,11320,-0.0355,4607,6713,2982,1835,565,5382,1331,201,-61,1191,410,781,-0.1399,2927,2963,-0.023700000000000002,0.27,0.27,-0.069,2597,0.89,0.44,0.0233,0.593,0.1176,0.069,0.22940000000000002,0.3442,3346,0.2956,1954,1392,0.12300000000000001
2013-08-08,46.431297302246094,46.60305404663086,45.98282241821289,46.25,9045707,33.62128448486328,0.0,0.0,-0.1812973022460937,0.6202316284179688,-0.1647786415392205,-0.1648585913369138,33.62030846732004,33.62030846732004,33.54968544270935,0.0,0.0,0.0,0.0,0.0,17052.21710869565,7.2,233.475870967742,66.62000274658203,1697.47998046875,3669.1201171875,4484.04,555.44,163.58,76.01,11320,-0.0355,4607,6713,2982,1835,565,5382,1331,201,-61,1191,410,781,-0.1399,2927,2963,-0.023700000000000002,0.27,0.27,-0.069,2597,0.89,0.44,0.0233,0.593,0.1176,0.069,0.22940000000000002,0.3442,3346,0.2956,1954,1392,0.12300000000000001
2013-08-09,46.22137451171875,46.54580307006836,46.049617767333984,46.17366409301758,8266834,33.56581115722656,0.0,0.0,-0.0477104187011718,0.496185302734375,-0.1650506096917192,-0.1649946707470206,33.61349630355835,33.61349630355835,33.55183553797831,0.0,0.0,0.0,0.0,0.0,17054.806032608696,7.2,233.4787096774193,66.62000274658203,1691.4200439453125,3660.110107421875,4479.53,555.44,163.58,76.01,11320,-0.0355,4607,6713,2982,1835,565,5382,1331,201,-61,1191,410,781,-0.1399,2927,2963,-0.023700000000000002,0.27,0.27,-0.069,2597,0.89,0.44,0.0233,0.593,0.1176,0.069,0.22940000000000002,0.3442,3346,0.2956,1954,1392,0.12300000000000001
2013-08-12,45.95419692993164,46.57442855834961,45.88740539550781,46.25,10411985,33.62128448486328,0.0,0.0,0.2958030700683594,0.6870231628417969,0.1653234770986333,0.1652673530720738,33.614361657036675,33.614361657036675,33.56109539756298,0.0,0.0,0.0,0.0,0.0,17062.572804347827,7.2,233.4872258064516,66.25,1689.469970703125,3669.949951171875,4478.43,555.44,163.58,76.01,11320,-0.0355,4607,6713,2982,1835,565,5382,1331,201,-61,1191,410,781,-0.1399,2927,2963,-0.023700000000000002,0.27,0.27,-0.069,2597,0.89,0.44,0.0233,0.593,0.1176,0.069,0.22940000000000002,0.3442,3346,0.2956,1954,1392,0.12300000000000001
2013-08-13,46.29771041870117,46.61259460449219,45.87786483764648,46.21183013916016,7812945,33.59355545043945,0.0,0.0,-0.0858802795410156,0.7347297668457031,-0.0825294288429034,-0.0824746432168899,33.61228103637696,33.61228103637696,33.56542340461318,0.0,0.0,0.0,0.0,0.0,17065.16172826087,7.2,233.49006451612905,66.25,1694.1600341796875,3684.43994140625,4444.29,555.44,163.58,76.01,11320,-0.0355,4607,6713,2982,1835,565,5382,1331,201,-61,1191,410,781,-0.1399,2927,2963,-0.023700000000000002,0.27,0.27,-0.069,2597,0.89,0.44,0.0233,0.593,0.1176,0.069,0.22940000000000002,0.3442,3346,0.2956,1954,1392,0.12300000000000001
