date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2013-07-31,31.96999931335449,32.04999923706055,31.709999084472656,31.84000015258789,43898400,26.476713180541992,0.0,0.0,0.0,26.476713180541992,26.476713180541992,26.476713180541992,0.0,0.0,0.0,0.0,0.0,17031.505717391305,7.203225806451613,233.43806451612903,64.02999877929688,"4,426.58",555.44,163.58,76.01,24519,0.14279999999999998,8322,16197,5480,2748,0,8228,7969,135,-44,7878,1320,6558,0.028399999999999998,8326,8395,-0.0058,0.79,0.78,0.0263,2681,0.32,0.28,0.21739999999999998,0.6606000000000001,0.325,0.2675,0.1093,0.16760000000000003,9274,0.3782,1261,8013,0.3268
2013-08-01,32.060001373291016,32.09000015258789,31.600000381469727,31.670000076293945,42557900,26.335355758666992,0.0,-0.5339198350478913,-0.5338933911890775,26.40603446960449,26.40603446960449,26.457865524292,0.0,0.0,0.0,0.0,0.0,17034.09464130435,7.2,233.456,64.87999725341797,"4,501.61",555.44,163.58,76.01,24519,0.14279999999999998,8322,16197,5480,2748,0,8228,7969,135,-44,7878,1320,6558,0.028399999999999998,8326,8395,-0.0058,0.79,0.78,0.0263,2681,0.32,0.28,0.21739999999999998,0.6606000000000001,0.325,0.2675,0.1093,0.16760000000000003,9274,0.3782,1261,8013,0.3268
2013-08-02,31.690000534057617,31.89999961853028,31.56999969482422,31.88999938964844,29199900,26.518291473388672,0.0,0.6946615498089947,0.6946392385888789,26.443453470865887,26.443453470865887,26.465922317504884,0.0,0.0,0.0,0.0,0.0,17036.68356521739,7.2,233.45883870967745,64.87999725341797,"4,500.77",555.44,163.58,76.01,24519,0.14279999999999998,8322,16197,5480,2748,0,8228,7969,135,-44,7878,1320,6558,0.028399999999999998,8326,8395,-0.0058,0.79,0.78,0.0263,2681,0.32,0.28,0.21739999999999998,0.6606000000000001,0.325,0.2675,0.1093,0.16760000000000003,9274,0.3782,1261,8013,0.3268
2013-08-05,31.89999961853028,32.0,31.63999938964844,31.700000762939453,30984000,26.360294342041016,0.0,-0.5957937608824793,-0.5958043394545531,26.422663688659668,26.422663688659668,26.451838587443035,0.0,0.0,0.0,0.0,0.0,17044.45033695652,7.2,233.46735483870967,66.30999755859375,"4,493.55",555.44,163.58,76.01,24519,0.14279999999999998,8322,16197,5480,2748,0,8228,7969,135,-44,7878,1320,6558,0.028399999999999998,8326,8395,-0.0058,0.79,0.78,0.0263,2681,0.32,0.28,0.21739999999999998,0.6606000000000001,0.325,0.2675,0.1093,0.16760000000000003,9274,0.3782,1261,8013,0.3268
2013-08-06,31.549999237060547,31.670000076293945,31.3799991607666,31.57999992370605,36331500,26.2605094909668,0.0,-0.3785515342122347,-0.3785422491093926,26.39023284912109,26.39023284912109,26.426328041246204,0.0,0.0,0.0,0.0,0.0,17047.039260869566,7.2,233.4701935483871,65.5199966430664,"4,458.60",555.44,163.58,76.01,24519,0.14279999999999998,8322,16197,5480,2748,0,8228,7969,135,-44,7878,1320,6558,0.028399999999999998,8326,8395,-0.0058,0.79,0.78,0.0263,2681,0.32,0.28,0.21739999999999998,0.6606000000000001,0.325,0.2675,0.1093,0.16760000000000003,9274,0.3782,1261,8013,0.3268
2013-08-07,31.540000915527344,32.099998474121094,31.25,32.060001373291016,38078600,26.65966033935547,0.0,1.5199539288935917,1.5199661245185458,26.435137430826824,26.435137430826824,26.45743901432744,0.0,0.0,0.0,0.0,0.0,17049.62818478261,7.2,233.4730322580645,64.94999694824219,"4,493.31",555.44,163.58,76.01,24519,0.14279999999999998,8322,16197,5480,2748,0,8228,7969,135,-44,7878,1320,6558,0.028399999999999998,8326,8395,-0.0058,0.79,0.78,0.0263,2681,0.32,0.28,0.21739999999999998,0.6606000000000001,0.325,0.2675,0.1093,0.16760000000000003,9274,0.3782,1261,8013,0.3268
2013-08-08,32.2400016784668,33.06999969482422,32.04999923706055,32.88999938964844,59034400,27.34984016418457,0.0,2.5888895221598096,2.58885453169202,26.56580924987793,26.56580924987793,26.57642583430839,0.0,0.0,0.0,0.0,0.0,17052.21710869565,7.2,233.475870967742,66.62000274658203,"4,484.04",555.44,163.58,76.01,24519,0.14279999999999998,8322,16197,5480,2748,0,8228,7969,135,-44,7878,1320,6558,0.028399999999999998,8326,8395,-0.0058,0.79,0.78,0.0263,2681,0.32,0.28,0.21739999999999998,0.6606000000000001,0.325,0.2675,0.1093,0.16760000000000003,9274,0.3782,1261,8013,0.3268
2013-08-09,32.77000045776367,32.900001525878906,32.470001220703125,32.70000076293945,26800700,27.191850662231445,0.0,-0.5776790216930894,-0.5776615183295197,26.64406442642212,26.64406442642212,26.658482478031463,0.0,0.0,0.0,0.0,0.0,17054.806032608696,7.2,233.4787096774193,66.62000274658203,"4,479.53",555.44,163.58,76.01,24519,0.14279999999999998,8322,16197,5480,2748,0,8228,7969,135,-44,7878,1320,6558,0.028399999999999998,8326,8395,-0.0058,0.79,0.78,0.0263,2681,0.32,0.28,0.21739999999999998,0.6606000000000001,0.325,0.2675,0.1093,0.16760000000000003,9274,0.3782,1261,8013,0.3268
2013-08-12,32.459999084472656,32.970001220703125,32.459999084472656,32.869998931884766,25493700,27.333213806152344,0.0,0.5198720641559795,0.5198731990583072,26.72063657972548,26.72063657972548,26.74844665511425,0.0,0.0,0.0,0.0,0.0,17062.572804347827,7.2,233.4872258064516,66.25,"4,478.43",555.44,163.58,76.01,24519,0.14279999999999998,8322,16197,5480,2748,0,8228,7969,135,-44,7878,1320,6558,0.028399999999999998,8326,8395,-0.0058,0.79,0.78,0.0263,2681,0.32,0.28,0.21739999999999998,0.6606000000000001,0.325,0.2675,0.1093,0.16760000000000003,9274,0.3782,1261,8013,0.3268
2013-08-13,32.5099983215332,32.54999923706055,32.209999084472656,32.22999954223633,39464100,26.98987579345703,0.23,-1.947062398677546,-1.2561201735378558,26.74756050109864,26.74756050109864,26.78063720689329,0.0,0.0,0.0,0.0,0.0,17065.16172826087,7.2,233.49006451612905,66.25,"4,444.29",555.44,163.58,76.01,24519,0.14279999999999998,8322,16197,5480,2748,0,8228,7969,135,-44,7878,1320,6558,0.028399999999999998,8326,8395,-0.0058,0.79,0.78,0.0263,2681,0.32,0.28,0.21739999999999998,0.6606000000000001,0.325,0.2675,0.1093,0.16760000000000003,9274,0.3782,1261,8013,0.3268
