date,open,high,low,close,volume,adjclose,dividends,splits,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2013-07-31,31.559999465942383,31.75,31.38500022888184,31.459999084472656,8461800,28.093656539916992,0.0,0.0,0.0,0.0,28.093656539916992,28.093656539916992,28.093656539916992,0.0,0.0,0.0,0.0,0.0,17031.505717391305,7.203225806451613,233.43806451612903,64.02999877929688,"4,426.58",555.44,163.58,76.01,6431,0.0799,3605,2826,2091,2091,735,8,13,714,180,534,0.3906,1779,,-0.0128,0.3,0.29,0.0351,126,0.07,-,,0.43939999999999996,0.1143,0.083,0.0196,0.2521,846,0.1316,124,722,0.11230000000000001
2013-08-01,31.6200008392334,33.05500030517578,31.6200008392334,32.98500061035156,15813200,29.455463409423828,0.0,0.0,4.847430293256383,4.847382068517514,28.77455997467041,28.77455997467041,28.27523078918457,0.0,0.0,0.0,0.0,0.0,17034.09464130435,7.2,233.456,64.87999725341797,"4,501.61",555.44,163.58,76.01,6431,0.0799,3605,2826,2091,2091,735,8,13,714,180,534,0.3906,1779,,-0.0128,0.3,0.29,0.0351,126,0.07,-,,0.43939999999999996,0.1143,0.083,0.0196,0.2521,846,0.1316,124,722,0.11230000000000001
2013-08-02,32.994998931884766,33.30500030517578,32.70500183105469,33.150001525878906,7499800,29.602819442749023,0.0,0.0,0.5002301424107403,0.5002672382945716,29.05064646402995,29.05064646402995,28.45224260965983,0.0,0.0,0.0,0.0,0.0,17036.68356521739,7.2,233.45883870967745,64.87999725341797,"4,500.77",555.44,163.58,76.01,6431,0.0799,3605,2826,2091,2091,735,8,13,714,180,534,0.3906,1779,,-0.0128,0.3,0.29,0.0351,126,0.07,-,,0.43939999999999996,0.1143,0.083,0.0196,0.2521,846,0.1316,124,722,0.11230000000000001
2013-08-05,33.099998474121094,33.27000045776367,33.08000183105469,33.20000076293945,4213000,29.647464752197266,0.0,0.0,0.1508272541752786,0.1508143828481856,29.199851036071777,29.199851036071777,28.61160556199816,0.0,0.0,0.0,0.0,0.0,17044.45033695652,7.2,233.46735483870967,66.30999755859375,"4,493.55",555.44,163.58,76.01,6431,0.0799,3605,2826,2091,2091,735,8,13,714,180,534,0.3906,1779,,-0.0128,0.3,0.29,0.0351,126,0.07,-,,0.43939999999999996,0.1143,0.083,0.0196,0.2521,846,0.1316,124,722,0.11230000000000001
2013-08-06,33.154998779296875,33.42499923706055,32.939998626708984,33.27000045776367,6244000,29.70997428894043,0.0,0.0,0.2108424494446259,0.210842772782227,29.30187568664551,29.30187568664551,28.758054725590465,0.0,0.0,0.0,0.0,0.0,17047.039260869566,7.2,233.4701935483871,65.5199966430664,"4,458.60",555.44,163.58,76.01,6431,0.0799,3605,2826,2091,2091,735,8,13,714,180,534,0.3906,1779,,-0.0128,0.3,0.29,0.0351,126,0.07,-,,0.43939999999999996,0.1143,0.083,0.0196,0.2521,846,0.1316,124,722,0.11230000000000001
2013-08-07,33.06999969482422,33.119998931884766,32.80500030517578,32.814998626708984,5888800,29.303667068481445,0.0,0.0,-1.3676039218343703,-1.3675784990841655,29.302174250284832,29.302174250284832,28.83080303797593,0.0,0.0,0.0,0.0,0.0,17049.62818478261,7.2,233.4730322580645,64.94999694824219,"4,493.31",555.44,163.58,76.01,6431,0.0799,3605,2826,2091,2091,735,8,13,714,180,534,0.3906,1779,,-0.0128,0.3,0.29,0.0351,126,0.07,-,,0.43939999999999996,0.1143,0.083,0.0196,0.2521,846,0.1316,124,722,0.11230000000000001
2013-08-08,33.029998779296875,33.224998474121094,32.88999938964844,33.025001525878906,5057400,29.49119758605957,0.0,0.0,0.6399601034844826,0.6399558019133611,29.32917758396693,29.32917758396693,28.918855644387083,0.0,0.0,0.0,0.0,0.0,17052.21710869565,7.2,233.475870967742,66.62000274658203,"4,484.04",555.44,163.58,76.01,6431,0.0799,3605,2826,2091,2091,735,8,13,714,180,534,0.3906,1779,,-0.0128,0.3,0.29,0.0351,126,0.07,-,,0.43939999999999996,0.1143,0.083,0.0196,0.2521,846,0.1316,124,722,0.11230000000000001
2013-08-09,32.959999084472656,33.369998931884766,32.91999816894531,33.154998779296875,5644800,29.60728073120117,0.0,0.0,0.3936328460608873,0.3936196378694134,29.363940477371216,29.363940477371216,29.010645655962296,0.0,0.0,0.0,0.0,0.0,17054.806032608696,7.2,233.4787096774193,66.62000274658203,"4,479.53",555.44,163.58,76.01,6431,0.0799,3605,2826,2091,2091,735,8,13,714,180,534,0.3906,1779,,-0.0128,0.3,0.29,0.0351,126,0.07,-,,0.43939999999999996,0.1143,0.083,0.0196,0.2521,846,0.1316,124,722,0.11230000000000001
2013-08-12,33.04499816894531,33.29999923706055,33.025001525878906,33.255001068115234,4401800,29.696582794189453,0.0,0.0,0.3016205474295041,0.3016219685929133,29.400900734795464,29.400900734795464,29.10210394105925,0.0,0.0,0.0,0.0,0.0,17062.572804347827,7.2,233.4872258064516,66.25,"4,478.43",555.44,163.58,76.01,6431,0.0799,3605,2826,2091,2091,735,8,13,714,180,534,0.3906,1779,,-0.0128,0.3,0.29,0.0351,126,0.07,-,,0.43939999999999996,0.1143,0.083,0.0196,0.2521,846,0.1316,124,722,0.11230000000000001
2013-08-13,33.30500030517578,33.375,32.845001220703125,32.904998779296875,4299400,29.384033203125,0.0,0.0,-1.052480161108582,-1.0524766207296032,29.399213981628417,29.399213981628417,29.13969450933469,0.0,0.0,0.0,0.0,0.0,17065.16172826087,7.2,233.49006451612905,66.25,"4,444.29",555.44,163.58,76.01,6431,0.0799,3605,2826,2091,2091,735,8,13,714,180,534,0.3906,1779,,-0.0128,0.3,0.29,0.0351,126,0.07,-,,0.43939999999999996,0.1143,0.083,0.0196,0.2521,846,0.1316,124,722,0.11230000000000001
