date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2013-07-31,80.44000244140625,81.41000366210938,80.16000366210938,80.30000305175781,11857000,59.76073455810547,0.0,0.0,0.0,59.76073455810547,59.76073455810547,59.76073455810547,0.0,0.0,0.0,0.0,0.0,17031.505717391305,7.203225806451613,233.43806451612903,64.02999877929688,"4,426.58",555.44,163.58,76.01,21099,-0.048499999999999995,10474,10625,6323,0,6323,4302,185,-196,4313,885,3428,-0.155,2909,2909.0,-0.0036,1.24,1.18,-0.15109999999999998,2361,0.81,0.602,0.0712,0.5036,0.2039,0.1625,0.1119,0.2052,5253,0.249,755,4498,0.2132
2013-08-01,81.62000274658203,82.2300033569336,81.20999908447266,81.63999938964844,10724800,60.75798034667969,0.0,1.6687375927332493,1.6687308078594532,60.25935745239258,60.25935745239258,59.8937006632487,0.0,0.0,0.0,0.0,0.0,17034.09464130435,7.2,233.456,64.87999725341797,"4,501.61",555.44,163.58,76.01,21099,-0.048499999999999995,10474,10625,6323,0,6323,4302,185,-196,4313,885,3428,-0.155,2909,2909.0,-0.0036,1.24,1.18,-0.15109999999999998,2361,0.81,0.602,0.0712,0.5036,0.2039,0.1625,0.1119,0.2052,5253,0.249,755,4498,0.2132
2013-08-02,81.41999816894531,81.5,80.55999755859375,81.29000091552734,6626300,60.49751281738281,0.0,-0.4287095501442017,-0.4286968194312401,60.33874257405599,60.33874257405599,59.97420895046659,0.0,0.0,0.0,0.0,0.0,17036.68356521739,7.2,233.45883870967745,64.87999725341797,"4,500.77",555.44,163.58,76.01,21099,-0.048499999999999995,10474,10625,6323,0,6323,4302,185,-196,4313,885,3428,-0.155,2909,2909.0,-0.0036,1.24,1.18,-0.15109999999999998,2361,0.81,0.602,0.0712,0.5036,0.2039,0.1625,0.1119,0.2052,5253,0.249,755,4498,0.2132
2013-08-05,81.05000305175781,81.6500015258789,80.95999908447266,81.4000015258789,4662800,60.57939147949219,0.0,0.1353187466018868,0.1353421955651912,60.39890480041504,60.39890480041504,60.05489995433668,0.0,0.0,0.0,0.0,0.0,17044.45033695652,7.2,233.46735483870967,66.30999755859375,"4,493.55",555.44,163.58,76.01,21099,-0.048499999999999995,10474,10625,6323,0,6323,4302,185,-196,4313,885,3428,-0.155,2909,2909.0,-0.0036,1.24,1.18,-0.15109999999999998,2361,0.81,0.602,0.0712,0.5036,0.2039,0.1625,0.1119,0.2052,5253,0.249,755,4498,0.2132
2013-08-06,81.30000305175781,81.97000122070312,81.30000305175781,81.73999786376953,6212500,60.83242034912109,0.0,0.4176859109548347,0.4176814316706467,60.48560791015625,60.48560791015625,60.158569340307935,0.0,0.0,0.0,0.0,0.0,17047.039260869566,7.2,233.4701935483871,65.5199966430664,"4,458.60",555.44,163.58,76.01,21099,-0.048499999999999995,10474,10625,6323,0,6323,4302,185,-196,4313,885,3428,-0.155,2909,2909.0,-0.0036,1.24,1.18,-0.15109999999999998,2361,0.81,0.602,0.0712,0.5036,0.2039,0.1625,0.1119,0.2052,5253,0.249,755,4498,0.2132
2013-08-07,81.41000366210938,82.20999908447266,81.37999725341797,81.95999908447266,5828500,60.99616622924805,0.0,0.2691475733456627,0.2691753495705162,60.57070096333822,60.57070096333822,60.27024892549995,0.0,0.0,0.0,0.0,0.0,17049.62818478261,7.2,233.4730322580645,64.94999694824219,"4,493.31",555.44,163.58,76.01,21099,-0.048499999999999995,10474,10625,6323,0,6323,4302,185,-196,4313,885,3428,-0.155,2909,2909.0,-0.0036,1.24,1.18,-0.15109999999999998,2361,0.81,0.602,0.0712,0.5036,0.2039,0.1625,0.1119,0.2052,5253,0.249,755,4498,0.2132
2013-08-08,82.11000061035156,82.4000015258789,81.51000213623047,82.16999816894531,6207900,61.152435302734375,0.0,0.2562214334046242,0.2561949105112759,60.65380586896624,60.65380586896624,60.38787377579787,0.0,0.0,0.0,0.0,0.0,17052.21710869565,7.2,233.475870967742,66.62000274658203,"4,484.04",555.44,163.58,76.01,21099,-0.048499999999999995,10474,10625,6323,0,6323,4302,185,-196,4313,885,3428,-0.155,2909,2909.0,-0.0036,1.24,1.18,-0.15109999999999998,2361,0.81,0.602,0.0712,0.5036,0.2039,0.1625,0.1119,0.2052,5253,0.249,755,4498,0.2132
2013-08-09,81.91999816894531,82.05999755859375,81.19000244140625,81.63999938964844,6127200,60.75798034667969,0.0,-0.6450027882526799,-0.6450355641634653,60.66682767868042,60.66682767868042,60.43722131858212,0.0,0.0,0.0,0.0,0.0,17054.806032608696,7.2,233.4787096774193,66.62000274658203,"4,479.53",555.44,163.58,76.01,21099,-0.048499999999999995,10474,10625,6323,0,6323,4302,185,-196,4313,885,3428,-0.155,2909,2909.0,-0.0036,1.24,1.18,-0.15109999999999998,2361,0.81,0.602,0.0712,0.5036,0.2039,0.1625,0.1119,0.2052,5253,0.249,755,4498,0.2132
2013-08-12,81.2300033569336,81.7300033569336,81.04000091552734,81.62000274658203,4922200,60.74311065673828,0.0,-0.0244936835079645,-0.0244736409218404,60.675303565131294,60.675303565131294,60.47800656366961,0.0,0.0,0.0,0.0,0.0,17062.572804347827,7.2,233.4872258064516,66.25,"4,478.43",555.44,163.58,76.01,21099,-0.048499999999999995,10474,10625,6323,0,6323,4302,185,-196,4313,885,3428,-0.155,2909,2909.0,-0.0036,1.24,1.18,-0.15109999999999998,2361,0.81,0.602,0.0712,0.5036,0.2039,0.1625,0.1119,0.2052,5253,0.249,755,4498,0.2132
2013-08-13,81.77999877929688,81.98999786376953,81.33000183105469,81.66000366210938,4936400,60.77288818359375,0.0,0.0490087162230867,0.0490220644506322,60.68506202697754,60.68506202697754,60.51732411299283,0.0,0.0,0.0,0.0,0.0,17065.16172826087,7.2,233.49006451612905,66.25,"4,444.29",555.44,163.58,76.01,21099,-0.048499999999999995,10474,10625,6323,0,6323,4302,185,-196,4313,885,3428,-0.155,2909,2909.0,-0.0036,1.24,1.18,-0.15109999999999998,2361,0.81,0.602,0.0712,0.5036,0.2039,0.1625,0.1119,0.2052,5253,0.249,755,4498,0.2132
2013-08-14,81.66999816894531,81.77999877929688,81.19000244140625,81.25,5167500,60.4677734375,0.0,-0.5020862646613167,-0.5020573403916595,60.66530851884322,60.66530851884322,60.51071735626046,0.0,0.0,0.0,0.0,0.0,17067.750652173912,7.2,233.4929032258065,66.4000015258789,"4,374.62",555.44,163.58,76.01,21099,-0.048499999999999995,10474,10625,6323,0,6323,4302,185,-196,4313,885,3428,-0.155,2909,2909.0,-0.0036,1.24,1.18,-0.15109999999999998,2361,0.81,0.602,0.0712,0.5036,0.2039,0.1625,0.1119,0.2052,5253,0.249,755,4498,0.2132
2013-08-15,80.95999908447266,81.08000183105469,80.16999816894531,80.4800033569336,7415300,59.89471054077149,0.0,-0.9476881760817292,-0.947716219980943,60.60109202067057,60.60109202067057,60.42858311419526,0.0,0.0,0.0,0.0,0.0,17070.339576086957,7.2,233.49574193548384,65.18000030517578,"4,351.10",555.44,163.58,76.01,21099,-0.048499999999999995,10474,10625,6323,0,6323,4302,185,-196,4313,885,3428,-0.155,2909,2909.0,-0.0036,1.24,1.18,-0.15109999999999998,2361,0.81,0.602,0.0712,0.5036,0.2039,0.1625,0.1119,0.2052,5253,0.249,755,4498,0.2132
2013-08-16,80.2699966430664,80.4800033569336,79.05999755859375,79.9000015258789,9451600,59.46305847167969,0.0,-0.7206781894408487,-0.7206847903505009,60.513550978440506,60.513550978440506,60.29984649519319,0.0,0.0,0.0,0.0,0.0,17072.9285,7.2,233.4985806451613,63.5,"4,329.10",555.44,163.58,76.01,21099,-0.048499999999999995,10474,10625,6323,0,6323,4302,185,-196,4313,885,3428,-0.155,2909,2909.0,-0.0036,1.24,1.18,-0.15109999999999998,2361,0.81,0.602,0.0712,0.5036,0.2039,0.1625,0.1119,0.2052,5253,0.249,755,4498,0.2132
2013-08-19,79.63999938964844,80.08999633789062,79.41999816894531,79.58999633789062,5959400,59.23234939575195,0.0,-0.3879914669186468,-0.387987234187781,60.42203657967704,60.42203657967704,60.157513548601024,0.0,-593.6414554309118,0.0,0.0,0.0,17080.69527173913,7.2,233.5070967741936,63.5,"4,343.56",555.44,163.58,76.01,21099,-0.048499999999999995,10474,10625,6323,0,6323,4302,185,-196,4313,885,3428,-0.155,2909,2909.0,-0.0036,1.24,1.18,-0.15109999999999998,2361,0.81,0.602,0.0712,0.5036,0.2039,0.1625,0.1119,0.2052,5253,0.249,755,4498,0.2132
