,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2021-12-13,173.75473022460938,198.05307006835938,158.85960388183594,197.39999389648438,192.6833953857422,265.760009765625,55.13622283935547,107.6223373413086,363.240478515625,384.5929260253906,200.5612030029297,111.26210021972656,159.30340576171875,148.6568145751953,54.384464263916016,251.62994384765625,157.9310302734375,69.04322052001953,333.29400634765625,162.9601287841797,150.04159545898438,147.41282653808594,465.0920104980469,207.7856903076172,44.40875244140625,43.81515884399414,139.74163818359375
2021-12-14,172.36065673828125,200.25482177734375,158.4218292236328,195.5,193.05679321289062,255.58999633789062,54.34599685668945,107.93811798095703,367.1878967285156,381.707763671875,198.11685180664062,112.33314514160156,161.04351806640625,149.79588317871094,54.42212677001953,251.08474731445312,158.05770874023438,69.9830322265625,322.4329833984375,161.55360412597656,150.59352111816406,150.8291473388672,466.3759460449219,206.76162719726562,44.73555374145508,43.97565460205078,141.07508850097656
2021-12-15,177.27452087402344,205.4171905517578,157.82843017578125,195.42999267578125,193.9280548095703,260.0400085449219,56.37798309326172,107.32514953613281,368.2172546386719,387.0319519042969,201.0692596435547,111.74315643310547,161.8473663330078,148.67568969726562,54.666934967041016,252.99765014648438,159.01658630371094,71.47344970703125,328.6294250488281,160.0884552001953,151.17404174804688,152.40740966796875,480.8887634277344,209.05592346191406,44.64722442626953,44.278812408447266,141.88296508789062
2021-12-16,170.31402587890625,208.53707885742188,158.5677490234375,190.7899932861328,197.39395141601562,253.1199951171875,56.7354621887207,108.32817840576172,375.26220703125,379.173828125,200.92547607421875,114.30279541015625,163.61581420898438,151.0008087158203,55.22245407104492,253.98275756835938,161.30531311035156,72.06201171875,319.05487060546875,158.93594360351562,153.31517028808594,155.91998291015625,479.4102478027344,211.0843505859375,46.590328216552734,43.92216110229492,139.5177459716797
2021-12-17,169.20669555664062,208.4621124267578,155.65907287597656,192.6300048828125,192.79827880859375,252.92999267578125,56.87657165527344,105.50482177734375,360.5584411621094,368.2122802734375,196.66940307617188,115.63705444335938,159.09539794921875,147.5648956298828,54.35621643066406,250.3004913330078,158.08480834960938,71.85317993164062,317.9746398925781,157.6075439453125,149.84173583984375,152.23419189453125,473.8268737792969,208.63250732421875,46.96128463745117,43.55658721923828,135.05015563964844
2021-12-20,167.8323974609375,206.11050415039062,151.65109252929688,188.47999572753906,187.13986206054688,247.2100067138672,56.78249740600586,105.55125427246094,350.93536376953125,369.5599365234375,191.56985473632812,115.32846069335938,158.64146423339844,144.9103240966797,54.17732238769531,250.32920837402344,156.176025390625,72.53667449951172,314.15460205078125,153.32937622070312,150.22239685058594,147.7496337890625,470.5294189453125,205.54066467285156,46.89063262939453,43.538761138916016,135.4881591796875
2021-12-21,171.0358123779297,206.98182678222656,156.5345916748047,199.52000427246094,189.8685302734375,252.5500030517578,57.41278839111328,107.24156188964844,359.1607971191406,370.575439453125,193.31442260742188,117.06210327148438,158.13076782226562,146.93417358398438,54.39387893676758,252.8733367919922,156.42933654785156,71.71077728271484,321.4018859863281,162.7550048828125,150.12721252441406,149.6647186279297,473.9143981933594,212.07887268066406,46.61682891845703,44.54630661010742,135.89695739746094
2021-12-22,173.65585327148438,207.55331420898438,158.05213928222656,201.69000244140625,193.5450897216797,252.8000030517578,57.883148193359375,107.85452270507812,361.0589599609375,375.48199462890625,193.47740173339844,117.77008819580078,158.8116455078125,147.50840759277344,54.77992248535156,253.3993377685547,156.176025390625,72.2993392944336,327.20556640625,161.59266662597656,151.61178588867188,148.86593627929688,480.6455993652344,214.6193389892578,46.607994079589844,44.94754409790039,136.07215881347656
2021-12-23,174.2886199951172,209.67074584960938,159.7253875732422,204.22000122070312,197.42266845703125,253.13999938964844,58.58869552612305,108.11457824707031,363.6181945800781,376.8391418457031,196.7173614501953,118.56884765625,159.1143035888672,148.03555297851562,54.81758499145508,254.3654022216797,158.28382873535156,71.89115142822266,328.66876220703125,161.81732177734375,152.35403442382812,148.82745361328125,481.8614501953125,213.29986572265625,46.528507232666016,45.00995635986328,135.7704620361328
2021-12-24,174.2886199951172,209.67074584960938,159.7253875732422,204.22000122070312,197.42266845703125,253.13999938964844,58.58869552612305,108.11457824707031,363.6181945800781,376.8391418457031,196.7173614501953,118.56884765625,159.1143035888672,148.03555297851562,54.81758499145508,254.3654022216797,158.28382873535156,71.89115142822266,328.66876220703125,161.81732177734375,152.35403442382812,148.82745361328125,481.8614501953125,213.29986572265625,46.528507232666016,45.00995635986328,135.7704620361328
