date,open,high,low,close,volume,adjclose,dividends,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,EBIT,EBIT Margin
2013-07-31,83.51000213623047,84.1500015258789,83.25,83.55000305175781,2481700,65.91056060791016,0.0,0.0,0.0,65.91056060791016,65.91056060791016,65.91056060791016,0.0,0.0,0.0,0.0,0.0,17031.505717391305,7.203225806451613,233.43806451612903,64.02999877929688,"4,426.58",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
2013-08-01,84.25,84.7699966430664,84.0999984741211,84.36000061035156,1809900,66.54955291748047,0.0,0.9694763961791476,0.9694839547361278,66.23005676269531,66.23005676269531,65.99575958251953,0.0,0.0,0.0,0.0,0.0,17034.09464130435,7.2,233.456,64.87999725341797,"4,501.61",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
2013-08-02,84.37999725341797,84.37999725341797,83.51000213623047,84.0,1525500,66.26557922363281,0.0,-0.4267432524264203,-0.4267101451451927,66.24189758300781,66.24189758300781,66.03173553466796,0.0,0.0,0.0,0.0,0.0,17036.68356521739,7.2,233.45883870967745,64.87999725341797,"4,500.77",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
2013-08-05,83.87000274658203,84.0,83.0,83.1500015258789,1345600,65.59500122070312,0.0,-1.0119029453822592,-1.011955242504747,66.08017349243164,66.08017349243164,65.97350429280598,0.0,0.0,0.0,0.0,0.0,17044.45033695652,7.2,233.46735483870967,66.30999755859375,"4,493.55",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
2013-08-06,83.0199966430664,83.23999786376953,82.01000213623047,82.36000061035156,1921900,64.97179412841797,0.0,-0.950091282056642,-0.9500832086095868,65.8584976196289,65.8584976196289,65.83994293755426,0.0,0.0,0.0,0.0,0.0,17047.039260869566,7.2,233.4701935483871,65.5199966430664,"4,458.60",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
2013-08-07,82.0999984741211,82.2300033569336,81.47000122070312,81.86000061035156,1415700,64.5773696899414,0.0,-0.6070908162877697,-0.6070702583600762,65.64497629801433,65.64497629801433,65.67159983787255,0.0,0.0,0.0,0.0,0.0,17049.62818478261,7.2,233.4730322580645,64.94999694824219,"4,493.31",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
2013-08-08,82.11000061035156,82.70999908447266,81.51000213623047,82.02999877929688,1908600,64.71147918701172,0.0,0.2076693961370557,0.2076725913647825,65.5116195678711,65.5116195678711,65.5435837510911,0.0,0.0,0.0,0.0,0.0,17052.21710869565,7.2,233.475870967742,66.62000274658203,"4,484.04",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
2013-08-09,82.08999633789062,82.18000030517578,81.48999786376953,82.0999984741211,1366000,64.76667022705078,0.0,0.0853342629109965,0.0852878665925205,65.41850090026855,65.41850090026855,65.43999528121907,0.0,0.0,0.0,0.0,0.0,17054.806032608696,7.2,233.4787096774193,66.62000274658203,"4,479.53",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
2013-08-12,81.55000305175781,82.54000091552734,81.47000122070312,82.31999969482422,1788800,64.94025421142578,0.0,0.2679673870791488,0.2680143718466254,65.36536237928603,65.36536237928603,65.37336313857996,0.0,0.0,0.0,0.0,0.0,17062.572804347827,7.2,233.4872258064516,66.25,"4,478.43",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
2013-08-13,82.3499984741211,82.43000030517578,81.13999938964844,81.94000244140625,2018300,64.64048767089844,0.0,-0.4616098819566261,-0.4616035834282272,65.29287490844726,65.29287490844726,65.27564640955576,0.0,0.0,0.0,0.0,0.0,17065.16172826087,7.2,233.49006451612905,66.25,"4,444.29",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
2013-08-14,81.55000305175781,82.41999816894531,81.55000305175781,82.18000030517578,1925500,64.82980346679688,0.0,0.2928946260907672,0.2928749499265803,65.25077750466086,65.25077750466086,65.21620068385458,0.0,0.0,0.0,0.0,0.0,17067.750652173912,7.2,233.4929032258065,66.4000015258789,"4,374.62",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
2013-08-15,81.5199966430664,81.91999816894531,80.83000183105469,81.06999969482422,1887900,63.95417404174805,0.0,-1.350694337100966,-1.350658768381563,65.1427272160848,65.1427272160848,65.04793046490704,0.0,0.0,0.0,0.0,0.0,17070.339576086957,7.2,233.49574193548384,65.18000030517578,"4,351.10",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
2013-08-16,81.12999725341797,81.80000305175781,81.0199966430664,81.0999984741211,1752800,63.97782897949219,0.0,0.0370035517574862,0.0369873242811236,65.05311965942383,65.05311965942383,64.90525026685172,0.0,0.0,0.0,0.0,0.0,17072.9285,7.2,233.4985806451613,63.5,"4,329.10",555.44,163.58,76.01,6737,0.0401,3327,3410,977,970,1947,1463,92,1371,383,988,2.25,359,363,-0.0567,2.72,2.69,2.3625,927,2.58,0.5,0.087,0.5062,0.21719999999999998,0.1467,0.1376,0.27940000000000004,1463,0.21719999999999998,1463,0.21719999999999998
