date,open,high,low,close,volume,adjclose,dividends,splits,DayOverDayReturn,Adj_DayOverDayReturn,SMA50,SMA200,EMA,30day_Volatility,Stochastic_K,Stochastic_D,BollingerUpper,BollingerLower,GDP,UNRATE,CPIAUCSL,world_index,consumer_goods,consumer_services,technology,financials,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,Selling & Marketing,General & Administrative,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2013-07-31,48.4375,48.72499847412109,42.747501373291016,44.25249862670898,90073600,41.10633087158203,0.0,0.0,0.0,0.0,41.10633087158203,41.10633087158203,41.10633087158203,0.0,0.0,0.0,0.0,0.0,17031.505717391305,7.203225806451613,233.43806451612903,64.02999877929688,"4,426.58",555.44,163.58,76.01,3155,0.10859999999999999,602,2553,186,183,107,476,2077,0,-6.0,2083,676,1407,0.0882,2532,2556,-0.044800000000000006,0.55,0.55,0.1458,1421,0.56,0.8092,0.6583,0.446,0.45039999999999997,0.3245,2184,0.6922,107,2077,0.6583
2013-08-01,45.43999862670898,45.43999862670898,43.31999969482422,44.79249954223633,74287200,41.60792922973633,0.0,0.0,1.220272147980861,1.2202459998711834,41.35713005065918,41.35713005065918,41.17321065266927,0.0,0.0,0.0,0.0,0.0,17034.09464130435,7.2,233.456,64.87999725341797,"4,501.61",555.44,163.58,76.01,3155,0.10859999999999999,602,2553,186,183,107,476,2077,0,-6.0,2083,676,1407,0.0882,2532,2556,-0.044800000000000006,0.55,0.55,0.1458,1421,0.56,0.8092,0.6583,0.446,0.45039999999999997,0.3245,2184,0.6922,107,2077,0.6583
2013-08-02,45.40499877929688,46.022499084472656,45.209999084472656,46.0,21698400,42.72959518432617,0.0,0.0,2.695764849258042,2.6957985541568696,41.81461842854818,41.81461842854818,41.38072859022352,0.0,0.0,0.0,0.0,0.0,17036.68356521739,7.2,233.45883870967745,64.87999725341797,"4,500.77",555.44,163.58,76.01,3155,0.10859999999999999,602,2553,186,183,107,476,2077,0,-6.0,2083,676,1407,0.0882,2532,2556,-0.044800000000000006,0.55,0.55,0.1458,1421,0.56,0.8092,0.6583,0.446,0.45039999999999997,0.3245,2184,0.6922,107,2077,0.6583
2013-08-05,46.0,46.28499984741211,45.70000076293945,46.1349983215332,11479600,42.85498428344727,0.0,0.0,0.2934746120287101,0.2934478985354039,42.07470989227295,42.07470989227295,41.57729601598669,0.0,0.0,0.0,0.0,0.0,17044.45033695652,7.2,233.46735483870967,66.30999755859375,"4,493.55",555.44,163.58,76.01,3155,0.10859999999999999,602,2553,186,183,107,476,2077,0,-6.0,2083,676,1407,0.0882,2532,2556,-0.044800000000000006,0.55,0.55,0.1458,1421,0.56,0.8092,0.6583,0.446,0.45039999999999997,0.3245,2184,0.6922,107,2077,0.6583
2013-08-06,46.0525016784668,46.07749938964844,45.212501525878906,45.72249984741211,19986800,42.471824645996094,0.0,0.0,-0.8941118221057032,-0.8940841861402093,42.15413284301758,42.15413284301758,41.696566499987945,0.0,0.0,0.0,0.0,0.0,17047.039260869566,7.2,233.4701935483871,65.5199966430664,"4,458.60",555.44,163.58,76.01,3155,0.10859999999999999,602,2553,186,183,107,476,2077,0,-6.0,2083,676,1407,0.0882,2532,2556,-0.044800000000000006,0.55,0.55,0.1458,1421,0.56,0.8092,0.6583,0.446,0.45039999999999997,0.3245,2184,0.6922,107,2077,0.6583
2013-08-07,45.352500915527344,45.5,44.97499847412109,45.34749984741211,15556400,42.12348175048828,0.0,0.0,-0.8201651293159196,-0.8201740763700616,42.14902432759603,42.14902432759603,41.753488533388,0.0,0.0,0.0,0.0,0.0,17049.62818478261,7.2,233.4730322580645,64.94999694824219,"4,493.31",555.44,163.58,76.01,3155,0.10859999999999999,602,2553,186,183,107,476,2077,0,-6.0,2083,676,1407,0.0882,2532,2556,-0.044800000000000006,0.55,0.55,0.1458,1421,0.56,0.8092,0.6583,0.446,0.45039999999999997,0.3245,2184,0.6922,107,2077,0.6583
2013-08-08,45.602500915527344,45.63999938964844,44.98249816894531,45.19499969482422,9626800,41.98183059692383,0.0,0.0,-0.3362923052010136,-0.3362759859298903,42.12513950892857,42.12513950892857,41.78393414185944,0.0,0.0,0.0,0.0,0.0,17052.21710869565,7.2,233.475870967742,66.62000274658203,"4,484.04",555.44,163.58,76.01,3155,0.10859999999999999,602,2553,186,183,107,476,2077,0,-6.0,2083,676,1407,0.0882,2532,2556,-0.044800000000000006,0.55,0.55,0.1458,1421,0.56,0.8092,0.6583,0.446,0.45039999999999997,0.3245,2184,0.6922,107,2077,0.6583
2013-08-09,45.20000076293945,45.337501525878906,44.88999938964844,44.95249938964844,10028400,41.75655364990234,0.0,0.0,-0.536564458044575,-0.5366058216574987,42.07906627655029,42.07906627655029,41.780283409598496,0.0,0.0,0.0,0.0,0.0,17054.806032608696,7.2,233.4787096774193,66.62000274658203,"4,479.53",555.44,163.58,76.01,3155,0.10859999999999999,602,2553,186,183,107,476,2077,0,-6.0,2083,676,1407,0.0882,2532,2556,-0.044800000000000006,0.55,0.55,0.1458,1421,0.56,0.8092,0.6583,0.446,0.45039999999999997,0.3245,2184,0.6922,107,2077,0.6583
2013-08-12,44.84999847412109,44.994998931884766,44.59999847412109,44.93999862670898,13622400,41.74495315551758,0.0,0.0,-0.0278088273381604,-0.0277812543679423,42.04194259643555,42.04194259643555,41.77557270905438,0.0,0.0,0.0,0.0,0.0,17062.572804347827,7.2,233.4872258064516,66.25,"4,478.43",555.44,163.58,76.01,3155,0.10859999999999999,602,2553,186,183,107,476,2077,0,-6.0,2083,676,1407,0.0882,2532,2556,-0.044800000000000006,0.55,0.55,0.1458,1421,0.56,0.8092,0.6583,0.446,0.45039999999999997,0.3245,2184,0.6922,107,2077,0.6583
2013-08-13,45.125,45.15999984741211,44.66999816894531,44.807498931884766,11407200,41.62187194824219,0.0,0.0,-0.2948368911285914,-0.2948409279963981,41.99993553161621,41.99993553161621,41.755079274279424,0.0,0.0,0.0,0.0,0.0,17065.16172826087,7.2,233.49006451612905,66.25,"4,444.29",555.44,163.58,76.01,3155,0.10859999999999999,602,2553,186,183,107,476,2077,0,-6.0,2083,676,1407,0.0882,2532,2556,-0.044800000000000006,0.55,0.55,0.1458,1421,0.56,0.8092,0.6583,0.446,0.45039999999999997,0.3245,2184,0.6922,107,2077,0.6583
2013-08-14,44.87749862670898,45.372501373291016,44.587501525878906,44.587501525878906,15338800,41.49391555786133,0.0825,0.0,-0.4909834542211166,-0.3074258422109843,41.95393371582031,41.95393371582031,41.72025744542368,0.0,0.0,0.0,0.0,0.0,17067.750652173912,7.2,233.4929032258065,66.4000015258789,"4,374.62",555.44,163.58,76.01,3155,0.10859999999999999,602,2553,186,183,107,476,2077,0,-6.0,2083,676,1407,0.0882,2532,2556,-0.044800000000000006,0.55,0.55,0.1458,1421,0.56,0.8092,0.6583,0.446,0.45039999999999997,0.3245,2184,0.6922,107,2077,0.6583
2013-08-15,44.36249923706055,44.372501373291016,43.36249923706055,43.48249816894531,17288400,40.46558380126953,0.0,0.0,-2.4782805026476784,-2.4782711941413127,41.829904556274414,41.829904556274414,41.55296762620312,0.0,0.0,0.0,0.0,0.0,17070.339576086957,7.2,233.49574193548384,65.18000030517578,"4,351.10",555.44,163.58,76.01,3155,0.10859999999999999,602,2553,186,183,107,476,2077,0,-6.0,2083,676,1407,0.0882,2532,2556,-0.044800000000000006,0.55,0.55,0.1458,1421,0.56,0.8092,0.6583,0.446,0.45039999999999997,0.3245,2184,0.6922,107,2077,0.6583
2013-08-16,43.43000030517578,43.682498931884766,43.09000015258789,43.282501220703125,12612400,40.27945327758789,0.0,0.0,-0.4599481553822615,-0.4599724165496921,41.71063907329853,41.71063907329853,41.38316571305442,0.0,0.0,0.0,0.0,0.0,17072.9285,7.2,233.4985806451613,63.5,"4,329.10",555.44,163.58,76.01,3155,0.10859999999999999,602,2553,186,183,107,476,2077,0,-6.0,2083,676,1407,0.0882,2532,2556,-0.044800000000000006,0.55,0.55,0.1458,1421,0.56,0.8092,0.6583,0.446,0.45039999999999997,0.3245,2184,0.6922,107,2077,0.6583
